性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-61%,152.31,80,72.0,Nikon Zoom 100 AF 35mm Film Camera Black w/ Manual Case Power Tested,nikon 100,Nikon,Film Cameras,Used,59.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,hubersmarketplace,100.0,2026-09-09T07:29:41.000Z,,https://www.ebay.ca/itm/128070033578?hash=item1dd191a0aa:g:HN0AAeSww5ZqoQrR,https://i.ebayimg.com/images/g/HN0AAeSww5ZqoQrR/s-l225.jpg
抄底,-64%,165.66,80,68.0,Pentax Takumar 135mm F2.5 Bayonet Portrait Lens K Mount,pentax takumar 135mm f2.5,Pentax,Lenses,Used,60.11,CAD,"FIXED_PRICE,BEST_OFFER",mount:pentax k,CA,nicfaiyyc90,100.0,2026-09-09T19:15:08.000Z,,https://www.ebay.ca/itm/188909517472?hash=item2bfbe27aa0:g:dJYAAeSwnrNqKKQb,https://i.ebayimg.com/images/g/dJYAAeSwnrNqKKQb/s-l225.jpg
抄底,-47%,150.78,80,68.0,SMC Pentax-M 28mm f/2.8 Wide Angle Lens Black K-Mount Prime,pentax smc 28mm f2.8,Pentax,Lenses,Used,80.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:pentax k,CA,chw.thrifts,99.3,2026-09-09T16:28:05.000Z,,https://www.ebay.ca/itm/206546504940?hash=item3017218cec:g:UUkAAeSwo-xqoYkV,https://i.ebayimg.com/images/g/UUkAAeSwo-xqoYkV/s-l225.jpg
抄底,-47%,53.83,11,62.0,Minolta FS-35 II Black Point & Shoot 35mm Film Camera - GOOD,minolta fs-35,Minolta,Film Cameras,Used,28.32,CAD,"FIXED_PRICE,BEST_OFFER",,CA,allstarstores,99.8,2026-09-09T20:41:08.000Z,,https://www.ebay.ca/itm/298659959656?hash=item4589855368:g:zhgAAOSwPm9lT22a,https://i.ebayimg.com/images/g/zhgAAOSwPm9lT22a/s-l225.jpg
抄底,-66%,99.99,13,62.0,Konica U-Mini 35mm Point and Shoot Film Camera Tested USA Duty Paid,konica u-mini,Konica,Film Cameras,Used,34.2,CAD,"FIXED_PRICE,BEST_OFFER",,CA,phoenixrecommerceco,98.2,2026-09-09T15:09:17.000Z,,https://www.ebay.ca/itm/198629928738?hash=item2e3f442f22:g:MyoAAeSwnzJqoXVo,https://i.ebayimg.com/images/g/MyoAAeSwnzJqoXVo/s-l225.jpg
抄底,-50%,80.35,36,62.0,"Polaroid Sun 600 LMS, Tested and Working",polaroid 600,Polaroid,Vintage Cameras,,40.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,uni1813,100.0,2026-09-10T00:29:36.000Z,,https://www.ebay.ca/itm/287576744075?hash=item42f4e8e08b:g:8hEAAeSwg25qoFOz,https://i.ebayimg.com/images/g/8hEAAeSwg25qoFOz/s-l225.jpg
抄底,-50%,80.35,36,62.0,Polaroid Sun 600 LMS Land Instant Film Camera Strap Vintage Tested USA Duty Paid,polaroid 600,Polaroid,Vintage Cameras,,40.5,CAD,"FIXED_PRICE,BEST_OFFER",,CA,phoenixrecommerceco,98.2,2026-09-09T15:54:03.000Z,,https://www.ebay.ca/itm/198630010862?hash=item2e3f456fee:g:yVsAAeSwo89qoYDf,https://i.ebayimg.com/images/g/yVsAAeSwo89qoYDf/s-l225.jpg
超值,-30%,95.94,80,62.0,Canon TX 35mm SLR Film Camera with FD 50mm f/1.8 S.C. Lens Tested USA Duty Paid,canon fd 35mm f1.8,Canon,Film Cameras,Used,67.5,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon fd,CA,phoenixrecommerceco,98.2,2026-09-09T23:45:35.000Z,,https://www.ebay.ca/itm/198630712849?hash=item2e3f502611:g:TKQAAeSw0EJqoe5u,https://i.ebayimg.com/images/g/TKQAAeSw0EJqoe5u/s-l225.jpg
抄底,-46%,221.11,21,62.0,VINTAGE POLAROID SX-70 LAND CAMERA,polaroid sx-70,Polaroid,Vintage Cameras,,120.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,ireuseboxes,100.0,2026-09-09T04:33:58.000Z,,https://www.ebay.ca/itm/287574519703?hash=item42f4c6ef97:g:4-IAAeSwcvZqoOFY,https://i.ebayimg.com/images/g/4-IAAeSwcvZqoOFY/s-l225.jpg
抄底,-46%,747.1,80,58.0,Sigma 24-105mm F/4 DG OS HSM Lens For Nikon F,sigma 24-105mm f4,Sigma,Lenses,Used,399.95,CAD,FIXED_PRICE,mount:nikon f,CA,sharpclaw.ltd,99.9,2026-09-09T22:02:12.000Z,,https://www.ebay.ca/itm/366659154604?hash=item555e96b2ac:g:NJ0AAeSwKpJqodcN,https://i.ebayimg.com/images/g/NJ0AAeSwKpJqodcN/s-l225.jpg
超值,-44%,106.37,80,56.0,Canon EOS 55 35mm SLR Film Camera Body Only Fully Tested Japan,canon 55,Canon,Film Cameras,Used,59.97,CAD,FIXED_PRICE,,CA,aiclrthrift,99.3,2026-09-09T18:58:58.000Z,,https://www.ebay.ca/itm/398378270499?hash=item5cc131ff23:g:2VsAAeSw9vVqoat2,https://i.ebayimg.com/images/g/2VsAAeSw9vVqoat2/s-l225.jpg
超值,-33%,110.43,41,56.0,Pentax MZ-10 35mm SLR Film Camera w/ Tamron AF 80-210mm f/4.5-5.6 Lens,pentax mz-10,Pentax,Film Cameras,Used,73.69,CAD,"FIXED_PRICE,BEST_OFFER",,CA,timbo1313,0.0,2026-09-09T14:00:01.000Z,,https://www.ebay.ca/itm/298659119428?hash=item4589788144:g:waEAAeSwZVtqoWYI,https://i.ebayimg.com/images/g/waEAAeSwZVtqoWYI/s-l225.jpg
超值,-27%,455.58,35,56.0,Fujifilm Instax Wide 300 Instant Film Camera - TESTED,fujifilm instax 300,Fujifilm,Film Cameras,Used,331.34,CAD,"FIXED_PRICE,BEST_OFFER",,CA,roya-kathe,100.0,2026-09-10T02:54:10.000Z,,https://www.ebay.ca/itm/327351013603?hash=item4c37a410e3:g:e5UAAeSwPlhqohsz,https://i.ebayimg.com/images/g/e5UAAeSwPlhqohsz/s-l225.jpg
超值,-27%,274.15,80,52.0,Canon RF 50mm f/1.8 STM Fixed/Prime Lens,canon rf 50mm f1.8,Canon,Lenses,Used,199.99,CAD,FIXED_PRICE,mount:canon rf,CA,paymore_kitchener,99.5,2026-09-09T15:26:04.000Z,,https://www.ebay.ca/itm/137718167717?hash=item2010a478a5:g:euAAAeSwZoJqoXrR,https://i.ebayimg.com/images/g/euAAAeSwZoJqoXrR/s-l225.jpg
抄底,-48%,84.0,71,50.0,Canon PowerShot S3 IS 6.0MP 12x Zoom Flip Screen Compact Digital Camera Tested,canon s3,Canon,Digital Cameras,Used,43.99,CAD,FIXED_PRICE,,CA,gb_collectibles17,99.3,2026-09-09T23:01:29.000Z,,https://www.ebay.ca/itm/158276211236?hash=item24d9ff5224:g:XGoAAeSwDB5qW8Xu,https://i.ebayimg.com/images/g/XGoAAeSwDB5qW8Xu/s-l225.jpg
抄底,-82%,362.23,21,50.0,Olympus Stylus 300 Digital Camera,olympus stylus 300,Olympus,Digital Cameras,Used,65.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,gard-4410,100.0,2026-09-09T21:11:43.000Z,,https://www.ebay.ca/itm/147562761712?hash=item225b6d0df0:g:qa4AAeSwjadqoctC,https://i.ebayimg.com/images/g/qa4AAeSwjadqoctC/s-l225.jpg
抄底,-59%,193.35,80,50.0,Nikon Coolpix S2600 Digital Camera Red 14 MP,nikon s2600,Nikon,Digital Cameras,Used,80.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,amarant_05,100.0,2026-09-10T04:13:11.000Z,,https://www.ebay.ca/itm/168677492800?hash=item2745f64840:g:TO8AAeSwIP9qoi19,https://i.ebayimg.com/images/g/TO8AAeSwIP9qoi19/s-l225.jpg
抄底,-55%,176.84,37,50.0,Canon PowerShot A560 Digital Camera Silver 4x Zoom 7.1MP Compact Tested PC1229,canon a560,Canon,Digital Cameras,Used,80.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,chstr9982,99.4,2026-09-10T03:21:20.000Z,,https://www.ebay.ca/itm/128071564352?hash=item1dd1a8fc40:g:xIsAAeSwo89qoiHP,https://i.ebayimg.com/images/g/xIsAAeSwo89qoiHP/s-l225.jpg
抄底,-76%,362.23,21,50.0,Olympus Stylus 300 Digital Camera And Accessories,olympus stylus 300,Olympus,Digital Cameras,Used,85.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,gard-4410,100.0,2026-09-09T20:59:04.000Z,,https://www.ebay.ca/itm/147562740468?hash=item225b6cbaf4:g:gusAAeSwtM1qoclt,https://i.ebayimg.com/images/g/gusAAeSwtM1qoclt/s-l225.jpg
