寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,72.0,Canon T90 35mm SLR Film Camera Body - As-Is Parts/Repair,Canon,Film Cameras,For parts or not working,37.88,CAD,"FIXED_PRICE,BEST_OFFER",22,1600,as-is;underpriced(med 109),CA,icychip,98.8,2026-09-22T10:49:02.000Z,,https://www.ebay.ca/itm/178518543498?hash=item299088cc8a:g:Qj4AAeSwjgdqslyN,https://i.ebayimg.com/images/g/Qj4AAeSwjgdqslyN/s-l225.jpg
残件/按现状,72.0,Nikon F70 N70 35mm Film Camera + Tamron AF 28-200mm Lens Parts Repair,Nikon,Film Cameras,For parts or not working,47.49,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,underpriced(med 125),CA,yegtreasures,100.0,2026-09-23T07:36:40.000Z,,https://www.ebay.ca/itm/377516966731?hash=item57e5c3c34b:g:EdgAAeSwvnVqL1y~,https://i.ebayimg.com/images/g/EdgAAeSwvnVqL1y~/s-l225.jpg
残件/按现状,56.0,Minolta Autopak 400-X Film Camera Rokkor Lens / Kodak Instamatic Case Untested,Minolta,Film Cameras,For parts or not working,45.08,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,mount:minolta md;as-is,CA,zenkatcanada,99.3,2026-09-22T05:43:08.000Z,,https://www.ebay.ca/itm/298696966308?hash=item458bba00a4:g:UhAAAeSwCYNpMTNL,https://i.ebayimg.com/images/g/UhAAAeSwCYNpMTNL/s-l225.jpg
查无市价,55.0,Leica M4-2 Black Chrome 35mm Film Camera + Summarit-M 35mm f/2.5 6-Bit Kit,Leica,Film Cameras,Used,4000.0,CAD,"FIXED_PRICE,BEST_OFFER",15,1600,grail:Leica M4,CA,jeansebastienjacques,100.0,2026-09-22T16:07:06.000Z,,https://www.ebay.ca/itm/178519218673?hash=item29909319f1:g:LnwAAeSwJUBqowrP,https://i.ebayimg.com/images/g/LnwAAeSwJUBqowrP/s-l225.jpg
残件/按现状,52.0,Canon Sure Shot Joy Prima 4 Autoboy Point & Shoot 35mm Film Camera 80s - NO FILM,Canon,Film Cameras,For parts or not working,69.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,,CA,flippersfinders,100.0,2026-09-22T06:20:52.000Z,,https://www.ebay.ca/itm/800698344074?hash=itemba6d57228a:g:kJEAAeSwxZVqsh4N,https://i.ebayimg.com/images/g/kJEAAeSwxZVqsh4N/s-l225.jpg
残件/按现状,50.0,Fujifilm DL-100 Discovery 35mm Point & Shoot Camera Kit w/ Box Manual Untested,Fujifilm,Film Cameras,Used,27.99,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,as-is,CA,inspector-jon,99.6,2026-09-22T18:07:47.000Z,,https://www.ebay.ca/itm/820159138716?hash=itembef54b4b9c:g:UbEAAeSw7VZpwJc2,https://i.ebayimg.com/images/g/UbEAAeSw7VZpwJc2/s-l225.jpg
查无市价,50.0,Fujifilm DL-190 Zoom Date 35mm point and shoot film camera Black Built-in Flash,Fujifilm,Film Cameras,Used,29.99,CAD,FIXED_PRICE,5,1500,,CA,654.the.store,100.0,2026-09-23T10:14:20.000Z,,https://www.ebay.ca/itm/407238583796?hash=item5ed14fa5f4:g:GIEAAeSwrONqsmsv,https://i.ebayimg.com/images/g/GIEAAeSwrONqsmsv/s-l225.jpg
残件/按现状,50.0,Olympus Stylus Tough TG-860 Waterproof Digital Camera Orange Parts Repair,Olympus,Digital Cameras,For parts or not working,30.0,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,underpriced(med 95),CA,brooksie_71,99.6,2026-09-22T16:55:40.000Z,,https://www.ebay.ca/itm/287602041134?hash=item42f66ae12e:g:5w0AAeSw1a9qsrKh,https://i.ebayimg.com/images/g/5w0AAeSw1a9qsrKh/s-l225.jpg
残件/按现状,50.0,Canon PowerShot A520 Digital Camera Silver with Strap turns on -FOR PARTS -,Canon,Digital Cameras,For parts or not working,55.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,as-is;underpriced(med 210),CA,nilokar10,97.6,2026-09-23T00:12:09.000Z,,https://www.ebay.ca/itm/800702025249?hash=itemba6d8f4e21:g:ExIAAeSwuGtqsxkw,https://i.ebayimg.com/images/g/ExIAAeSwuGtqsxkw/s-l225.jpg
查无市价,50.0,Ricoh RZ-700s 35-70mm Zoom Film Point & Shoot Camera - Tested & Working,Ricoh,Film Cameras,Used,59.95,CAD,"FIXED_PRICE,BEST_OFFER",14,1600,,CA,bgslootbox,100.0,2026-09-22T18:42:12.000Z,,https://www.ebay.ca/itm/298698621994?hash=item458bd3442a:g:QLEAAeSwNJxqsstG,https://i.ebayimg.com/images/g/QLEAAeSwNJxqsstG/s-l225.jpg
查无市价,48.0,LEICA LEITZ M7 0.72 SILVER CHROME 10504 RANGEFINDER CAMERA BODY +BOX CLEAN NICE,Leica,Film Cameras,Used,0.0,USD,AUCTION,8,1600,auction,CA,setadel_studios,100.0,2026-09-23T02:30:01.000Z,2026-09-30T02:30:01.000Z,https://www.ebay.ca/itm/287563424955?hash=item42f41da4bb:g:3ikAAeSwjk9qssUE,https://i.ebayimg.com/images/g/3ikAAeSwjk9qssUE/s-l225.jpg
查无市价,48.0,Rollei Rolleicord Vintage TLR Film Camera,Rollei,Vintage Cameras,,0.0,USD,AUCTION,9,1512,auction,CA,goodwillindustriesontariogreatlakes,99.8,2026-09-23T01:00:46.000Z,2026-09-28T01:00:46.000Z,https://www.ebay.ca/itm/267792802910?hash=item3e59b1e45e:g:yH0AAeSw8TRqstbf,https://i.ebayimg.com/images/g/yH0AAeSw8TRqstbf/s-l225.jpg
查无市价,44.0,"Praktica LTL 3 M42 screw mount, vintage East German SLR with two lenses.",Praktica,Vintage Cameras,,0.0,USD,AUCTION,13,1600,mount:ltm/l39;auction,CA,jaysellit3,100.0,2026-09-22T22:56:45.000Z,2026-09-29T22:56:45.000Z,https://www.ebay.ca/itm/117426243349?hash=item1b57264715:g:U-oAAeSw0l5qqVXa,https://i.ebayimg.com/images/g/U-oAAeSw0l5qqVXa/s-l225.jpg
残件/按现状,44.0,Panasonic HDC-HS250 Black Full HD Camcorder 12x Zoom SD/HDD Hybrid LCD OIS Parts,Panasonic,Camcorders,For parts or not working,39.99,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,underpriced(med 100),CA,ctw0526,100.0,2026-09-22T23:40:22.000Z,,https://www.ebay.ca/itm/178520125622?hash=item2990a0f0b6:g:h~MAAeSw4yFqsxHc,https://i.ebayimg.com/images/g/h~MAAeSw4yFqsxHc/s-l225.jpg
残件/按现状,44.0,Nikon Coolpix S32 Waterproof Digital Camera With Battery - Damaged Battery Cover,Nikon,Digital Cameras,Used,79.95,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,as-is;underpriced(med 200),CA,bgslootbox,100.0,2026-09-22T18:32:14.000Z,,https://www.ebay.ca/itm/298698606600?hash=item458bd30808:g:aXUAAeSwG5FqssjB,https://i.ebayimg.com/images/g/aXUAAeSwG5FqssjB/s-l225.jpg
残件/按现状,44.0,Canon PowerShot D20 12.1MP Waterproof Digital Camera * DIRTY LENS *,Canon,Digital Cameras,For parts or not working,90.0,CAD,"FIXED_PRICE,BEST_OFFER",10,1200,underpriced(med 210),CA,thriftastic_canada,100.0,2026-09-22T22:27:34.000Z,,https://www.ebay.ca/itm/820159947877?hash=itembef557a465:g:06UAAeSwgJZqsn3l,https://i.ebayimg.com/images/g/06UAAeSwgJZqsn3l/s-l225.jpg
打包杂件,44.0,Nikon EM 35mm SLR Lot - 2 Bodies + MD-E Motor Drive + 50mm f/1.8 E + Vivitar Fla,Nikon,Film Cameras,Used,320.0,CAD,"FIXED_PRICE,BEST_OFFER",23,1600,mount:minolta md,CA,most.valuable.prods,100.0,2026-09-22T07:31:03.000Z,,https://www.ebay.ca/itm/307192090973?hash=item478613515d:g:iyQAAeSwVplqsivf,https://i.ebayimg.com/images/g/iyQAAeSwVplqsivf/s-l225.jpg
查无市价,42.0,Vintage Yashica Kyocera TWINTEC Twin Tec AF 33mm/53mm 35mm Lens Camera . Nice,Yashica,Film Cameras,Used,365.66,CAD,"FIXED_PRICE,AUCTION",9,1600,auction,CA,mix_auction2007,100.0,2026-09-22T16:05:10.000Z,2026-09-29T16:05:10.000Z,https://www.ebay.ca/itm/377515555941?hash=item57e5ae3c65:g:l~cAAeSw3B1qlafb,https://i.ebayimg.com/images/g/l~cAAeSw3B1qlafb/s-l225.jpg
查无市价,42.0,"4x5 Large Format wide 90mm 1:6.8 Angulon, Toyo Graflock! Includes 2-4x5 holders",Toyo,Film Cameras,Used,899.0,CAD,"FIXED_PRICE,AUCTION",15,1600,auction,CA,michaelc6819,100.0,2026-09-22T23:11:42.000Z,2026-09-27T23:11:42.000Z,https://www.ebay.ca/itm/206575413962?hash=item3018daaaca:g:4DgAAeSwZlJqZO5s,https://i.ebayimg.com/images/g/4DgAAeSwZlJqZO5s/s-l225.jpg
查无市价,40.0,: Vintage Kodak XL55 Super 8 Movie Camera Ektar Zoom Lens Woodgrain Retro Prop,Kodak,Vintage Cameras,,24.98,CAD,FIXED_PRICE,7,1600,,CA,icychip,98.8,2026-09-22T21:58:38.000Z,,https://www.ebay.ca/itm/178519944324?hash=item29909e2c84:g:P0YAAeSwnRZqsvmX,https://i.ebayimg.com/images/g/P0YAAeSwnRZqsvmX/s-l225.jpg
查无市价,40.0,Polaroid Spectra System Instant Film Sealed 10 Pack Expired New Old Stock,Polaroid,Vintage Cameras,,24.99,CAD,FIXED_PRICE,2,1599,,CA,prairie_good_deals,100.0,2026-09-22T12:11:34.000Z,,https://www.ebay.ca/itm/307192793325?hash=item47861e08ed:g:9BUAAeSwkxFqpUx3,https://i.ebayimg.com/images/g/9BUAAeSwkxFqpUx3/s-l225.jpg
型号不明,40.0,Minolta Magnicon Auto Focus Zoom Lense 1:45 75-200,Minolta,Lenses,Used,25.65,CAD,FIXED_PRICE,5,1440,,CA,encoreforyou,97.8,2026-09-22T09:01:06.000Z,,https://www.ebay.ca/itm/117425180866?hash=item1b571610c2:g:3-gAAeSwHnRohOXu,https://i.ebayimg.com/images/g/3-gAAeSwHnRohOXu/s-l225.jpg
残件/按现状,40.0,Eastman Kodak Brownie Target Six-16 1930s Box Camera Vintage Untested Deco Punk,Kodak,Vintage Cameras,,29.17,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,as-is,CA,zenkatcanada,99.3,2026-09-22T05:41:24.000Z,,https://www.ebay.ca/itm/298696964836?hash=item458bb9fae4:g:bZoAAeSwVchpMTcF,https://i.ebayimg.com/images/g/bZoAAeSwVchpMTcF/s-l225.jpg
打包杂件,40.0,Vintage Kodak Brownie Holiday Flash & Starflash Camera Lot 127 Film Prop,Kodak,Vintage Cameras,,34.98,CAD,"FIXED_PRICE,BEST_OFFER",14,1600,,CA,icychip,98.8,2026-09-22T23:00:00.000Z,,https://www.ebay.ca/itm/178520057094?hash=item29909fe506:g:yMkAAeSwz8dqswfb,https://i.ebayimg.com/images/g/yMkAAeSwz8dqswfb/s-l225.jpg
查无市价,40.0,Vintage Polaroid Land Camera Model 80B Highlander Folding Bellows Instant Camera,Polaroid,Vintage Cameras,,34.98,CAD,"FIXED_PRICE,BEST_OFFER",18,1600,,CA,icychip,98.8,2026-09-22T22:38:15.000Z,,https://www.ebay.ca/itm/178520014388?hash=item29909f3e34:g:yWYAAeSwWQxqswK2,https://i.ebayimg.com/images/g/yWYAAeSwWQxqswK2/s-l225.jpg
残件/按现状,40.0,UNTESTED Vintage Polaroid Spectra System & Impulse Cameras w/ Case For Parts,Polaroid,Vintage Cameras,,49.99,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,as-is,CA,trendflowpicker,100.0,2026-09-23T06:37:00.000Z,,https://www.ebay.ca/itm/800703279018?hash=itemba6da26faa:g:lAsAAeSwO7Jqs3MK,https://i.ebayimg.com/images/g/lAsAAeSwO7Jqs3MK/s-l225.jpg
残件/按现状,40.0,"Panasonic Lumix DMC-FZ200 12.1mp f/2.8 Zoom, Parts or repair lens error",Panasonic,Digital Cameras,For parts or not working,49.99,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,underpriced(med 151),CA,tjs.assorted.and.interesting,99.3,2026-09-22T17:23:54.000Z,,https://www.ebay.ca/itm/198659986559?hash=item2e410ed47f:g:LPEAAeSwYJ9qsrmM,https://i.ebayimg.com/images/g/LPEAAeSwYJ9qsrmM/s-l225.jpg
打包杂件,40.0,Vintage Olympus OM-System Zuiko 50mm f/1.8 & Sigma 28mm f/2.8 Camera Lens Lot (5,Olympus,Lenses,Used,124.98,CAD,"FIXED_PRICE,BEST_OFFER",4,1600,mount:olympus om,CA,icychip,98.8,2026-09-22T23:21:17.000Z,,https://www.ebay.ca/itm/178520093466?hash=item2990a0731a:g:SGMAAeSwtq5qswuS,https://i.ebayimg.com/images/g/SGMAAeSwtq5qswuS/s-l225.jpg
残件/按现状,34.0,Polaroid Sun 600 LMS Instant Film Camera Untested No Film As Is,Polaroid,Film Cameras,Used,70.0,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,as-is,CA,nikitastorontostore,100.0,2026-09-23T03:55:10.000Z,,https://www.ebay.ca/itm/287603016966?hash=item42f679c506:g:YesAAeSwHRhqs02d,https://i.ebayimg.com/images/g/YesAAeSwHRhqs02d/s-l225.jpg
图片不足,34.0,Polaroid Go Generation 2 Mini Instant Film Camera White Go Film Only Pocket,Polaroid,Film Cameras,New,112.51,CAD,"FIXED_PRICE,BEST_OFFER",0,768,,CA,minima-94,100.0,2026-09-23T03:53:40.000Z,,https://www.ebay.ca/itm/298699631630?hash=item458be2ac0e:g:WTEAAeSwnMtqs00w,https://i.ebayimg.com/images/g/WTEAAeSwnMtqs00w/s-l225.jpg
查无市价,34.0,"Kodak 3.5 Modéle 42, Angenieux 100mm lens, Prontor SV Shutter, Leather Case",Kodak,Vintage Cameras,,129.0,CAD,"FIXED_PRICE,BEST_OFFER",14,1600,,CA,rickybike,100.0,2026-09-22T13:58:29.000Z,,https://www.ebay.ca/itm/307192966360?hash=item478620acd8:g:pKYAAeSwpr5qscO6,https://i.ebayimg.com/images/g/pKYAAeSwpr5qscO6/s-l225.jpg
查无市价,30.0,Fujifilm FinePix A230 12.2MP Digital Camera Black Tested,Fujifilm,Digital Cameras,Used,61.98,CAD,"FIXED_PRICE,BEST_OFFER",13,908,,CA,rasecdiamond,99.9,2026-09-23T02:42:40.000Z,,https://www.ebay.ca/itm/820160610903?hash=itembef561c257:g:G28AAeSw2PNqszdW,https://i.ebayimg.com/images/g/G28AAeSw2PNqszdW/s-l225.jpg
查无市价,28.0,Antique Eastman Kodak Folding Camera - No. A-116 Autographic Film - Made in USA,Kodak,Vintage Cameras,,0.0,USD,"AUCTION,BEST_OFFER",10,1600,auction,CA,marie_ardouin,0.0,2026-09-22T11:57:36.000Z,2026-09-27T23:22:55.000Z,https://www.ebay.ca/itm/318896954012?hash=item4a3fbd5a9c:g:VEMAAeSwTvFqsGp5,https://i.ebayimg.com/images/g/VEMAAeSwTvFqsGp5/s-l225.jpg
查无市价,28.0,Fuji Finepix S5800 8MP Digital Camera With Case,Fuji,Digital Cameras,Used,34.99,CAD,FIXED_PRICE,4,1600,,CA,prairie_good_deals,100.0,2026-09-22T12:07:22.000Z,,https://www.ebay.ca/itm/298697757545?hash=item458bc61369:g:M0oAAeSwYjtqpJ0w,https://i.ebayimg.com/images/g/M0oAAeSwYjtqpJ0w/s-l225.jpg
查无市价,28.0,New In Box Minolta Dimage E223 2.0MP Compact Digital Camera Silver,Minolta,Digital Cameras,New,60.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,,CA,brooksie_71,99.6,2026-09-22T16:45:42.000Z,,https://www.ebay.ca/itm/287602029240?hash=item42f66ab2b8:g:It0AAeSwuGtqsrBF,https://i.ebayimg.com/images/g/It0AAeSwuGtqsrBF/s-l225.jpg
查无市价,28.0,Canon 310XL Super 8 Movie Camera – Tested & Working f/1.0 8.5-25.5mm,Canon,Vintage Cameras,,625.0,CAD,FIXED_PRICE,5,1600,,CA,chrissparky604,100.0,2026-09-22T17:58:50.000Z,,https://www.ebay.ca/itm/366685458576?hash=item5560281090:g:RjUAAeSw3G1qo1o0,https://i.ebayimg.com/images/g/RjUAAeSw3G1qo1o0/s-l225.jpg
查无市价,26.0,"POLAROID INSTANT MINIPORTRAIT CAMERA-MODEL 202. w/Back, TESTED -Excellent.",Polaroid,Vintage Cameras,,149.0,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,low-feedback,CA,intermath0cn2,95.8,2026-09-23T01:09:17.000Z,,https://www.ebay.ca/itm/147592365463?hash=item225d30c597:g:wj4AAeSw301qsyUK,https://i.ebayimg.com/images/g/wj4AAeSw301qsyUK/s-l225.jpg
查无市价,25.0,Nikon D5200 Digital SLR Camera w/ Nikon DX AF-S NIKKOR 18-55mm 1:3.5-5.6G VR,Nikon,Digital Cameras,Used,0.0,USD,AUCTION,9,1512,mount:nikon f;55mm;auction,CA,goodwillindustriesontariogreatlakes,99.8,2026-09-23T01:00:28.000Z,2026-09-28T01:00:28.000Z,https://www.ebay.ca/itm/800700996726?hash=itemba6d7f9c76:g:0voAAeSwMStqstNr,https://i.ebayimg.com/images/g/0voAAeSwMStqstNr/s-l225.jpg
型号不明,24.0,Canon RF Extender RF 1.4x Fixed/Prime Lens,Canon,Lenses,Used,629.99,CAD,FIXED_PRICE,7,1500,mount:canon rf,CA,paymore_brampton,98.1,2026-09-22T17:41:53.000Z,,https://www.ebay.ca/itm/206574897687?hash=item3018d2ca17:g:-AkAAeSwX7lqsr4l,https://i.ebayimg.com/images/g/-AkAAeSwX7lqsr4l/s-l225.jpg
查无市价,22.0,Kodak EasyShare Z1285 12.1MP Digital Camera - Black Fully Complete Mint Wow,Kodak,Digital Cameras,Open box,100.0,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,good-cond,CA,bubba-games,99.3,2026-09-22T22:53:19.000Z,,https://www.ebay.ca/itm/206575385722?hash=item3018da3c7a:g:5hAAAeSw-slqswaw,https://i.ebayimg.com/images/g/5hAAAeSw-slqswaw/s-l225.jpg
