寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
图片过小,72.0,Vintage Yashica 28 mm Point and Shoot. not tested,Yashica,Film Cameras,Used,40.0,CAD,"FIXED_PRICE,BEST_OFFER",0,590,underpriced(med 90),CA,regico-6679,100.0,2026-09-20T16:26:48.000Z,,https://www.ebay.ca/itm/366680904947?hash=item555fe294f3:g:Vv4AAeSwHYBqsAfS,https://i.ebayimg.com/images/g/Vv4AAeSwHYBqsAfS/s-l225.jpg
残件/按现状,68.0,Nikon DX AF-S NIKKOR 18-200mm f/3.5-5.6 GII ED Lens - For parts/not working,Nikon,Lenses,For parts or not working,49.95,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,mount:nikon f;as-is;underpriced(med 192),CA,sadamson11,100.0,2026-09-20T17:43:57.000Z,,https://www.ebay.ca/itm/237080325671?hash=item373316ae27:g:3jUAAeSwlspqsBuC,https://i.ebayimg.com/images/g/3jUAAeSwlspqsBuC/s-l225.jpg
残件/按现状,67.0,Minolta X-700 X700 35mm SLR Film Camera Body Parts Repair As Is,Minolta,Film Cameras,For parts or not working,35.99,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,grail:X-700;as-is,CA,dylanthomascollectibles,98.6,2026-09-21T00:29:18.000Z,,https://www.ebay.ca/itm/327367185865?hash=item4c389ad5c9:g:lEkAAeSwzmBqsHpI,https://i.ebayimg.com/images/g/lEkAAeSwzmBqsHpI/s-l225.jpg
残件/按现状,52.0,Olympus Trip 35 35mm Film Camera Sold As is for Parts Repair - Red Flag Inop,Olympus,Film Cameras,For parts or not working,74.99,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,as-is,CA,306videogames,100.0,2026-09-20T04:38:59.000Z,,https://www.ebay.ca/itm/820148698297?hash=itembef4abfcb9:g:FFoAAeSw53JqriIo,https://i.ebayimg.com/images/g/FFoAAeSw53JqriIo/s-l225.jpg
残件/按现状,50.0,Olympus U750 All Weather 7.1MP Digital Camera Magenta - Lens Auto-focus NOT WORK,Olympus,Digital Cameras,For parts or not working,35.0,CAD,FIXED_PRICE,1,1115,underpriced(med 91),CA,jdnre-78,100.0,2026-09-21T03:12:15.000Z,,https://www.ebay.ca/itm/178514810463?hash=item29904fd65f:g:13MAAeSwaw5qsKCD,https://i.ebayimg.com/images/g/13MAAeSwaw5qsKCD/s-l225.jpg
残件/按现状,50.0,Fujifilm FinePix JX520 14MP Digital Camera Black Digicam Clean Untested As-Is,Fujifilm,Digital Cameras,For parts or not working,35.0,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,as-is;underpriced(med 115),CA,lemon_time,100.0,2026-09-20T23:13:13.000Z,,https://www.ebay.ca/itm/257755441846?hash=item3c036beab6:g:3zMAAeSwYHhqsGgU,https://i.ebayimg.com/images/g/3zMAAeSwYHhqsGgU/s-l225.jpg
残件/按现状,50.0,Nikon D3500 camera body - For parts/not working,Nikon,Digital Cameras,For parts or not working,49.95,CAD,"FIXED_PRICE,BEST_OFFER",2,1600,as-is;underpriced(med 196),CA,sadamson11,100.0,2026-09-20T17:47:14.000Z,,https://www.ebay.ca/itm/237080327905?hash=item373316b6e1:g:79QAAeSwYntqsBvN,https://i.ebayimg.com/images/g/79QAAeSwYntqsBvN/s-l225.jpg
查无市价,50.0,Fujifilm FinePix A510 5.1MP Compact Digital Camera Black,Fujifilm,Digital Cameras,Used,49.99,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,underpriced(med 115),CA,scotiagames,99.0,2026-09-20T17:17:12.000Z,,https://www.ebay.ca/itm/398414245557?hash=item5cc356eeb5:g:iaMAAeSwMXRqsBUM,https://i.ebayimg.com/images/g/iaMAAeSwMXRqsBUM/s-l225.jpg
残件/按现状,50.0,Canon PowerShot SD600 ELPH 6.0 MP Digital Camera for Parts or Repair,Canon,Digital Cameras,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,as-is;underpriced(med 200),CA,ermere_0,100.0,2026-09-20T09:17:59.000Z,,https://www.ebay.ca/itm/137758420426?hash=item20130aadca:g:16MAAeSwUuBqr6Rd,https://i.ebayimg.com/images/g/16MAAeSwUuBqr6Rd/s-l225.jpg
残件/按现状,50.0,Vintage 1966 Soviet Zorki-4 Rangefinder w/ Jupiter-8 50mm f2 Lens Un-tested,Zorki,Film Cameras,For parts or not working,59.99,CAD,FIXED_PRICE,7,882,,CA,keepsakekorner,100.0,2026-09-20T06:18:54.000Z,,https://www.ebay.ca/itm/398412875796?hash=item5cc3420814:g:zCUAAeSwZkVqr3mJ,https://i.ebayimg.com/images/g/zCUAAeSwZkVqr3mJ/s-l225.jpg
残件/按现状,50.0,⭐Canon ML AF35ML 35mm Film Camera with Built-In Flash – As-Is / Untested,Canon,Film Cameras,For parts or not working,60.0,CAD,FIXED_PRICE,7,1200,as-is;low-feedback,CA,servor40,96.9,2026-09-20T20:07:18.000Z,,https://www.ebay.ca/itm/800691414990?hash=itemba6ced67ce:g:NzkAAeSwvClqsDyc,https://i.ebayimg.com/images/g/NzkAAeSwvClqsDyc/s-l225.jpg
图片过小,48.0,Olympus Trip 35 Film Camera w/40mm f2.8 D.Zuiko Lens + HOYA 43.5 Skylight Filter,Olympus,Film Cameras,Used,163.63,CAD,"FIXED_PRICE,AUCTION",7,614,mount:olympus om;auction,CA,gatsby500,100.0,2026-09-20T23:09:22.000Z,2026-09-27T23:09:22.000Z,https://www.ebay.ca/itm/147587359707?hash=item225ce463db:g:M~0AAeSwpFxp1~bB,https://i.ebayimg.com/images/g/M~0AAeSwpFxp1~bB/s-l225.jpg
型号不明,46.0,VINTAGE ASHREH AUTO TELE CONVERTER 3X LENS FOR PENTAX CAMERA,Pentax,Vintage Lenses,,39.0,CAD,"FIXED_PRICE,BEST_OFFER",4,1599,,CA,liamng-9,100.0,2026-09-21T04:05:00.000Z,,https://www.ebay.ca/itm/366681751074?hash=item555fef7e22:g:H3IAAeSwYHRqsKzH,https://i.ebayimg.com/images/g/H3IAAeSwYHRqsKzH/s-l225.jpg
打包杂件,44.0,Vintage Nikon Coolpix 4600 4.0MP Digital Camera Bundle - Tested & Working...,Nikon,Digital Cameras,Used,85.49,CAD,FIXED_PRICE,5,1600,underpriced(med 196),CA,inspector-jon,99.6,2026-09-20T10:55:15.000Z,,https://www.ebay.ca/itm/820149635734?hash=itembef4ba4a96:g:ykQAAeSwFdNqXidp,https://i.ebayimg.com/images/g/ykQAAeSwFdNqXidp/s-l225.jpg
残件/按现状,40.0,Polaroid OneStep Express Instant Camera Green 600 Film Camera UNTested,Polaroid,Vintage Cameras,,24.99,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,as-is,CA,triplegtreasu60,100.0,2026-09-20T04:22:43.000Z,,https://www.ebay.ca/itm/178511875238?hash=item2990230ca6:g:XCEAAeSwVnxqO0ZI,https://i.ebayimg.com/images/g/XCEAAeSwVnxqO0ZI/s-l225.jpg
残件/按现状,40.0,Vintage 1940s Kodak Vigilant Six-20 Folding Camera Anastigmat f6.3 UNTESTED,Kodak,Vintage Cameras,,29.99,CAD,FIXED_PRICE,11,1198,as-is,CA,keepsakekorner,100.0,2026-09-20T06:10:21.000Z,,https://www.ebay.ca/itm/398412858486?hash=item5cc341c476:g:hU0AAeSwvoBqr3fK,https://i.ebayimg.com/images/g/hU0AAeSwvoBqr3fK/s-l225.jpg
残件/按现状,40.0,Vintage 1950s Polaroid Land Camera Model 80 Highlander Folding Camera Untested,Polaroid,Vintage Cameras,,34.99,CAD,FIXED_PRICE,11,1252,as-is,CA,keepsakekorner,100.0,2026-09-20T06:25:32.000Z,,https://www.ebay.ca/itm/398412887907?hash=item5cc3423763:g:ELcAAeSwqmVqr3uB,https://i.ebayimg.com/images/g/ELcAAeSwqmVqr3uB/s-l225.jpg
残件/按现状,40.0,Vintage Canadian Kodak Tourist Folding Camera Anaston 100mm f8.8 Lens Untested,Kodak,Vintage Cameras,,45.0,CAD,FIXED_PRICE,9,1221,as-is,CA,keepsakekorner,100.0,2026-09-20T05:59:25.000Z,,https://www.ebay.ca/itm/398412832896?hash=item5cc3416080:g:C-EAAeSwj~Zqr3Us,https://i.ebayimg.com/images/g/C-EAAeSwj~Zqr3Us/s-l225.jpg
残件/按现状;打包杂件,40.0,"Lot of 2 Digital Cameras FOR PARTS/UNTESTED (Sony, Canon)",Sony,Digital Cameras,Used,49.87,CAD,FIXED_PRICE,7,1600,as-is;underpriced(med 190),CA,vol.02,100.0,2026-09-20T18:22:47.000Z,,https://www.ebay.ca/itm/188956608179?hash=item2bfeb106b3:g:Ah4AAeSwXYxqsCJA,https://i.ebayimg.com/images/g/Ah4AAeSwXYxqsCJA/s-l225.jpg
残件/按现状,36.0,Auto Image by Tokina 28mm f/2.8 C/Y Lens Wide Angle Manual Focus Retro Camera,Tokina,Lenses,For parts or not working,34.2,CAD,"FIXED_PRICE,BEST_OFFER",8,1000,mount:contax/yashica,CA,homerevivalbc,100.0,2026-09-20T12:33:04.000Z,,https://www.ebay.ca/itm/137758949377?hash=item201312c001:g:UkMAAeSwizZqV~Rr,https://i.ebayimg.com/images/g/UkMAAeSwizZqV~Rr/s-l225.jpg
