寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,72.0,Canon Sure Shot Supreme 35mm Film Camera Japan 38mm F2.8 Point Shoot Vintage,Canon,Film Cameras,For parts or not working,45.0,CAD,"FIXED_PRICE,BEST_OFFER",9,1600,underpriced(med 101),CA,spot1970,100.0,2026-09-19T18:45:36.000Z,,https://www.ebay.ca/itm/168700819193?hash=item27475a36f9:g:JLkAAeSwy4Nqrtd6,https://i.ebayimg.com/images/g/JLkAAeSwy4Nqrtd6/s-l225.jpg
查无市价,64.0,Zeiss Ikon Voigtlander Vitessa 500 AE,Zeiss,Vintage Cameras,,50.0,CAD,"FIXED_PRICE,AUCTION",4,1599,auction,CA,oli_1979_12,100.0,2026-09-19T23:12:52.000Z,2026-09-24T23:12:52.000Z,https://www.ebay.ca/itm/298690685231?hash=item458b5a292f:g:I54AAeSwXFhqrxZG,https://i.ebayimg.com/images/g/I54AAeSwXFhqrxZG/s-l225.jpg
型号不明,62.0,Vintage Super Takumar 1:3.5/135 Asahi Lens,Asahi,Lenses,Used,25.0,CAD,FIXED_PRICE,11,1600,underpriced(med 150),CA,canadianflipper902,99.7,2026-09-19T17:16:36.000Z,,https://www.ebay.ca/itm/307187681859?hash=item4785d00a43:g:bR8AAeSwu5VqrsLN,https://i.ebayimg.com/images/g/bR8AAeSwu5VqrsLN/s-l225.jpg
残件/按现状;打包杂件,61.0,Pentax ME Super 35mm Film Camera | Vivitar 75-205mm Lens | Parts Repair Bundle,Pentax,Film Cameras,For parts or not working,75.19,CAD,"FIXED_PRICE,BEST_OFFER",17,1440,grail:Pentax ME Super,CA,miggysrediscoveredgoods,98.8,2026-09-19T08:32:41.000Z,,https://www.ebay.ca/itm/398409914264?hash=item5cc314d798:g:RbsAAeSwEhVpuxx6,https://i.ebayimg.com/images/g/RbsAAeSwEhVpuxx6/s-l225.jpg
残件/按现状,61.0,Canon AE-1 35mm Film Camera Body Only | Untested | Clean Exterior | Parts/Repair,Canon,Film Cameras,For parts or not working,79.9,CAD,"FIXED_PRICE,BEST_OFFER",14,1600,grail:AE-1;as-is,CA,miggysrediscoveredgoods,98.8,2026-09-19T18:48:11.000Z,,https://www.ebay.ca/itm/398411429265?hash=item5cc32bf591:g:RGcAAeSw9JlpaaCq,https://i.ebayimg.com/images/g/RGcAAeSw9JlpaaCq/s-l225.jpg
残件/按现状,61.0,Canon AE-1 35mm Film SLR Camera with FD 50mm f/1.8 Lens Read Description,Canon,Film Cameras,Used,307.71,CAD,"FIXED_PRICE,BEST_OFFER",14,1600,grail:AE-1;mount:canon fd,CA,volodymystet0,100.0,2026-09-19T23:49:05.000Z,,https://www.ebay.ca/itm/318892582142?hash=item4a3f7aa4fe:g:y8MAAeSw2Ghqrx8v,https://i.ebayimg.com/images/g/y8MAAeSw2Ghqrx8v/s-l225.jpg
残件/按现状,61.0,Canon AE-1 35mm Film SLR Camera with FD 50mm f/1.8 Lens Read Description,Canon,Film Cameras,Used,328.69,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,grail:AE-1;mount:canon fd,CA,volodymystet0,100.0,2026-09-19T19:43:21.000Z,,https://www.ebay.ca/itm/318891923537?hash=item4a3f709851:g:qfgAAeSwAMdqruV3,https://i.ebayimg.com/images/g/qfgAAeSwAMdqruV3/s-l225.jpg
打包杂件,55.0,Vintage Canon AE-1 35mm SLR Film Camera Bundle - Tested & Working!,Canon,Film Cameras,Used,380.0,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,grail:AE-1,CA,treasurenet_rex,100.0,2026-09-19T21:05:36.000Z,,https://www.ebay.ca/itm/377509071427?hash=item57e54b4a43:g:D2gAAeSwnJNqrvdQ,https://i.ebayimg.com/images/g/D2gAAeSwnJNqrvdQ/s-l225.jpg
型号不明,52.0,Nihon AF For Sony Video Telephoto 2.0X Lens & Telephoto 0.5x Lens,Sony,Lenses,Used,29.95,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,underpriced(med 360),CA,vendingfams,99.4,2026-09-19T15:13:09.000Z,,https://www.ebay.ca/itm/820146575171?hash=itembef48b9743:g:NhcAAeSwvRJopbfR,https://i.ebayimg.com/images/g/NhcAAeSwvRJopbfR/s-l225.jpg
残件/按现状,52.0,Olympus Trip 35 35mm Film Camera Sold As is for Parts Repair - Red Flag Inop,Olympus,Film Cameras,For parts or not working,74.99,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,as-is,CA,306videogames,100.0,2026-09-20T04:38:59.000Z,,https://www.ebay.ca/itm/820148698297?hash=itembef4abfcb9:g:FFoAAeSw53JqriIo,https://i.ebayimg.com/images/g/FFoAAeSw53JqriIo/s-l225.jpg
