寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
查无市价,62.0,Soligor MC Macro Zoom 35-140mm f3.5 (Nikon F mount),Nikon,Lenses,Used,80.0,CAD,FIXED_PRICE,11,1600,mount:nikon f;underpriced(med 211),CA,nikon_collection,100.0,2026-08-06T22:10:39.000Z,,https://www.ebay.ca/itm/188753962107?hash=item2bf29ce47b:g:IwQAAeSwjZxqdQYR,https://i.ebayimg.com/images/g/IwQAAeSwjZxqdQYR/s-l225.jpg
残件/按现状,50.0,"Pentax Espio 115M 35mm Film Camera, H1 Error, AS-IS For Parts or Repair",Pentax,Film Cameras,For parts or not working,40.0,CAD,FIXED_PRICE,4,1600,as-is,CA,paardonte,100.0,2026-08-06T23:56:26.000Z,,https://www.ebay.ca/itm/117344973989?hash=item1b524e34a5:g:z0gAAeSwhrBqdR5r,https://i.ebayimg.com/images/g/z0gAAeSwhrBqdR5r/s-l225.jpg
残件/按现状,46.0,Canon Lens FD 50mm 1.8 Lens has circles forming on glass selling for parts,Canon,Lenses,For parts or not working,40.0,CAD,"FIXED_PRICE,BEST_OFFER",9,1600,mount:canon fd;as-is,CA,goheensfinds,100.0,2026-08-06T20:10:42.000Z,,https://www.ebay.ca/itm/318688617858?hash=item4a33526582:g:-c0AAeSwW4tqdOaa,https://i.ebayimg.com/images/g/-c0AAeSwW4tqdOaa/s-l225.jpg
查无市价,40.0,Vintage KODAK 19X Magnifying Lens 839440 for Recordak Magnaprint Reader,Kodak,Film Cameras,Used,25.0,CAD,FIXED_PRICE,2,1600,,CA,20to50s,100.0,2026-08-06T20:35:57.000Z,,https://www.ebay.ca/itm/147487631946?hash=item2256f2aa4a:g:8X4AAeSwtcVqOuX4,https://i.ebayimg.com/images/g/8X4AAeSwtcVqOuX4/s-l225.jpg
残件/按现状,40.0,SONY Cyber-shot DSC-TF1 WATERPROOF Camera 16.1 MP NO CHARGER-OR BATTERY UNTESTED,Sony,Digital Cameras,For parts or not working,29.99,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,as-is;underpriced(med 162),CA,jp_sportsandservices,98.7,2026-08-06T23:23:57.000Z,,https://www.ebay.ca/itm/398258061727?hash=item5cba07c19f:g:3DkAAeSw0KxqdRcY,https://i.ebayimg.com/images/g/3DkAAeSw0KxqdRcY/s-l225.jpg
型号不明,38.0,Nikon FM SLR Film Camera,Nikon,Film Cameras,Used,210.0,CAD,FIXED_PRICE,11,1600,,CA,nikon_collection,100.0,2026-08-06T22:54:17.000Z,,https://www.ebay.ca/itm/188754127399?hash=item2bf29f6a27:g:YZwAAeSwCN1qdRAN,https://i.ebayimg.com/images/g/YZwAAeSwCN1qdRAN/s-l225.jpg
查无市价,38.0,Exakta varex iia 35mm camera with Schneider-Kreuznach 50mm f1.9,Exakta,Vintage Cameras,,290.0,CAD,"FIXED_PRICE,BEST_OFFER",8,1064,,CA,ron_653525,0.0,2026-08-06T22:18:16.000Z,,https://www.ebay.ca/itm/188753994116?hash=item2bf29d6184:g:i7YAAeSwUulqdPRP,https://i.ebayimg.com/images/g/i7YAAeSwUulqdPRP/s-l225.jpg
型号不明,38.0,Nikon FM Film Camera SLR - Excellent - Works,Nikon,Film Cameras,Used,299.0,CAD,FIXED_PRICE,8,1600,,CA,goodusedcameras,99.4,2026-08-06T19:32:54.000Z,,https://www.ebay.ca/itm/206470786266?hash=item30129e2cda:g:9QoAAeSwgGdqdMiK,https://i.ebayimg.com/images/g/9QoAAeSwgGdqdMiK/s-l225.jpg
残件/按现状,32.0,Yashica KX-H3 Video Camera Recorder Hi 8 NTSC Case + Accessories (Parts Only),Yashica,Camcorders,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",16,989,as-is,CA,anasthriftingvintagedreams,100.0,2026-08-06T19:09:00.000Z,,https://www.ebay.ca/itm/287508015116?hash=item42f0d0280c:g:a~8AAeSwMgdongXa,https://i.ebayimg.com/images/g/a~8AAeSwMgdongXa/s-l225.jpg
查无市价,30.0,Vivitar Series 1 24-48mm f3.8 AI (Nikon F Mount),Vivitar,Lenses,Used,85.0,CAD,FIXED_PRICE,7,1600,mount:nikon f,CA,nikon_collection,100.0,2026-08-06T21:58:01.000Z,,https://www.ebay.ca/itm/188753935071?hash=item2bf29c7adf:g:C1YAAeSwiuJqdQMO,https://i.ebayimg.com/images/g/C1YAAeSwiuJqdQMO/s-l225.jpg
残件/按现状;打包杂件,12.0,Kodak EasyShare Z915 Camera BlackBerry 9700 Sony Recorder Bundle Untested,Kodak,Digital Cameras,Used,80.0,CAD,"FIXED_PRICE,BEST_OFFER",16,1600,as-is,CA,nikitastorontostore,100.0,2026-08-06T19:25:34.000Z,,https://www.ebay.ca/itm/287508093379?hash=item42f0d159c3:g:rXkAAeSwG5pqdN-t,https://i.ebayimg.com/images/g/rXkAAeSwG5pqdN-t/s-l225.jpg
查无市价,12.0,Panasonic Lumix DMC-ZS19K 14.1MP Compact Digital Camera,Panasonic,Digital Cameras,Used,83.99,CAD,FIXED_PRICE,7,1500,,CA,paymore_st_albert,99.5,2026-08-06T23:57:08.000Z,,https://www.ebay.ca/itm/366591210540?hash=item555a89f42c:g:zSYAAeSwEx9qdR9R,https://i.ebayimg.com/images/g/zSYAAeSwEx9qdR9R/s-l225.jpg
残件/按现状,10.0,"Sony Handycam DCR-TRV330 Digital-8 Camcorder Night View (Tested, Parts/Repair)",Sony,Camcorders,For parts or not working,199.97,CAD,"FIXED_PRICE,BEST_OFFER",17,1600,,CA,muushruum,100.0,2026-08-06T21:35:43.000Z,,https://www.ebay.ca/itm/336730326074?hash=item4e66b1043a:g:SH8AAeSw17BqaQm3,https://i.ebayimg.com/images/g/SH8AAeSw17BqaQm3/s-l225.jpg
查无市价,10.0,TOPCON SUPER DM and 3 lenses,Topcon,Digital Cameras,Used,775.0,CAD,"FIXED_PRICE,AUCTION",5,1600,auction,CA,usacanhkmacau,100.0,2026-08-06T19:59:19.000Z,2026-08-16T19:59:19.000Z,https://www.ebay.ca/itm/327298323939?hash=item4c348015e3:g:ERAAAeSwsyxqRwpC,https://i.ebayimg.com/images/g/ERAAAeSwsyxqRwpC/s-l225.jpg
图片过小,6.0,Ricoh GR III Street Edition Digital Camera - Black,Ricoh,Digital Cameras,Used,1442.73,CAD,"FIXED_PRICE,BEST_OFFER",0,500,,CA,crmatthe_24,0.0,2026-08-06T20:11:35.000Z,,https://www.ebay.ca/itm/147487600540?hash=item2256f22f9c:g:EEcAAeSwQOlqdOnv,https://i.ebayimg.com/images/g/EEcAAeSwQOlqdOnv/s-l225.jpg
残件/按现状;型号不明,0.0,JVC GR-SXM720U Super S-VHS SVHSC Camcorder Parts or Repair Untested With Battery,,Camcorders,For parts or not working,30.0,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,as-is,CA,rickzee,100.0,2026-08-06T22:44:11.000Z,,https://www.ebay.ca/itm/267749945902?hash=item3e5723f22e:g:GgIAAOSwRUllt92x,https://i.ebayimg.com/images/g/GgIAAOSwRUllt92x/s-l225.jpg
打包杂件,-3.0,Lot Of 2 cameras: Olympus 850SW & HP Photosmart R837 | TESTED,Olympus,Digital Cameras,Used,95.0,CAD,"FIXED_PRICE,BEST_OFFER",7,1599,neg,CA,dxrxj_collectables,100.0,2026-08-06T21:09:12.000Z,,https://www.ebay.ca/itm/198552568547?hash=item2e3aa7c2e3:g:lrcAAeSwMbhqdPeL,https://i.ebayimg.com/images/g/lrcAAeSwMbhqdPeL/s-l225.jpg
查无市价,-4.0,"Panasonic Lumix DC-G95D Mirrorless Camera Body — Excellent, In Box, 2 Batteries",Panasonic,Digital Cameras,Open box,599.0,CAD,FIXED_PRICE,8,1600,,CA,goodusedcameras,99.4,2026-08-06T22:16:10.000Z,,https://www.ebay.ca/itm/206471057870?hash=item3012a251ce:g:kZEAAeSwtixqdNj~,https://i.ebayimg.com/images/g/kZEAAeSwtixqdNj~/s-l225.jpg
型号不明,-6.0,vintage camcorder working,,Camcorders,Used,65.95,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,,CA,mo810241,0.0,2026-08-06T22:03:40.000Z,,https://www.ebay.ca/itm/318688990331?hash=item4a3358147b:g:NKkAAeSwU21qdQQI,https://i.ebayimg.com/images/g/NKkAAeSwU21qdQQI/s-l225.jpg
型号不明,-6.0,BOBLOV W1 1080P 64GB Body Camera,,Camcorders,Open box,85.0,CAD,"FIXED_PRICE,BEST_OFFER",5,960,,CA,angelaguirre27,0.0,2026-08-06T23:55:08.000Z,,https://www.ebay.ca/itm/800472863441?hash=itemba5fe692d1:g:nfkAAeSw~8JqdR2J,https://i.ebayimg.com/images/g/nfkAAeSw~8JqdR2J/s-l225.jpg
型号不明,-6.0,"Samsung SMX-F30BN Camcorder TESTED w/ Battery, Charger, Case, 4G SD Card",,Camcorders,Used,90.0,CAD,"FIXED_PRICE,BEST_OFFER",9,1600,,CA,mccsurrey,100.0,2026-08-06T22:07:22.000Z,,https://www.ebay.ca/itm/158161671584?hash=item24d32b95a0:g:6BoAAeSwU79qdP9z,https://i.ebayimg.com/images/g/6BoAAeSwU79qdP9z/s-l225.jpg
型号不明,-6.0,Sanyo Xacti VPC-ZH1R Camcorder Dual Camera W Battery Charger Tested Y2k Works!,,Camcorders,Used,108.98,CAD,FIXED_PRICE,7,1600,,CA,dieseljohnny1025,99.6,2026-08-06T23:30:59.000Z,,https://www.ebay.ca/itm/137594320651?hash=item200942b70b:g:4UgAAeSwWUhqdRjm,https://i.ebayimg.com/images/g/4UgAAeSwWUhqdRjm/s-l225.jpg
型号不明,-6.0,JVC Camcorder Everio GZ-MG20U 20GB HDD Charging Cord Works! Battery 🪫 Dead?,,Camcorders,Used,109.98,CAD,FIXED_PRICE,11,1600,,CA,dieseljohnny1025,99.6,2026-08-06T23:54:22.000Z,,https://www.ebay.ca/itm/147487898685?hash=item2256f6bc3d:g:pZQAAeSwsnZqdR5V,https://i.ebayimg.com/images/g/pZQAAeSwsnZqdR5V/s-l225.jpg
型号不明,-8.0,OM System ED 14-150mm f/4-5.6 II MSC Lens w Hood — Excellent,,Lenses,Used,499.0,CAD,FIXED_PRICE,3,1600,mount:olympus om,CA,goodusedcameras,99.4,2026-08-06T19:36:18.000Z,,https://www.ebay.ca/itm/206470791730?hash=item30129e4232:g:ypsAAeSwJHdqdOGC,https://i.ebayimg.com/images/g/ypsAAeSwJHdqdOGC/s-l225.jpg
