性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
超值,-25%,154.36,50,83.0,Zeiss Ikon Contessa LK 35mm Rangefinder | Tessar 50mm f/2.8 | w/ Hard Case,zeiss ikon contessa,Zeiss,Film Cameras,Used,115.19,CAD,"FIXED_PRICE,BEST_OFFER",grail:Tessar,CA,miggysrediscoveredgoods,100.0,2026-08-15T12:12:06.000Z,,https://www.ebay.ca/itm/398288653820?hash=item5cbbda8dfc:g:HcoAAeSw9Qdpkfvo,https://i.ebayimg.com/images/g/HcoAAeSw9Qdpkfvo/s-l225.jpg
合理,-2%,2660.16,31,71.0,NEAR MINT Hasselblad Carl Zeiss Distagon CFE 40mm F/4 FLE T* Lens,hasselblad distagon 40mm f4,Hasselblad,Lenses,Used,2599.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Distagon;mount:hasselblad v;good-cond,CA,sdnaor,100.0,2026-08-15T17:20:32.000Z,,https://www.ebay.ca/itm/267758212483?hash=item3e57a21583:g:eyUAAeSwtAZqfkyu,https://i.ebayimg.com/images/g/eyUAAeSwtAZqfkyu/s-l225.jpg
合理,+0%,3499.0,9,71.0,NEAR MINT Hasselblad 501CM 6x6cm Medium Format + PM5 Viewfinder + A12 Film Back,hasselblad pm5,Hasselblad,Film Cameras,Used,3499.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:501CM;good-cond,CA,sdnaor,100.0,2026-08-15T17:20:14.000Z,,https://www.ebay.ca/itm/267758212078?hash=item3e57a213ee:g:n7kAAeSwRYJqfi2X,https://i.ebayimg.com/images/g/n7kAAeSwRYJqfi2X/s-l225.jpg
抄底,-48%,1531.14,57,69.0,Panasonic LUMIX G Vario-Elmar 100-400mm f/4-6 Zoom Lens,panasonic elmar 100-400mm f4,Panasonic,Lenses,Used,800.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Elmar,CA,ha112139,100.0,2026-08-15T16:40:41.000Z,,https://www.ebay.ca/itm/298590652780?hash=item458563c96c:g:lVAAAeSwSOpqgJV7,https://i.ebayimg.com/images/g/lVAAAeSwSOpqgJV7/s-l225.jpg
抄底,-46%,93.38,13,68.0,Ricoh FF 700 35mm Film AF System Film Camera Tested Without Film,ricoh 700,Ricoh,Film Cameras,Used,49.99,CAD,FIXED_PRICE,,CA,kewlbargains,99.4,2026-08-15T06:11:52.000Z,,https://www.ebay.ca/itm/178408654858?hash=item2989fc080a:g:PVYAAeSwjSBqgAIf,https://i.ebayimg.com/images/g/PVYAAeSwjSBqgAIf/s-l225.jpg
抄底,-49%,117.19,48,68.0,Yashica ML 50mm f/2 Prime Lens C/Y Contax Mount Made in Japan w/ Case,yashica 50mm f2,Yashica,Lenses,Used,59.9,CAD,"FIXED_PRICE,BEST_OFFER",mount:contax/yashica,CA,basskatcher99,100.0,2026-08-15T13:56:01.000Z,,https://www.ebay.ca/itm/188787025756?hash=item2bf495675c:g:rwEAAeSw4qpqfdAZ,https://i.ebayimg.com/images/g/rwEAAeSw4qpqfdAZ/s-l225.jpg
抄底,-51%,196.41,8,68.0,"Pentax Espio 105SW 35mm Film Camera w/ 28-105mm Lens, Multi AF, Gold",pentax 105sw,Pentax,Film Cameras,Used,95.99,CAD,FIXED_PRICE,,CA,albertabargains,100.0,2026-08-15T14:57:15.000Z,,https://www.ebay.ca/itm/257682101701?hash=item3bff0cd5c5:g:AEYAAeSwZxJo8FzF,https://i.ebayimg.com/images/g/AEYAAeSwZxJo8FzF/s-l225.jpg
抄底,-55%,111.9,80,62.0,Canon T-Mount EMC 500mm F/8 Manual Lens,canon 500mm f8,Canon,Lenses,Used,49.99,CAD,FIXED_PRICE,,CA,paymore_kanata,99.7,2026-08-15T12:01:39.000Z,,https://www.ebay.ca/itm/318733856585?hash=item4a3604af49:g:JBQAAeSwMCBqgERM,https://i.ebayimg.com/images/g/JBQAAeSwMCBqgERM/s-l225.jpg
偏高,+42%,880.54,16,60.0,"【Near MINT】Pentax 645 Medium Format Film Camera w/55mm f2.8, 80-160mm f4.5 Lens",pentax 55mm f2.8,Pentax,Film Cameras,Used,1247.36,CAD,"FIXED_PRICE,BEST_OFFER",grail:645;55mm;good-cond,CA,beccafinds,100.0,2026-08-16T04:11:12.000Z,,https://www.ebay.ca/itm/366608456176?hash=item555b9119f0:g:aaoAAeSw-wlqgTVf,https://i.ebayimg.com/images/g/aaoAAeSw-wlqgTVf/s-l225.jpg
偏低,-10%,3303.3,6,57.0,Fujifilm GW670 III 6X7 Medium Format Camera| Shutter Count:085,fujifilm gw670,Fujifilm,Film Cameras,Used,2955.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:6X7,CA,akeakh-pnszireo,0.0,2026-08-15T19:36:18.000Z,,https://www.ebay.ca/itm/227477377152?hash=item34f6b55080:g:F8EAAeSwhKZqgLxj,https://i.ebayimg.com/images/g/F8EAAeSwhKZqgLxj/s-l225.jpg
