寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,78.0,Canon EOS 750 SLR Film Camera With EF 35-70mm Lens (Untested As. Is),Canon,Film Cameras,For parts or not working,34.26,CAD,FIXED_PRICE,13,1600,mount:canon ef;as-is;underpriced(med 100),CA,sourced_items_online_store,100.0,2026-09-01T20:41:42.000Z,,https://www.ebay.ca/itm/407185876565?hash=item5ece2b6655:g:sI8AAeSwhthqly8N,https://i.ebayimg.com/images/g/sI8AAeSwhthqly8N/s-l225.jpg
残件/按现状,72.0,Canon Prima Shot / Sure Shot Ace / Autoboy Prisma 35mm Film Camera - Untested,Canon,Film Cameras,For parts or not working,29.09,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,as-is;underpriced(med 100),CA,kuba_kuba,99.7,2026-09-01T21:14:21.000Z,,https://www.ebay.ca/itm/336773452751?hash=item4e694313cf:g:V60AAeSwcqdqRaxO,https://i.ebayimg.com/images/g/V60AAeSwcqdqRaxO/s-l225.jpg
残件/按现状,72.0,Camera PRAKTICA LTL PROFESSIONAL CAMERA AS IS BEAUTY!!!!,Praktica,Film Cameras,For parts or not working,41.69,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,as-is;underpriced(med 99),CA,frwl0007,100.0,2026-09-02T13:44:51.000Z,,https://www.ebay.ca/itm/257718484608?hash=item3c0137fe80:g:pbsAAOSwlCBnV1A6,https://i.ebayimg.com/images/g/pbsAAOSwlCBnV1A6/s-l225.jpg
残件/按现状,61.0,Minolta Hi-Matic AF2 35mm Film Camera 38mm f/2.8 - Broken for Parts Repair,Minolta,Film Cameras,For parts or not working,64.99,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,grail:Hi-Matic;as-is,CA,306videogames,100.0,2026-09-02T03:23:59.000Z,,https://www.ebay.ca/itm/820076401852?hash=itembef05cd4bc:g:BlEAAeSwrd5ql4s~,https://i.ebayimg.com/images/g/BlEAAeSwrd5ql4s~/s-l225.jpg
残件/按现状,54.0,Zeiss Ikon 515/2 Pre-war 6x9 Folding Camera Telma Nettar 1:4.5 f=11 Parts Repair,Zeiss,Vintage Cameras,,71.18,CAD,"FIXED_PRICE,BEST_OFFER",15,1600,,CA,zenkatcanada,99.3,2026-09-02T06:04:55.000Z,,https://www.ebay.ca/itm/298638114068?hash=item458837fd14:g:4HEAAeSwh21pIC29,https://i.ebayimg.com/images/g/4HEAAeSwh21pIC29/s-l225.jpg
查无市价,51.0,SUPERB 1949 VINTAGE PRAKTICA w/C.Z. TESSAR 4.5/4cm *40mm* T *10 blades* M42,Praktica,Vintage Cameras,,604.48,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,grail:TESSAR;mount:m42,CA,ussr2,100.0,2026-09-01T15:58:49.000Z,,https://www.ebay.ca/itm/237042860654?hash=item3730db026e:g:RiUAAOSwbsBXn4et,https://i.ebayimg.com/images/g/RiUAAOSwbsBXn4et/s-l225.jpg
残件/按现状,50.0,Fujifilm Finepix SL240 14.0MP 24X Zoom Digital Camera With Case No Power Button,Fujifilm,Digital Cameras,For parts or not working,36.95,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,underpriced(med 100),CA,altitudesalesstore,100.0,2026-09-02T07:01:41.000Z,,https://www.ebay.ca/itm/278334953787?hash=item40ce0e593b:g:BXgAAeSwC5xql8jv,https://i.ebayimg.com/images/g/BXgAAeSwC5xql8jv/s-l225.jpg
型号不明,50.0,Leitz Wetzlar 41911 Optical Viewfinder Finder Scope Adjustable 3.5–13.5 Germany,Leitz,Vintage Lenses,,74.99,CAD,"FIXED_PRICE,BEST_OFFER",18,1600,,CA,followtheirfootsteps,100.0,2026-09-02T05:10:41.000Z,,https://www.ebay.ca/itm/800599834393?hash=itemba6777ff19:g:I9kAAeSw28ppzcNu,https://i.ebayimg.com/images/g/I9kAAeSw28ppzcNu/s-l225.jpg
查无市价,48.0,MINT VOIGTLANDER BESSAMATIC w/SEPTON 2/50mm,Voigtlander,Vintage Cameras,,590.58,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,good-cond,CA,ussr2,100.0,2026-09-01T15:58:50.000Z,,https://www.ebay.ca/itm/237042860655?hash=item3730db026f:g:Gv0AAOSwTQtaSp0B,https://i.ebayimg.com/images/g/Gv0AAOSwTQtaSp0B/s-l225.jpg
查无市价,48.0,VINTAGE VOIGTLANDER BESSAMATIC CAMERA w/DYNAREX 3.4/90mm *MINT*,Voigtlander,Vintage Cameras,,771.23,CAD,"FIXED_PRICE,BEST_OFFER",10,1526,good-cond,CA,ussr2,100.0,2026-09-01T15:58:49.000Z,,https://www.ebay.ca/itm/237042860642?hash=item3730db0262:g:yE8AAOSwhOdXphEg,https://i.ebayimg.com/images/g/yE8AAOSwhOdXphEg/s-l225.jpg
