性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-59%,196.02,9,85.0,Konica Big Mini Jr BM-20 35mm Point Shoot Film Camera Clean Tested USA Duty Paid,konica bm-20,Konica,Film Cameras,Used,80.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Big Mini,CA,phoenixrecommerceco,98.3,2026-09-23T21:08:21.000Z,,https://www.ebay.ca/itm/198662565171?hash=item2e41362d33:g:wUcAAeSwmbxqtD-d,https://i.ebayimg.com/images/g/wUcAAeSwmbxqtD-d/s-l225.jpg
抄底,-50%,90.77,80,72.0,"Fujifilm Instax Mini 11 Instant Film Camera - Sky Blue, Film Tested and Working",fujifilm instax 11,Fujifilm,Film Cameras,Used,45.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,wootiebee,100.0,2026-09-23T13:49:17.000Z,,https://www.ebay.ca/itm/227535738075?hash=item34fa2fd4db:g:qHQAAeSwFTFqorcx,https://i.ebayimg.com/images/g/qHQAAeSwFTFqorcx/s-l225.jpg
抄底,-58%,131.82,63,72.0,Ricoh FF-9 35mm Point & Shoot Film Camera 35mm f/3.5 Lens - Tested,ricoh ff-9,Ricoh,Film Cameras,Used,54.99,CAD,FIXED_PRICE,,CA,stmccon0,99.5,2026-09-24T02:45:15.000Z,,https://www.ebay.ca/itm/336809905212?hash=item4e6b6f4c3c:g:zpcAAeSwj-tqtIyq,https://i.ebayimg.com/images/g/zpcAAeSwj-tqtIyq/s-l225.jpg
抄底,-58%,219.59,80,64.0,"Fujifilm Instax Mini 13 Instant Film Camera with Built-In Selfie Mirror,",fujifilm instax 13,Fujifilm,Vintage Cameras,,93.0,CAD,FIXED_PRICE,low-feedback,CA,vipoutletcanada,93.3,2026-09-23T19:05:25.000Z,,https://www.ebay.ca/itm/237086596808?hash=item3733765ec8:g:lF8AAeSwLAJqtCM2,https://i.ebayimg.com/images/g/lF8AAeSwLAJqtCM2/s-l225.jpg
超值,-37%,111.4,12,62.0,"Fujifilm 125SR Gold 35mm Film Camera, Remote&Manual Included – Tested, Near Mint",fujifilm 125sr,Fujifilm,Film Cameras,Used,69.95,CAD,FIXED_PRICE,good-cond,CA,artisanalleyca,100.0,2026-09-23T22:06:54.000Z,,https://www.ebay.ca/itm/820163989148?hash=itembef5954e9c:g:-o4AAeSwfCJpJGdw,https://i.ebayimg.com/images/g/-o4AAeSwfCJpJGdw/s-l225.jpg
抄底,-50%,158.82,20,62.0,Polaroid SX-70 Land Film One-step Land Camera,polaroid sx-70,Polaroid,Vintage Cameras,,79.99,CAD,FIXED_PRICE,,CA,paymoredartmouth,99.3,2026-09-23T14:41:51.000Z,,https://www.ebay.ca/itm/318908464319?hash=item4a406cfcbf:g:9RsAAeSw9tNqs-Vy,https://i.ebayimg.com/images/g/9RsAAeSw9tNqs-Vy/s-l225.jpg
无基准,,162.17,80,59.0,ZEISS CONTAX I FILM BLACK RANGEFINDER CAMERA +50MM SONNAR F2 LENS NICE,zeiss contax,Zeiss,Film Cameras,Used,0.0,USD,AUCTION,grail:SONNAR;auction,CA,setadel_studios,100.0,2026-09-24T02:30:01.000Z,2026-10-01T02:30:01.000Z,https://www.ebay.ca/itm/297084895270?hash=item452ba3c026:g:d~AAAeSwbMZoZrZt,https://i.ebayimg.com/images/g/d~AAAeSwbMZoZrZt/s-l225.jpg
超值,-30%,113.31,80,56.0,VINTAGE OLYMPUS TRIP 35 40MM f/2.8 POINT AND SHOOT FILM CAMERA - MADE IN JAPAN B,olympus trip f/2.8,Olympus,Film Cameras,Used,79.75,CAD,FIXED_PRICE,,CA,bestsellersbookstore,99.9,2026-09-24T03:01:42.000Z,,https://www.ebay.ca/itm/800707277259?hash=itemba6ddf71cb:g:XaQAAeSww79qtHW8,https://i.ebayimg.com/images/g/XaQAAeSww79qtHW8/s-l225.jpg
无基准,,131.03,80,55.0,Minolta X-700 Black Film Camera MD 50mm F/1.7 Lens From Japan,minolta x-700,Minolta,Film Cameras,Used,0.0,USD,AUCTION,grail:X-700;mount:minolta md;auction,CA,maki_mako_store,100.0,2026-09-24T01:31:10.000Z,2026-10-01T01:31:10.000Z,https://www.ebay.ca/itm/377518693230?hash=item57e5de1b6e:g:HRoAAeSwsUZqSHOp,https://i.ebayimg.com/images/g/HRoAAeSwsUZqSHOp/s-l225.jpg
合理,+10%,181.92,41,55.0,Olympus Stylus Epic Zoom 115 Deluxe 35mm Film Camera,olympus stylus epic 115,Olympus,Film Cameras,Used,200.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Stylus Epic,CA,marksmediaandmore,100.0,2026-09-23T22:45:39.000Z,,https://www.ebay.ca/itm/257761627251?hash=item3c03ca4c73:g:qgIAAeSwSL1qtFZJ,https://i.ebayimg.com/images/g/qgIAAeSwSL1qtFZJ/s-l225.jpg
