寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,78.0,Nikon F-801 35mm Film SLR Camera Body Only Authentic Vintage Untested As-Is,Nikon,Film Cameras,For parts or not working,39.99,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,mount:nikon f;as-is;underpriced(med 120),CA,freshlysnazzed,100.0,2026-09-11T23:00:01.000Z,,https://www.ebay.ca/itm/377484256580?hash=item57e3d0a544:g:87wAAeSwehJqoYFT,https://i.ebayimg.com/images/g/87wAAeSwehJqoYFT/s-l225.jpg
残件/按现状,72.0,Nikon Lite Touch Zoom 70WS AF QD 35mm Film Camera For Parts Or Repairs READ,Nikon,Film Cameras,For parts or not working,34.87,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,as-is;underpriced(med 120),CA,finderskeepersreselling,100.0,2026-09-11T15:23:35.000Z,,https://www.ebay.ca/itm/257736901658?hash=item3c0251041a:g:OYgAAeSw6BlqpBzf,https://i.ebayimg.com/images/g/OYgAAeSw6BlqpBzf/s-l225.jpg
残件/按现状,72.0,Rare vintage Canon Photura 35MM AUTO ZOOM LENS 35-105MM - UNTESTED,Canon,Film Cameras,Used,34.88,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,as-is;underpriced(med 100),CA,hurtz17,100.0,2026-09-12T02:59:32.000Z,,https://www.ebay.ca/itm/168682248981?hash=item27463edb15:g:WGIAAeSwax1qpMAE,https://i.ebayimg.com/images/g/WGIAAeSwax1qpMAE/s-l225.jpg
残件/按现状,64.0,Canon TLb 35mm SLR Film Camera with Canon Lens FD 50 mm 1:18 & Case,Canon,Film Cameras,For parts or not working,50.0,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,mount:canon fd,CA,spot1970,100.0,2026-09-11T13:40:19.000Z,,https://www.ebay.ca/itm/168680870894?hash=item274629d3ee:g:hlwAAeSwFqxqpALf,https://i.ebayimg.com/images/g/hlwAAeSwFqxqpALf/s-l225.jpg
残件/按现状,61.0,Olympus Stylus Epic DLX 35mm Film Camera Gold f/2.8 Panorama Mju II FOR PARTS,Olympus,Film Cameras,For parts or not working,129.99,CAD,"FIXED_PRICE,BEST_OFFER",22,1600,grail:Stylus Epic;as-is,CA,306videogames,100.0,2026-09-12T08:07:34.000Z,,https://www.ebay.ca/itm/820117359166?hash=itembef2cdca3e:g:srUAAeSwJMFqpOb4,https://i.ebayimg.com/images/g/srUAAeSwJMFqpOb4/s-l225.jpg
残件/按现状,55.0,Minolta X-700 35mm Film SLR Camera 3 Lenses + Extras UNTESTED,Minolta,Film Cameras,For parts or not working,229.0,CAD,FIXED_PRICE,7,1600,grail:X-700;as-is,CA,jay_89_bay,99.8,2026-09-12T00:20:59.000Z,,https://www.ebay.ca/itm/407210387647?hash=item5ecfa168bf:g:~BUAAeSwGb1qpJqC,https://i.ebayimg.com/images/g/~BUAAeSwGb1qpJqC/s-l225.jpg
型号不明,52.0,Tamron Adaptall 2 Mount For Minolta SRT,Tamron,Lenses,Used,24.99,CAD,"FIXED_PRICE,BEST_OFFER",4,1600,underpriced(med 200),CA,picks_86,99.2,2026-09-11T06:06:18.000Z,,https://www.ebay.ca/itm/188915499235?hash=item2bfc3dc0e3:g:oxMAAeSwWp9pFAl6,https://i.ebayimg.com/images/g/oxMAAeSwWp9pFAl6/s-l225.jpg
残件/按现状,50.0,Pentax Optio A10 Digital Camera 8 MP No Battery Charger. Untested.,Pentax,Digital Cameras,Used,24.99,CAD,"FIXED_PRICE,BEST_OFFER",8,1599,as-is;underpriced(med 102),CA,underthemat99,100.0,2026-09-11T19:06:20.000Z,,https://www.ebay.ca/itm/237063388737?hash=item3732143e41:g:uTgAAeSwhH5qpFC-,https://i.ebayimg.com/images/g/uTgAAeSwhH5qpFC-/s-l225.jpg
残件/按现状,50.0,Canon PowerShot SD200 Digital Camera 3x Zoom For Parts LCD Screen Issue READ,Canon,Digital Cameras,For parts or not working,29.87,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,as-is;underpriced(med 200),CA,finderskeepersreselling,100.0,2026-09-11T15:17:18.000Z,,https://www.ebay.ca/itm/257736898516?hash=item3c0250f7d4:g:Sb8AAeSwzjZqoIaX,https://i.ebayimg.com/images/g/Sb8AAeSwzjZqoIaX/s-l225.jpg
残件/按现状,50.0,Fujifilm XP100 14.4MP Waterproof Shockproof Camera NOT BROKEN. SEE DESCRIPTION!,Fujifilm,Digital Cameras,For parts or not working,39.99,CAD,"FIXED_PRICE,BEST_OFFER",15,1600,as-is;underpriced(med 100),CA,premediadirect,100.0,2026-09-11T23:27:02.000Z,,https://www.ebay.ca/itm/398385639248?hash=item5cc1a26f50:g:CC8AAeSwUZNqpI1d,https://i.ebayimg.com/images/g/CC8AAeSwUZNqpI1d/s-l225.jpg
查无市价,50.0,90s Vintage Pentax Espio 115G 35mm Camera Zoom Lens 38-115mm AF E6691,Pentax,Vintage Cameras,,44.8,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,,CA,derrick4earl,99.6,2026-09-12T01:54:36.000Z,,https://www.ebay.ca/itm/147567319094?hash=item225bb29836:g:a8EAAeSwFeFpnhq5,https://i.ebayimg.com/images/g/a8EAAeSwFeFpnhq5/s-l225.jpg
残件/按现状,50.0,Ricoh FF-9S 35mm Film Camera | Compact Point & Shoot | Untested,Ricoh,Film Cameras,Used,46.05,CAD,"FIXED_PRICE,BEST_OFFER",12,1440,as-is,CA,miggysrediscoveredgoods,98.8,2026-09-12T07:32:11.000Z,,https://www.ebay.ca/itm/398386719211?hash=item5cc1b2e9eb:g:ab4AAeSwEp1pikZk,https://i.ebayimg.com/images/g/ab4AAeSwEp1pikZk/s-l225.jpg
残件/按现状,50.0,Canon Powershot A2600 HD - Digital Camera 16MP - Black - FOR PARTS,Canon,Digital Cameras,For parts or not working,49.99,CAD,"FIXED_PRICE,BEST_OFFER",5,640,as-is;underpriced(med 200),CA,johnwhitecar,100.0,2026-09-11T17:11:42.000Z,,https://www.ebay.ca/itm/237063186613?hash=item37321128b5:g:WrIAAeSw7fFqpDS2,https://i.ebayimg.com/images/g/WrIAAeSw7fFqpDS2/s-l225.jpg
残件/按现状;打包杂件,50.0,(3) Brands Digital Cameras Lot Untested Canon PowerShot A520 / A95 Insignia,Canon,Digital Cameras,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,as-is;underpriced(med 200),CA,redbull_29,100.0,2026-09-12T05:05:26.000Z,,https://www.ebay.ca/itm/278366919672?hash=item40cff61bf8:g:K-MAAeSwAwdqpNwj,https://i.ebayimg.com/images/g/K-MAAeSwAwdqpNwj/s-l225.jpg
