寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,72.0,Olympus TRIP AF31 DX 34mm Point & Shoot Film Camera For *Parts And Repair Only*,Olympus,Film Cameras,For parts or not working,24.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,underpriced(med 149),CA,collector_papa,100.0,2026-09-24T01:03:05.000Z,,https://www.ebay.ca/itm/377518655283?hash=item57e5dd8733:g:iu4AAeSwriBoyFOO,https://i.ebayimg.com/images/g/iu4AAeSwriBoyFOO/s-l225.jpg
残件/按现状,72.0,Canon A35F 35mm Rangefinder Film Camera 40mm f/2.8 FOR PARTS / REPAIR,Canon,Film Cameras,For parts or not working,32.54,CAD,"FIXED_PRICE,BEST_OFFER",14,1600,as-is;underpriced(med 100),CA,buncsdeals,100.0,2026-09-23T17:58:12.000Z,,https://www.ebay.ca/itm/327371204953?hash=item4c38d82959:g:3xAAAeSwf2RqtBKm,https://i.ebayimg.com/images/g/3xAAAeSwf2RqtBKm/s-l225.jpg
残件/按现状,72.0,Nikon F70 N70 35mm Film Camera + Tamron AF 28-200mm Lens Parts Repair,Nikon,Film Cameras,For parts or not working,47.49,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,underpriced(med 125),CA,yegtreasures,100.0,2026-09-23T07:36:40.000Z,,https://www.ebay.ca/itm/377516966731?hash=item57e5c3c34b:g:EdgAAeSwvnVqL1y~,https://i.ebayimg.com/images/g/EdgAAeSwvnVqL1y~/s-l225.jpg
查无市价,71.0,LEICA M-A TITAN SET TITANIUM 10372 +50MM APO-SUMMICRON-M ASPH F2 RARE XX/250 NEW,Leica,Film Cameras,Used,0.0,USD,AUCTION,11,1600,grail:SUMMICRON;mount:leica m;auction,CA,setadel_studios,100.0,2026-09-24T02:30:01.000Z,2026-10-01T02:30:01.000Z,https://www.ebay.ca/itm/267775212639?hash=item3e58a57c5f:g:avwAAeSwbsZqmbZl,https://i.ebayimg.com/images/g/avwAAeSwbsZqmbZl/s-l225.jpg
型号不明,61.0,Leica-L39 mount – Rollie 80f2.8 Planar HFT black lens,Leica,Lenses,Open box,0.0,USD,"AUCTION,BEST_OFFER",3,1600,grail:Planar;mount:ltm/l39;auction,CA,ykwwwwandrew,0.0,2026-09-24T06:24:47.000Z,2026-10-01T06:24:47.000Z,https://www.ebay.ca/itm/206578531196?hash=item30190a3b7c:g:rIAAAeSw~UZqtLgS,https://i.ebayimg.com/images/g/rIAAAeSw~UZqtLgS/s-l225.jpg
残件/按现状,61.0,"[For parts] Contax 50mm f1.4 Planar Lens Carl Zeiss, Inoperable",Contax,Lenses,For parts or not working,139.0,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,grail:Planar;as-is,CA,jef-9005,100.0,2026-09-23T17:02:50.000Z,,https://www.ebay.ca/itm/398424611725?hash=item5cc3f51b8d:g:YV8AAeSwpAVqtAZp,https://i.ebayimg.com/images/g/YV8AAeSwpAVqtAZp/s-l225.jpg
残件/按现状,58.0,READ Canon Sure Shot 90u READ*** Parts or repair only POWERS ON 38-90 mm,Canon,Film Cameras,For parts or not working,49.99,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,,CA,jalav8193,100.0,2026-09-23T15:55:45.000Z,,https://www.ebay.ca/itm/298701007837?hash=item458bf7abdd:g:208AAeSwsHRqX9Ec,https://i.ebayimg.com/images/g/208AAeSwsHRqX9Ec/s-l225.jpg
残件/按现状,55.0,Olympus Infinity Stylus Epic DLX (MJU II) - TESTED - WORKS (READ DESCRIPTION!),Olympus,Film Cameras,Used,0.0,USD,"AUCTION,BEST_OFFER",11,1600,grail:Stylus Epic;auction,CA,woophoto,100.0,2026-09-24T04:31:48.000Z,2026-10-01T04:31:48.000Z,https://www.ebay.ca/itm/800707634645?hash=itemba6de4e5d5:g:GdQAAeSw15RqtC~o,https://i.ebayimg.com/images/g/GdQAAeSw15RqtC~o/s-l225.jpg
查无市价,55.0,LEICA 50MM SUMMICRON-M F2 70 JAHRE 1913-1983 11819 LENS +BOX +SHADE RARE,Leica,Lenses,Used,0.0,USD,AUCTION,5,1600,grail:SUMMICRON;auction,CA,setadel_studios,100.0,2026-09-24T02:30:01.000Z,2026-10-01T02:30:01.000Z,https://www.ebay.ca/itm/298467717613?hash=item457e0ff1ed:g:TFQAAeSwp21qRBAu,https://i.ebayimg.com/images/g/TFQAAeSwp21qRBAu/s-l225.jpg
残件/按现状,50.0,Canon PowerShot A480 FOR PARTS REPAIR 10.0MP Digital Camera Blue,Canon,Digital Cameras,For parts or not working,24.99,CAD,FIXED_PRICE,4,1177,as-is;underpriced(med 210),CA,curiouscurationsca,100.0,2026-09-23T21:11:51.000Z,,https://www.ebay.ca/itm/407239975386?hash=item5ed164e1da:g:zSAAAeSwqBJqtD9S,https://i.ebayimg.com/images/g/zSAAAeSwqBJqtD9S/s-l225.jpg
查无市价,50.0,Fujifilm DL-190 Zoom Date 35mm point and shoot film camera Black Built-in Flash,Fujifilm,Film Cameras,Used,29.99,CAD,FIXED_PRICE,5,1500,,CA,654.the.store,100.0,2026-09-23T10:14:20.000Z,,https://www.ebay.ca/itm/407238583796?hash=item5ed14fa5f4:g:GIEAAeSwrONqsmsv,https://i.ebayimg.com/images/g/GIEAAeSwrONqsmsv/s-l225.jpg
残件/按现状,50.0,Fujifilm FinePix S5200 5.1MP 10x Zoom Digital Camera Tested Read Description!,Fujifilm,Digital Cameras,Used,40.0,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,underpriced(med 110),CA,thepinestradingcompany,100.0,2026-09-23T20:13:08.000Z,,https://www.ebay.ca/itm/318909479254?hash=item4a407c7956:g:ztEAAeSwYHRqqU8L,https://i.ebayimg.com/images/g/ztEAAeSwYHRqqU8L/s-l225.jpg
打包杂件,50.0,Canon PowerShot A75 Digital Camera Silver Bundle TESTED WORKING,Canon,Digital Cameras,Used,60.0,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,underpriced(med 210),CA,dc-treasure-vault,99.9,2026-09-23T20:51:30.000Z,,https://www.ebay.ca/itm/318909588633?hash=item4a407e2499:g:5coAAeSwmaVqZ2kx,https://i.ebayimg.com/images/g/5coAAeSwmaVqZ2kx/s-l225.jpg
残件/按现状;图片过小,50.0,Canon PowerShot SD850 IS 8MP Digital Camera 4x Optical Zoom For Parts Repair,Canon,Digital Cameras,For parts or not working,60.0,CAD,"FIXED_PRICE,BEST_OFFER",9,617,as-is;underpriced(med 210),CA,eastcoastbuysell,100.0,2026-09-23T14:36:35.000Z,,https://www.ebay.ca/itm/168714671607?hash=item27482d95f7:g:UiYAAeSwiYhqs-Pm,https://i.ebayimg.com/images/g/UiYAAeSwiYhqs-Pm/s-l225.jpg
型号不明,46.0,Makinon MX2 2X Dual Functional Converter + Extension Set – Pentax K Mount,Pentax,Lenses,Open box,25.1,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,mount:pentax k,CA,buncsdeals,100.0,2026-09-23T19:21:04.000Z,,https://www.ebay.ca/itm/327371294356?hash=item4c38d98694:g:ouEAAeSwHgdqtCWo,https://i.ebayimg.com/images/g/ouEAAeSwHgdqtCWo/s-l225.jpg
残件/按现状;打包杂件,44.0,Minolta XG-M 35mm Camera Bundle Lot - Untested,Minolta,Film Cameras,Used,84.87,CAD,"FIXED_PRICE,BEST_OFFER",11,1164,as-is,CA,lanovs,100.0,2026-09-23T23:55:10.000Z,,https://www.ebay.ca/itm/298701941195?hash=item458c05e9cb:g:sBwAAeSwnSNqE1tm,https://i.ebayimg.com/images/g/sBwAAeSwnSNqE1tm/s-l225.jpg
查无市价,44.0,Minolta AFZ Autofocus 35mm Film Analog Camera F35mm f2.8,Minolta,Film Cameras,Used,149.98,CAD,"FIXED_PRICE,BEST_OFFER",15,1600,,CA,cameraphotovideo-kato,100.0,2026-09-23T19:51:15.000Z,,https://www.ebay.ca/itm/117427705186?hash=item1b573c9562:g:E5EAAeSwjBpqsCV9,https://i.ebayimg.com/images/g/E5EAAeSwjBpqsCV9/s-l225.jpg
