性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-80%,675.56,24,99.0,"Contax TVS data back, metal hood, and cap",contax tvs data,Contax,Film Cameras,Used,132.88,CAD,FIXED_PRICE,grail:Contax TVS,CA,mignon1,99.0,2026-09-19T19:34:54.000Z,,https://www.ebay.ca/itm/267790167408?hash=item3e5989ad70:g:lGoAAOSwlN9jpOrs,https://i.ebayimg.com/images/g/lGoAAOSwlN9jpOrs/s-l225.jpg
抄底,-49%,97.9,80,72.0,"Vintage Yashica P&S Camera, 35mm Film, Zoomate 80 - Tested Working",yashica 80,Yashica,Film Cameras,Used,49.63,CAD,"FIXED_PRICE,BEST_OFFER",,CA,rasecdiamond,99.9,2026-09-20T03:12:29.000Z,,https://www.ebay.ca/itm/820148492273?hash=itembef4a8d7f1:g:HqUAAeSwYjtqr0yw,https://i.ebayimg.com/images/g/HqUAAeSwYjtqr0yw/s-l225.jpg
抄底,-61%,152.58,25,72.0,Fujifilm DL‑95 Super 35mm Point & Shoot Compact Film Camera,fujifilm 95,Fujifilm,Film Cameras,Used,60.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,redverbatim74,100.0,2026-09-19T06:24:07.000Z,,https://www.ebay.ca/itm/188950272751?hash=item2bfe505aef:g:xT0AAeSwSyBqriCb,https://i.ebayimg.com/images/g/xT0AAeSwSyBqriCb/s-l225.jpg
抄底,-51%,308.94,33,72.0,Brand New Fujifilm Instax Wide 400 Instant Camera - Green,fujifilm instax 400,Fujifilm,Film Cameras,New,150.0,CAD,FIXED_PRICE,,CA,twa-528,0.0,2026-09-20T05:55:06.000Z,,https://www.ebay.ca/itm/820148851125?hash=itembef4ae51b5:g:GrgAAeSwMaJqr3RQ,https://i.ebayimg.com/images/g/GrgAAeSwMaJqr3RQ/s-l225.jpg
抄底,-51%,132.88,49,68.0,Minolta MD • Rokkor-X • 45mm • f/2 • 1:2 • Manual Focus Lens • Made In Japan,minolta rokkor 45mm f2,Minolta,Lenses,Used,65.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:minolta md,CA,stylish_hats,100.0,2026-09-20T10:18:55.000Z,,https://www.ebay.ca/itm/147586273609?hash=item225cd3d149:g:VScAAeSwt5dqr7I1,https://i.ebayimg.com/images/g/VScAAeSwt5dqr7I1/s-l225.jpg
抄底,-50%,70.18,17,66.0,Pentax ESPIO 95S Point and Shoot 35mm Film Camera Grey Silver,pentax 95s,Pentax,Film Cameras,Used,34.95,CAD,"FIXED_PRICE,BEST_OFFER",,CA,nutsonormal,100.0,2026-09-20T00:06:44.000Z,,https://www.ebay.ca/itm/147585287697?hash=item225cc4c611:g:UBwAAeSwEFxqQrcq,https://i.ebayimg.com/images/g/UBwAAeSwEFxqQrcq/s-l225.jpg
抄底,-69%,111.94,8,62.0,Olympus TRIP 100R Retro 35mm FILM CAMERA - Tested & Working,olympus 100r,Olympus,Film Cameras,Used,34.99,CAD,FIXED_PRICE,,CA,resaleplay,99.3,2026-09-19T04:06:18.000Z,,https://www.ebay.ca/itm/188949884066?hash=item2bfe4a6ca2:g:NHYAAeSwZkVqqabI,https://i.ebayimg.com/images/g/NHYAAeSwZkVqqabI/s-l225.jpg
超值,-30%,99.5,80,62.0,Canon T70 Camera 35mm SLRwith Canon FD 50mm 1:1.8 Lens Working Used,canon t70,Canon,Film Cameras,Used,70.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon fd,CA,tada64646,100.0,2026-09-19T11:11:01.000Z,,https://www.ebay.ca/itm/407229073929?hash=item5ed0be8a09:g:kDYAAeSw4Z1qqTzS,https://i.ebayimg.com/images/g/kDYAAeSw4Z1qqTzS/s-l225.jpg
合理,-4%,730.4,20,61.0,Zeiss Distagon T 35mm f/2 ZE — Canon EF Mount — Great Condition,zeiss ef 35mm f2,Zeiss,Lenses,Used,700.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Distagon;mount:canon ef,CA,zby094,0.0,2026-09-19T18:05:28.000Z,,https://www.ebay.ca/itm/237078344968?hash=item3732f87508:g:ZVYAAeSw7fFqrs12,https://i.ebayimg.com/images/g/ZVYAAeSw7fFqrs12/s-l225.jpg
抄底,-51%,58.76,67,56.0,Magnicon Multi-coated Auto Macro 28mm f2.8 lens 70% condition Konica KR Mount,konica 28mm f2.8,Konica,Lenses,Used,28.95,CAD,FIXED_PRICE,,CA,caromcl_23,99.8,2026-09-20T01:31:37.000Z,,https://www.ebay.ca/itm/407230545394?hash=item5ed0d4fdf2:g:Zi4AAeSw53JqrzdI,https://i.ebayimg.com/images/g/Zi4AAeSw53JqrzdI/s-l225.jpg
