寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,72.0,Olympus Stylus Zoom 115 Deluxe DLX Camera Gold - For Parts / Repair,Olympus,Film Cameras,For parts or not working,31.39,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,as-is;underpriced(med 152),CA,qwestsupply,100.0,2026-08-13T09:39:14.000Z,,https://www.ebay.ca/itm/237003118192?hash=item372e7c9670:g:2mMAAeSwSORodE6l,https://i.ebayimg.com/images/g/2mMAAeSwSORodE6l/s-l225.jpg
残件/按现状,71.0,Broken Canon EF-S 18-55mm f/3.5-5.6 IS II - Does not Auto Focus,Canon,Lenses,For parts or not working,59.99,CAD,FIXED_PRICE,3,1500,mount:canon ef;55mm;as-is;underpriced(med 160),CA,paymore_kanata,99.6,2026-08-13T23:51:28.000Z,,https://www.ebay.ca/itm/318726119144?hash=item4a358e9ee8:g:uKgAAeSw1clqfeSa,https://i.ebayimg.com/images/g/uKgAAeSw1clqfeSa/s-l225.jpg
残件/按现状,67.0,Canon PowerShot G1 Digital Camera + Olympus µ mju Digital 600 -Untested See Desc,Canon,Digital Cameras,For parts or not working,49.95,CAD,FIXED_PRICE,12,1600,grail:mju;as-is;underpriced(med 195),CA,ttnsuch,100.0,2026-08-13T20:43:51.000Z,,https://www.ebay.ca/itm/158185304090?hash=item24d494301a:g:pacAAeSwv8xqfiu3,https://i.ebayimg.com/images/g/pacAAeSwv8xqfiu3/s-l225.jpg
残件/按现状,67.0,CANON AE-1 PROGRAM 35MM SLR FILM CAMERA FD 50MM 1:1.8 LENS - NEEDS REPAIR *READ*,Canon,Film Cameras,For parts or not working,124.75,CAD,FIXED_PRICE,12,1600,grail:AE-1;mount:canon fd,CA,bestsellersbookstore,99.9,2026-08-14T00:46:00.000Z,,https://www.ebay.ca/itm/800504450556?hash=itemba61c88dfc:g:lNsAAOSwbwFnrpwJ,https://i.ebayimg.com/images/g/lNsAAOSwbwFnrpwJ/s-l225.jpg
查无市价,65.0,Leica M4-2 Camera,Leica,Film Cameras,Used,0.0,USD,"AUCTION,BEST_OFFER",17,1600,grail:Leica M4;auction,CA,irisviolet3,100.0,2026-08-13T23:14:25.000Z,2026-08-20T23:14:25.000Z,https://www.ebay.ca/itm/278277623631?hash=item40caa38f4f:g:peMAAeSwQdhqARYL,https://i.ebayimg.com/images/g/peMAAeSwQdhqARYL/s-l225.jpg
残件/按现状,64.0,Pentax K1000 SLR Camera Body Untested w/ 49mm Lens UNTESTED & Leather Case,Pentax,Film Cameras,Used,129.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,grail:K1000;49mm;as-is,CA,hubersmarketplace,100.0,2026-08-14T10:19:00.000Z,,https://www.ebay.ca/itm/128026218450?hash=item1dcef50fd2:g:LAQAAeSwAVhqfuuD,https://i.ebayimg.com/images/g/LAQAAeSwAVhqfuuD/s-l225.jpg
残件/按现状,61.0,Canon AE-1 35mm Film Manual Camera with 50mm Lens Untested Read Vintage Japan,Canon,Film Cameras,For parts or not working,139.99,CAD,"FIXED_PRICE,BEST_OFFER",16,1600,grail:AE-1;as-is,CA,vincesvintage*,100.0,2026-08-14T11:42:07.000Z,,https://www.ebay.ca/itm/168613218185?hash=item2742218789:g:LckAAeSwMk1qfv3D,https://i.ebayimg.com/images/g/LckAAeSwMk1qfv3D/s-l225.jpg
残件/按现状,58.0,Canon AF35M Autoboy Point Shoot 35mm Film Camera 38mm F2.8 Lens Powers On *READ*,Canon,Film Cameras,For parts or not working,44.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,,CA,hubersmarketplace,100.0,2026-08-13T08:22:17.000Z,,https://www.ebay.ca/itm/128024230725?hash=item1dced6bb45:g:cEwAAeSwLLxqLRoo,https://i.ebayimg.com/images/g/cEwAAeSwLLxqLRoo/s-l225.jpg
残件/按现状,58.0,NIKON Lite Touch Zoom 70w AF Camera- Untested,Nikon,Film Cameras,For parts or not working,50.0,CAD,FIXED_PRICE,7,1600,as-is,CA,andmcg_5541,99.0,2026-08-13T22:42:06.000Z,,https://www.ebay.ca/itm/137618397107?hash=item200ab217b3:g:5vYAAeSwtixqfkgr,https://i.ebayimg.com/images/g/5vYAAeSwtixqfkgr/s-l225.jpg
查无市价,56.0,Vintage Minolta-16 Subminiature Camera Chiyoda Kogaku Japan Rokkor 25mm f3.5,Minolta,Vintage Cameras,,33.99,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,mount:minolta md,CA,happydealgarden,100.0,2026-08-13T23:03:11.000Z,,https://www.ebay.ca/itm/287523525366?hash=item42f1bcd2f6:g:mN4AAOSwmLFmvR0Q,https://i.ebayimg.com/images/g/mN4AAOSwmLFmvR0Q/s-l225.jpg
型号不明;图片过小,56.0,"Micro Zoom Lens Nikon/Vivitar Micro Zoom Lens Japon Black 5,5""mm Case Aluminum",Nikon,Lenses,Used,64.99,CAD,"FIXED_PRICE,BEST_OFFER",12,512,underpriced(med 202),CA,percivalbuntyn,99.3,2026-08-13T11:20:01.000Z,,https://www.ebay.ca/itm/188786301982?hash=item2bf48a5c1e:g:hscAAOSw9XNnaGj~,https://i.ebayimg.com/images/g/hscAAOSw9XNnaGj~/s-l225.jpg
型号不明,55.0,Camera Leitz Lens Elmarit - R 1:28/90,Leitz,Lenses,Used,0.0,USD,"AUCTION,BEST_OFFER",7,1600,grail:Elmarit;auction,CA,irisviolet3,100.0,2026-08-13T23:09:36.000Z,2026-08-20T23:09:36.000Z,https://www.ebay.ca/itm/278277598243?hash=item40caa32c23:g:oN0AAeSwH1ZolkSO,https://i.ebayimg.com/images/g/oN0AAeSwH1ZolkSO/s-l225.jpg
残件/按现状,50.0,Fujifilm FinePix Series S1000fd 10MP Digital Camera Black 12X Zoom Parts Repair,Fujifilm,Digital Cameras,For parts or not working,25.1,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,underpriced(med 120),CA,zenkatcanada,99.3,2026-08-13T05:35:20.000Z,,https://www.ebay.ca/itm/298583836242?hash=item4584fbc652:g:SOYAAeSwwYxn45i2,https://i.ebayimg.com/images/g/SOYAAeSwwYxn45i2/s-l225.jpg
