寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,75.0,Canon New Canonet 28 35mm Rangefinder Camera 40mm f/2.8 Cap Strap Parts Repair,Canon,Film Cameras,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",16,1600,grail:Canonet,CA,miggysrediscoveredgoods,98.8,2026-09-17T12:00:01.000Z,,https://www.ebay.ca/itm/398401621092?hash=item5cc2964c64:g:ULkAAeSwOydqqurp,https://i.ebayimg.com/images/g/ULkAAeSwOydqqurp/s-l225.jpg
查无市价,72.0,CANON Sure Shot AF-7s 35mm Film Point and Shoot Camera TESTED/Working & Case,Canon,Film Cameras,Used,34.97,CAD,FIXED_PRICE,9,1600,underpriced(med 102),CA,canadian*treasures,99.2,2026-09-17T20:13:03.000Z,,https://www.ebay.ca/itm/800677251633?hash=itemba6c154a31:g:00MAAeSwa15qrEl-,https://i.ebayimg.com/images/g/00MAAeSwa15qrEl-/s-l225.jpg
残件/按现状,72.0,Camera PRAKTICA LTL PROFESSIONAL CAMERA AS IS BEAUTY!!!!,Praktica,Film Cameras,For parts or not working,40.57,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,as-is;underpriced(med 110),CA,frwl0007,100.0,2026-09-17T11:30:29.000Z,,https://www.ebay.ca/itm/257748242400?hash=item3c02fe0fe0:g:pbsAAOSwlCBnV1A6,https://i.ebayimg.com/images/g/pbsAAOSwlCBnV1A6/s-l225.jpg
残件/按现状,69.0,Asahi Pentax Spotmatic SP 35mm Film SLR Camera - UNTESTED FOR PARTS READ,Asahi,Film Cameras,For parts or not working,70.0,CAD,FIXED_PRICE,19,1600,grail:Spotmatic;as-is,CA,canadianflipper902,99.7,2026-09-17T16:43:57.000Z,,https://www.ebay.ca/itm/307184290833?hash=item47859c4c11:g:Xt4AAeSwD91qrBeq,https://i.ebayimg.com/images/g/Xt4AAeSwD91qrBeq/s-l225.jpg
查无市价,61.0,Minolta SRT-101 Classic Manual 35mm SLR Camera w/ 50mm Prime Lens- Working Meter,Minolta,Vintage Cameras,,98.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,grail:SRT-101,CA,intofoc.usmontreal,98.3,2026-09-17T23:28:05.000Z,,https://www.ebay.ca/itm/267788512967?hash=item3e59706ec7:g:7O4AAeSwnCZqfM7D,https://i.ebayimg.com/images/g/7O4AAeSwnCZqfM7D/s-l225.jpg
残件/按现状,60.0,⭐Nikon 1 NIKKOR 10-30mm f/3.5-5.6 VR Lens – For Parts / Repair,Nikon,Lenses,For parts or not working,49.58,CAD,FIXED_PRICE,2,1200,mount:nikon f;as-is;underpriced(med 200);low-feedback,CA,servor40,96.9,2026-09-17T20:46:46.000Z,,https://www.ebay.ca/itm/800677331118?hash=itemba6c1680ae:g:PosAAeSw7k9qrFGE,https://i.ebayimg.com/images/g/PosAAeSw7k9qrFGE/s-l225.jpg
残件/按现状,58.0,Praktica IV F 35mm SLR Film Camera Body Only Parts Repair As-Is,Praktica,Film Cameras,For parts or not working,54.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,as-is,CA,306videogames,100.0,2026-09-17T23:47:30.000Z,,https://www.ebay.ca/itm/820140170799?hash=itembef429de2f:g:RcgAAeSwvoBqrHLF,https://i.ebayimg.com/images/g/RcgAAeSwvoBqrHLF/s-l225.jpg
残件/按现状,58.0,2 cameras olympus OM 1/canon AE 1 Body Only for Parts.READ,Olympus,Film Cameras,For parts or not working,80.0,CAD,"FIXED_PRICE,BEST_OFFER",23,1600,mount:olympus om;as-is,CA,beraliere,100.0,2026-09-17T15:36:34.000Z,,https://www.ebay.ca/itm/298683111142?hash=item458ae696e6:g:spMAAeSwxEpo6sPx,https://i.ebayimg.com/images/g/spMAAeSwxEpo6sPx/s-l225.jpg
残件/按现状,55.0,Pentax Asahi K1000 35mm Camera + Case + 80-200mm Lens UNTESTED,Pentax,Film Cameras,Used,180.0,CAD,FIXED_PRICE,14,1600,grail:K1000;as-is,CA,cashbox1m,99.9,2026-09-17T19:46:35.000Z,,https://www.ebay.ca/itm/318883870713?hash=item4a3ef5b7f9:g:QEgAAeSwFqxqrEJX,https://i.ebayimg.com/images/g/QEgAAeSwFqxqrEJX/s-l225.jpg
型号不明,52.0,SIGMA UC ZOOM 70-210 1:4-5.6 MULTI-COATED LENS Made in Japan,Sigma,Lenses,Used,34.96,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,underpriced(med 411),CA,marexx123,100.0,2026-09-18T06:55:51.000Z,,https://www.ebay.ca/itm/198649724518?hash=item2e40723e66:g:dSsAAOSwVSBiZSGp,https://i.ebayimg.com/images/g/dSsAAOSwVSBiZSGp/s-l225.jpg
残件/按现状,52.0,Olympus Trip 35 35mm Point & Shoot Film Camera PARTS REPAIR,Olympus,Film Cameras,For parts or not working,81.43,CAD,"FIXED_PRICE,BEST_OFFER",20,1600,,CA,happydealgarden,100.0,2026-09-17T14:37:50.000Z,,https://www.ebay.ca/itm/287592248311?hash=item42f5d573f7:g:ZAUAAeSweMBoeWrq,https://i.ebayimg.com/images/g/ZAUAAeSweMBoeWrq/s-l225.jpg
查无市价,50.0,"FUJIFILM QuickSnap Outdoor Disposable Camera, 15 Exposures Expired. 2005",Fujifilm,Film Cameras,New,24.99,CAD,"FIXED_PRICE,BEST_OFFER",6,1440,,CA,northernrustic,100.0,2026-09-17T13:21:34.000Z,,https://www.ebay.ca/itm/298682756604?hash=item458ae12dfc:g:2KsAAeSwICxnt5cb,https://i.ebayimg.com/images/g/2KsAAeSwICxnt5cb/s-l225.jpg
残件/按现状,50.0,Nikon COOLPIX L1 6.2MP Digital Camera Black 5X Zoom Parts or Repair Only,Nikon,Digital Cameras,For parts or not working,26.1,CAD,"FIXED_PRICE,BEST_OFFER",15,1600,underpriced(med 180),CA,ultramarprovisions,100.0,2026-09-17T14:03:35.000Z,,https://www.ebay.ca/itm/800675987869?hash=itemba6c02019d:g:PfQAAeSwOoppQv2w,https://i.ebayimg.com/images/g/PfQAAeSwOoppQv2w/s-l225.jpg
查无市价,50.0,Olympus D-425 Camedia 4.0 MP Digital Camera Silver Tested Working,Olympus,Digital Cameras,Used,32.99,CAD,FIXED_PRICE,7,1600,underpriced(med 95),CA,peoples_stallion4,100.0,2026-09-17T17:14:05.000Z,,https://www.ebay.ca/itm/178505437156?hash=item298fc0cfe4:g:rP0AAeSwXFhqrB77,https://i.ebayimg.com/images/g/rP0AAeSwXFhqrB77/s-l225.jpg
