寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,99.0,Zeiss Ikon Contaflex 35mm Camera Tessar 50mm f/2.8 Synchro-Compur Parts Repair,Zeiss,Film Cameras,For parts or not working,39.95,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,grail:Tessar;underpriced(med 175),CA,perpato,100.0,2026-09-15T19:27:16.000Z,,https://www.ebay.ca/itm/287588705579?hash=item42f59f652b:g:EioAAeSwDTZqqZwE,https://i.ebayimg.com/images/g/EioAAeSwDTZqqZwE/s-l225.jpg
残件/按现状,72.0,Canon Prima Shot/ Canon Sure Shot Ace / Autoboy Prisma. UNTESTED,Canon,Film Cameras,For parts or not working,25.0,CAD,FIXED_PRICE,4,1600,as-is;underpriced(med 102),CA,kutmedia,100.0,2026-09-16T10:50:32.000Z,,https://www.ebay.ca/itm/117415207879?hash=item1b567de3c7:g:ynwAAeSw0l5qqnQ0,https://i.ebayimg.com/images/g/ynwAAeSw0l5qqnQ0/s-l225.jpg
残件/按现状,66.0,Olympus Trip 35 35mm Film Camera Sold for Parts / Repair As-Is,Olympus,Film Cameras,For parts or not working,65.0,CAD,"FIXED_PRICE,BEST_OFFER",9,1600,as-is;underpriced(med 150),CA,reuseitbc,100.0,2026-09-15T21:57:52.000Z,,https://www.ebay.ca/itm/178500285052?hash=item298f72327c:g:V7YAAeSwx9pqqb71,https://i.ebayimg.com/images/g/V7YAAeSwx9pqqb71/s-l225.jpg
查无市价,65.0,LEICA M4-P M4P MIDLAND CANADA BLACK CAMERA BODY DUPLICATE MARKED * 1552879,Leica,Film Cameras,Used,0.0,USD,AUCTION,5,1600,grail:LEICA M4;auction,CA,setadel_studios,100.0,2026-09-16T02:30:01.000Z,2026-09-23T02:30:01.000Z,https://www.ebay.ca/itm/267702123107?hash=item3e544a3a63:g:nekAAeSwsv9qOri4,https://i.ebayimg.com/images/g/nekAAeSwsv9qOri4/s-l225.jpg
残件/按现状,50.0,Canon PowerShot A95 Digital 5MP Digital Camera Silver - As-Is for parts or repai,Canon,Digital Cameras,For parts or not working,45.0,CAD,"FIXED_PRICE,BEST_OFFER",9,1600,as-is;underpriced(med 200),CA,e_and06,99.5,2026-09-15T23:34:10.000Z,,https://www.ebay.ca/itm/278378926454?hash=item40d0ad5176:g:RLQAAeSw2lNqqdWA,https://i.ebayimg.com/images/g/RLQAAeSw2lNqqdWA/s-l225.jpg
残件/按现状,50.0,Fujifilm Finepix A805 Digital Camera CCD Digicam Retro Vintage Camera - AS-IS,Fujifilm,Digital Cameras,For parts or not working,50.0,CAD,"FIXED_PRICE,BEST_OFFER",2,1600,as-is;underpriced(med 112),CA,kaiswitch,100.0,2026-09-15T17:51:28.000Z,,https://www.ebay.ca/itm/117414033142?hash=item1b566bf6f6:g:ggMAAeSwjQtqqYVg,https://i.ebayimg.com/images/g/ggMAAeSwjQtqqYVg/s-l225.jpg
残件/按现状,50.0,Fujifilm Finepix E550 Digital Camera CCD Digicam Retro Vintage Camera - AS-IS,Fujifilm,Digital Cameras,For parts or not working,50.0,CAD,"FIXED_PRICE,BEST_OFFER",2,1600,as-is;underpriced(med 112),CA,kaiswitch,100.0,2026-09-15T17:51:28.000Z,,https://www.ebay.ca/itm/117414033149?hash=item1b566bf6fd:g:OScAAeSwamhqqYR6,https://i.ebayimg.com/images/g/OScAAeSwamhqqYR6/s-l225.jpg
残件/按现状,50.0,Canon PowerShot A520 4MP Digital Camera 4x Zoom Silver Takes Picture Bad Screen,Canon,Digital Cameras,For parts or not working,55.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,underpriced(med 200),CA,brooksie_71,99.6,2026-09-15T17:12:02.000Z,,https://www.ebay.ca/itm/287588523121?hash=item42f59c9c71:g:fdIAAeSwNsRqqXvf,https://i.ebayimg.com/images/g/fdIAAeSwNsRqqXvf/s-l225.jpg
残件/按现状,50.0,Nikon COOLPIX S8200 16.1MP 14x Compact Digital Camera Works As-Is READ !!!,Nikon,Digital Cameras,Used,59.99,CAD,"FIXED_PRICE,BEST_OFFER",14,1600,as-is;underpriced(med 180),CA,tweedsidesales,99.8,2026-09-15T15:50:00.000Z,,https://www.ebay.ca/itm/178499165097?hash=item298f611ba9:g:L78AAeSwVXhqqWhy,https://i.ebayimg.com/images/g/L78AAeSwVXhqqWhy/s-l225.jpg
查无市价,44.0,Agfa Silette And Other Vintage Cameras With Accessories For Auction,Agfa,Vintage Cameras,,50.0,CAD,"FIXED_PRICE,AUCTION",12,1600,auction,CA,mathu-edd,100.0,2026-09-15T15:15:52.000Z,2026-09-25T15:15:52.000Z,https://www.ebay.ca/itm/227522889514?hash=item34f96bc72a:g:2LMAAeSwNv5qqWBo,https://i.ebayimg.com/images/g/2LMAAeSwNv5qqWBo/s-l225.jpg
残件/按现状,44.0,Sony HandyCam DCR-HC20 NTSC *As-Is Read Description*,Sony,Camcorders,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,as-is;underpriced(med 195),CA,thegoodieshop,98.3,2026-09-15T10:54:25.000Z,,https://www.ebay.ca/itm/287587949771?hash=item42f593dccb:g:84AAAeSwJYxqqSK4,https://i.ebayimg.com/images/g/84AAAeSwJYxqqSK4/s-l225.jpg
打包杂件,44.0,Fujifilm INSTAX Mini 11 Lilac Purple Instant Camera Floral Bundle,Fujifilm,Film Cameras,New,110.0,CAD,FIXED_PRICE,4,1600,,CA,healththenfit,0.0,2026-09-15T17:58:02.000Z,,https://www.ebay.ca/itm/366671029733?hash=item555f4be5e5:g:TCIAAeSwsyZqqYX8,https://i.ebayimg.com/images/g/TCIAAeSwsyZqqYX8/s-l225.jpg
打包杂件,44.0,Canon AL-1 QF SLR Film Camera FD 50mm 1 : 1.8 Lens Bundle 135mm 1: 3.5 Flash,Canon,Film Cameras,Used,201.83,CAD,"FIXED_PRICE,BEST_OFFER",23,1599,mount:canon fd,CA,nutsonormal,100.0,2026-09-16T10:34:59.000Z,,https://www.ebay.ca/itm/168692869760?hash=item2746e0ea80:g:aRgAAeSw0WxpxbvE,https://i.ebayimg.com/images/g/aRgAAeSw0WxpxbvE/s-l225.jpg
打包杂件,42.0,Fujifilm Instax Mini 9 - Cobalt Blue Instant Film Camera Bundle Tested Working,Fujifilm,Film Cameras,Used,55.67,CAD,FIXED_PRICE,11,1600,low-feedback,CA,surreal_style,91.6,2026-09-16T03:44:18.000Z,,https://www.ebay.ca/itm/287589377306?hash=item42f5a9a51a:g:7OgAAeSw64VqqXLW,https://i.ebayimg.com/images/g/7OgAAeSw64VqqXLW/s-l225.jpg
残件/按现状,40.0,Polaroid OneStep Express Green 600 | Vintage Instant Camera w/ Bag | Untested,Polaroid,Vintage Cameras,,26.71,CAD,"FIXED_PRICE,BEST_OFFER",21,1440,as-is,CA,miggysrediscoveredgoods,98.8,2026-09-16T07:10:13.000Z,,https://www.ebay.ca/itm/398399755197?hash=item5cc279d3bd:g:aSEAAeSwVkBpkw3C,https://i.ebayimg.com/images/g/aSEAAeSwVkBpkw3C/s-l225.jpg
残件/按现状,40.0,Two Kodak Instamatic Cameras For Parts *not Working*,Kodak,Vintage Cameras,,27.5,CAD,"FIXED_PRICE,BEST_OFFER",14,1600,as-is,CA,jlevarg15,100.0,2026-09-16T09:00:01.000Z,,https://www.ebay.ca/itm/128081636796?hash=item1dd242adbc:g:JNkAAeSw1ptowxq2,https://i.ebayimg.com/images/g/JNkAAeSw1ptowxq2/s-l225.jpg
残件/按现状,40.0,Sony Cyber-Shot DSC-W5 *ISSUE* 5.1MP DIGITAL CAMERA w Case & 512Mb Sd READ DESC,Sony,Digital Cameras,For parts or not working,42.46,CAD,"FIXED_PRICE,BEST_OFFER",4,1600,underpriced(med 180),CA,prairie_picker,99.7,2026-09-15T19:15:23.000Z,,https://www.ebay.ca/itm/820131232290?hash=itembef3a17a22:g:L7kAAeSwrdhodwnX,https://i.ebayimg.com/images/g/L7kAAeSwrdhodwnX/s-l225.jpg
残件/按现状,40.0,Sony Cyber-shot DSC-S930 10.1MP Digital Camera,Sony,Digital Cameras,For parts or not working,49.99,CAD,"FIXED_PRICE,BEST_OFFER",6,1599,underpriced(med 180),CA,1225anthony,100.0,2026-09-15T17:30:31.000Z,,https://www.ebay.ca/itm/237069684528?hash=item3732744f30:g:IW8AAeSwy4NqqYB5,https://i.ebayimg.com/images/g/IW8AAeSwy4NqqYB5/s-l225.jpg
打包杂件,40.0,"Vintage Camera 9 Lot. Kodak PONY 135, Brownie, Konica, Minolta, Keystone Etc",Kodak,Vintage Cameras,,53.99,CAD,"FIXED_PRICE,BEST_OFFER",17,1600,,CA,frettygoodfinds,99.2,2026-09-15T13:45:24.000Z,,https://www.ebay.ca/itm/366670650436?hash=item555f461c44:g:UscAAeSwYw9o~g5K,https://i.ebayimg.com/images/g/UscAAeSwYw9o~g5K/s-l225.jpg
残件/按现状,40.0,Panasonic LUMIX DMC-ZS20 14MP RED Full HD Camera with battery zoom issue,Panasonic,Digital Cameras,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",7,1599,underpriced(med 175),CA,1225anthony,100.0,2026-09-15T18:55:40.000Z,,https://www.ebay.ca/itm/237069802353?hash=item3732761b71:g:xGwAAeSwax1qqZSa,https://i.ebayimg.com/images/g/xGwAAeSwax1qqZSa/s-l225.jpg
查无市价,39.0,Vivitar 28-105mm f/3.5-4.5 MC Macro Zoom Canon FD Lens Box Kenko 72mm UV,Vivitar,Lenses,Used,54.95,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,mount:canon fd;72mm,CA,perpato,100.0,2026-09-15T16:47:15.000Z,,https://www.ebay.ca/itm/278378004784?hash=item40d09f4130:g:2E4AAeSw0p1qqXYf,https://i.ebayimg.com/images/g/2E4AAeSw0p1qqXYf/s-l225.jpg
查无市价,38.0,Olympus Stylus 120 35mm Point & Shoot Film Camera ED Lens Multi-AF Zoom 38-120mm,Olympus,Film Cameras,Used,0.0,USD,AUCTION,6,1512,auction,CA,goodwillindustriesontariogreatlakes,99.8,2026-09-15T23:22:00.000Z,2026-09-20T23:22:00.000Z,https://www.ebay.ca/itm/800665881136?hash=itemba6b67ca30:g:lb8AAeSwR7VqqU2m,https://i.ebayimg.com/images/g/lb8AAeSwR7VqqU2m/s-l225.jpg
查无市价,28.0,"RARE VINTAGE MUSEUM COLLECTIBLE Minolta Color Analyzer II in box, Dark Room",Minolta,Vintage Cameras,,499.95,CAD,FIXED_PRICE,17,1600,,CA,freeshipp,100.0,2026-09-15T06:04:47.000Z,,https://www.ebay.ca/itm/198642678331?hash=item2e4006ba3b:g:zOsAAeSwgQFqqHSy,https://i.ebayimg.com/images/g/zOsAAeSwgQFqqHSy/s-l225.jpg
