寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状;型号不明,-4.0,Samsung i70 Slide & Shine Digital Camera 7.2MP UNTESTED No Battery Or Charger,,Digital Cameras,For parts or not working,54.25,CAD,"FIXED_PRICE,BEST_OFFER",7,1200,as-is,CA,natmacd_75,100.0,2026-08-16T05:42:03.000Z,,https://www.ebay.ca/itm/307129025950?hash=item478251059e:g:pc0AAeSwv8xqgUym,https://i.ebayimg.com/images/g/pc0AAeSwv8xqgUym/s-l225.jpg
型号不明,-6.0,JVC Everio Digital Camcorder GZ-MS240AU 45x Zoom with charger and cables TESTED,,Camcorders,Used,96.99,CAD,"FIXED_PRICE,BEST_OFFER",1,1600,,CA,godrack,100.0,2026-08-15T17:18:58.000Z,,https://www.ebay.ca/itm/168616092135?hash=item27424d61e7:g:~DAAAeSwR-FqgJ5H,https://i.ebayimg.com/images/g/~DAAAeSwR-FqgJ5H/s-l225.jpg
型号不明,-6.0,Samsung Camcorder SCL610 Hi-8 Video Transfer 8 mm 550x Digital Zoom Tested,,Camcorders,Used,119.87,CAD,"FIXED_PRICE,BEST_OFFER",5,998,,CA,weez1993,97.6,2026-08-15T15:36:50.000Z,,https://www.ebay.ca/itm/366607548720?hash=item555b834130:g:PrsAAeSwndBqgIb9,https://i.ebayimg.com/images/g/PrsAAeSwndBqgIb9/s-l225.jpg
型号不明,-8.0,SmallRig Cage for Insta360 X5 Proteective Case with Silicone Lens Guard Cap,,Camcorders,New,39.99,CAD,"FIXED_PRICE,BEST_OFFER",0,1000,low-feedback,CA,ajardeen,90.9,2026-08-15T19:52:37.000Z,,https://www.ebay.ca/itm/287527177015?hash=item42f1f48b37:g:~zYAAeSwNz9qgMNp,https://i.ebayimg.com/images/g/~zYAAeSwNz9qgMNp/s-l225.jpg
型号不明,-8.0,"YONGNUO Prime Lenses ( 17mm, 25mm, 42.5mm) F/1.7 Complete Set (M4/3 M43 Mount)",,Lenses,Open box,655.0,CAD,"FIXED_PRICE,BEST_OFFER",2,1600,mount:micro 4/3,CA,daveycr25,100.0,2026-08-15T20:27:35.000Z,,https://www.ebay.ca/itm/147507296189?hash=item22581eb7bd:g:1owAAeSwPdVqLW8X,https://i.ebayimg.com/images/g/1owAAeSwPdVqLW8X/s-l225.jpg
型号不明,-10.0,Samsung Digimax 360 Digital Camera 3.2MP,,Digital Cameras,Used,75.0,CAD,"FIXED_PRICE,BEST_OFFER",18,1600,,CA,beraliere,100.0,2026-08-15T13:17:09.000Z,,https://www.ebay.ca/itm/298590223010?hash=item45855d3aa2:g:UYQAAeSwj0VqgGWt,https://i.ebayimg.com/images/g/UYQAAeSwj0VqgGWt/s-l225.jpg
残件/按现状;型号不明,-10.0,Matterport Pro 3D Virtual Camera MC200 *parts/ repair*,,Digital Cameras,For parts or not working,125.0,CAD,FIXED_PRICE,16,1600,,CA,wdotcascadia,99.5,2026-08-15T18:28:18.000Z,,https://www.ebay.ca/itm/178410368250?hash=item298a162cfa:g:vGoAAeSwgBlpu1MR,https://i.ebayimg.com/images/g/vGoAAeSwgBlpu1MR/s-l225.jpg
型号不明,-12.0,blackmagic pocket cinema camera 4k used,,Camcorders,Used,0.0,USD,"AUCTION,BEST_OFFER",5,1600,auction,CA,calebr2583,0.0,2026-08-15T20:25:31.000Z,2026-08-22T20:25:31.000Z,https://www.ebay.ca/itm/398289858925?hash=item5cbbecf16d:g:krkAAeSwk3lqgMn-,https://i.ebayimg.com/images/g/krkAAeSwk3lqgMn-/s-l225.jpg
型号不明,-12.0,Garmin VIRB Elite HD 1080p GPS WiFi Action Camera New Open Box NO BATTERY Unused,,Camcorders,Used,0.0,USD,"AUCTION,BEST_OFFER",6,1599,auction,CA,yourmerc_6,99.1,2026-08-15T18:41:29.000Z,2026-08-22T18:41:29.000Z,https://www.ebay.ca/itm/198573528150?hash=item2e3be79456:g:yBgAAeSwHt1qSVSz,https://i.ebayimg.com/images/g/yBgAAeSwHt1qSVSz/s-l225.jpg
型号不明,-12.0,Casio Exilim EX-S5 Silver 10.1MP Digital Camera 3x Optical Zoom needs a charger,,Digital Cameras,Used,55.49,CAD,FIXED_PRICE,2,1600,low-feedback,CA,wmp_cards,96.7,2026-08-15T17:33:49.000Z,,https://www.ebay.ca/itm/398289491165?hash=item5cbbe754dd:g:99gAAeSwSOpqgKK~,https://i.ebayimg.com/images/g/99gAAeSwSOpqgKK~/s-l225.jpg
型号不明,-16.0,"Insta360 X5 Kit - Like New, Invisible Pole, Battery, Lens Protector, 256GB SD",,Digital Cameras,Used,0.0,USD,AUCTION,3,1320,auction,CA,electronicdealsnb,100.0,2026-08-15T23:00:01.000Z,2026-08-18T23:00:01.000Z,https://www.ebay.ca/itm/257682172709?hash=item3bff0deb25:g:YigAAeSw1cJqgInD,https://i.ebayimg.com/images/g/YigAAeSw1cJqgInD/s-l225.jpg
型号不明,-16.0,Samsung PL60 10.2MP Digital Camera Pink 5x Optical Zoom W/ Charger Tested,,Digital Cameras,Used,154.99,CAD,"FIXED_PRICE,BEST_OFFER",15,1600,,CA,306videogames,100.0,2026-08-15T04:19:54.000Z,,https://www.ebay.ca/itm/820004021824?hash=itembeec0c6640:g:wYAAAeSwk71qfU7-,https://i.ebayimg.com/images/g/wYAAAeSwk71qfU7-/s-l225.jpg
型号不明,-16.0,Samsung ST67 16.1MP Digital Camera Blue 5x Optical Zoom W/ 8GB Card Tested,,Digital Cameras,Used,159.99,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,,CA,306videogames,100.0,2026-08-15T04:17:28.000Z,,https://www.ebay.ca/itm/820004003277?hash=itembeec0c1dcd:g:AUAAAeSwTF5qfU7c,https://i.ebayimg.com/images/g/AUAAAeSwTF5qfU7c/s-l225.jpg
型号不明,-18.0,VTech KidiZoom Creator Cam Camera 5.0 MP Flip-Out Selfie for Photos & Videos ✅✅✅,,Digital Cameras,New,83.22,CAD,FIXED_PRICE,2,1599,low-feedback,CA,advanc_70,96.7,2026-08-15T21:32:12.000Z,,https://www.ebay.ca/itm/820007108127?hash=itembeec3b7e1f:g:BMsAAeSwhKZqgNrH,https://i.ebayimg.com/images/g/BMsAAeSwhKZqgNrH/s-l225.jpg
型号不明,-26.0,Insta360 X4 72MP 360 Action Camera,,Digital Cameras,Used,482.99,CAD,FIXED_PRICE,0,1500,,CA,paymorevancouver,99.5,2026-08-15T21:31:31.000Z,,https://www.ebay.ca/itm/227477465068?hash=item34f6b6a7ec:g:yxcAAeSwRQxqgNQ5,https://i.ebayimg.com/images/g/yxcAAeSwRQxqgNQ5/s-l225.jpg
