寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,72.0,Olympus Superzoom 76G 35mm Film Camera 38-76mm Point & Shoot Untested,Olympus,Film Cameras,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,as-is;underpriced(med 155),CA,bestfindscompany,100.0,2026-08-14T21:24:53.000Z,,https://www.ebay.ca/itm/168614215033?hash=item274230bd79:g:enUAAeSwYTBqf4bt,https://i.ebayimg.com/images/g/enUAAeSwYTBqf4bt/s-l225.jpg
残件/按现状,68.0,Canon Lens FD 50mm 1:1.8 Lens works well but has a bunch of dots on front glass.,Canon,Lenses,For parts or not working,32.0,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,mount:canon fd;underpriced(med 158),CA,goheensfinds,100.0,2026-08-14T22:16:58.000Z,,https://www.ebay.ca/itm/318731134443?hash=item4a35db25eb:g:1w0AAeSwvgtqf5N0,https://i.ebayimg.com/images/g/1w0AAeSwvgtqf5N0/s-l225.jpg
残件/按现状,68.0,Canon Lens FD 50mm 1:1.8 Works But has mold forming on rear Glass sold 4 Parts,Canon,Lenses,For parts or not working,32.0,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,mount:canon fd;underpriced(med 158),CA,goheensfinds,100.0,2026-08-14T21:43:38.000Z,,https://www.ebay.ca/itm/318730963748?hash=item4a35d88b24:g:fH8AAeSw4vtqf4u1,https://i.ebayimg.com/images/g/fH8AAeSw4vtqf4u1/s-l225.jpg
残件/按现状,67.0,Minolta Hi-Matic SD Point & Shoot 35mm Film Camera Parts Bad Battery Contacts,Minolta,Film Cameras,For parts or not working,30.0,CAD,"FIXED_PRICE,BEST_OFFER",4,1600,grail:Hi-Matic,CA,brooksie_71,99.6,2026-08-15T11:56:18.000Z,,https://www.ebay.ca/itm/287526568400?hash=item42f1eb41d0:g:MIsAAeSwVPppGRCD,https://i.ebayimg.com/images/g/MIsAAeSwVPppGRCD/s-l225.jpg
残件/按现状,64.0,Pentax K1000 SLR Camera Body Untested w/ 49mm Lens UNTESTED & Leather Case,Pentax,Film Cameras,Used,129.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,grail:K1000;49mm;as-is,CA,hubersmarketplace,100.0,2026-08-14T10:19:00.000Z,,https://www.ebay.ca/itm/128026218450?hash=item1dcef50fd2:g:LAQAAeSwAVhqfuuD,https://i.ebayimg.com/images/g/LAQAAeSwAVhqfuuD/s-l225.jpg
残件/按现状,61.0,Canon AE-1 35mm Film Manual Camera with 50mm Lens Untested Read Vintage Japan,Canon,Film Cameras,For parts or not working,139.99,CAD,"FIXED_PRICE,BEST_OFFER",16,1600,grail:AE-1;as-is,CA,vincesvintage*,100.0,2026-08-14T11:42:07.000Z,,https://www.ebay.ca/itm/168613218185?hash=item2742218789:g:LckAAeSwMk1qfv3D,https://i.ebayimg.com/images/g/LckAAeSwMk1qfv3D/s-l225.jpg
查无市价,56.0,Minolta-16 Model-P 16mm Subminiature Camera Rokkor 25mm Japan,Minolta,Vintage Cameras,,47.49,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,mount:minolta md,CA,vintage-vault-kent,99.5,2026-08-14T14:39:32.000Z,,https://www.ebay.ca/itm/377418258179?hash=item57dfe19703:g:P0AAAeSwBZ1qMWCs,https://i.ebayimg.com/images/g/P0AAAeSwBZ1qMWCs/s-l225.jpg
查无市价,54.0,Konica X3 Zoom camera,Konica,Film Cameras,Used,36.08,CAD,"FIXED_PRICE,AUCTION",3,1600,auction,CA,zamzam,100.0,2026-08-15T02:03:02.000Z,2026-08-22T02:03:02.000Z,https://www.ebay.ca/itm/327310860958?hash=item4c353f629e:g:PD4AAOSwwqNnCvAD,https://i.ebayimg.com/images/g/PD4AAOSwwqNnCvAD/s-l225.jpg
残件/按现状,54.0,"Miranda Sensorex 35mm Camera With Auto Miranda 1:18 F=50mm Lens. works, untested",Miranda,Film Cameras,Used,55.5,CAD,"FIXED_PRICE,AUCTION",4,1600,as-is;auction,CA,zamzam,100.0,2026-08-15T02:03:26.000Z,2026-08-22T02:03:26.000Z,https://www.ebay.ca/itm/327310861891?hash=item4c353f6643:g:JTQAAOSwh3RnZxlO,https://i.ebayimg.com/images/g/JTQAAOSwh3RnZxlO/s-l225.jpg
残件/按现状,50.0,Nikon COOLPIX S3000 12.0MP Digital Camera - Black,Nikon,Digital Cameras,For parts or not working,45.0,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,underpriced(med 199),CA,sohan1553,0.0,2026-08-14T21:08:21.000Z,,https://www.ebay.ca/itm/318730814841?hash=item4a35d64579:g:lpMAAeSwT4dqf4JM,https://i.ebayimg.com/images/g/lpMAAeSwT4dqf4JM/s-l225.jpg
打包杂件,50.0,"Pentax Espio 80V 35mm Film Camera Bundle w/ Case, Manual - Fully Working Tested",Pentax,Film Cameras,Used,50.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,,CA,kiemad0,100.0,2026-08-14T21:07:46.000Z,,https://www.ebay.ca/itm/407145173959?hash=item5ecbbe53c7:g:YmsAAeSwQGhqf4L6,https://i.ebayimg.com/images/g/YmsAAeSwQGhqf4L6/s-l225.jpg
残件/按现状,50.0,Canon Powershot A2000 IS 10.0MP Digital Camera **READ DESCRIPTION**,Canon,Digital Cameras,For parts or not working,54.89,CAD,"FIXED_PRICE,BEST_OFFER",9,1599,underpriced(med 195),CA,asmatic-80,99.6,2026-08-14T05:49:12.000Z,,https://www.ebay.ca/itm/137619364764?hash=item200ac0db9c:g:GMcAAeSw3alqL3SB,https://i.ebayimg.com/images/g/GMcAAeSw3alqL3SB/s-l225.jpg
残件/按现状,50.0,Canon Sure Shot Max 35mm Point & Shoot Film Camera for Parts / Repair Powers On,Canon,Film Cameras,For parts or not working,54.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,as-is,CA,306videogames,100.0,2026-08-15T04:12:05.000Z,,https://www.ebay.ca/itm/820003977993?hash=itembeec0bbb09:g:yCwAAeSw~uRqfQ4j,https://i.ebayimg.com/images/g/yCwAAeSw~uRqfQ4j/s-l225.jpg
残件/按现状,50.0,Canon PowerShot A720 IS 8MP Digital Camera 6x Zoom Tested - LCD Issue READ,Canon,Digital Cameras,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",17,1600,underpriced(med 188),CA,306videogames,100.0,2026-08-15T04:10:19.000Z,,https://www.ebay.ca/itm/820003971046?hash=itembeec0b9fe6:g:o~IAAeSwOjlqfQ31,https://i.ebayimg.com/images/g/o~IAAeSwOjlqfQ31/s-l225.jpg
残件/按现状,44.0,Kodak Bantam F.8 CAMERA Original Box ART DECO 1938 Bakelite Untested,Kodak,Vintage Cameras,,45.09,CAD,"FIXED_PRICE,AUCTION",6,1600,as-is;auction,CA,zamzam,100.0,2026-08-15T02:03:26.000Z,2026-08-22T02:03:26.000Z,https://www.ebay.ca/itm/327310861936?hash=item4c353f6670:g:lXAAAOSwNdhnTFWO,https://i.ebayimg.com/images/g/lXAAAOSwNdhnTFWO/s-l225.jpg
