寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,89.0,Canon Canonet QL19 Camera 45mm f/1.9 Lens - (PARTS/REPAIR) Read Desc,Canon,Film Cameras,For parts or not working,29.99,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,grail:Canonet;underpriced(med 100),CA,blurredretro,99.6,2026-09-08T22:00:01.000Z,,https://www.ebay.ca/itm/366630728631?hash=item555ce4f3b7:g:e~8AAeSwkAlqj09T,https://i.ebayimg.com/images/g/e~8AAeSwkAlqj09T/s-l225.jpg
残件/按现状,89.0,Canon AE-1 35mm SLR Film Camera Body Parts Repair AS-IS Untested,Canon,Film Cameras,For parts or not working,40.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,grail:AE-1;as-is;underpriced(med 100),CA,dc-treasure-vault,99.9,2026-09-08T18:00:24.000Z,,https://www.ebay.ca/itm/318844550305?hash=item4a3c9dbca1:g:amcAAeSwksBqoE0W,https://i.ebayimg.com/images/g/amcAAeSwksBqoE0W/s-l225.jpg
残件/按现状,89.0,Asahi Pentax K1000 35mm Film Camera Untested,Asahi,Film Cameras,For parts or not working,60.0,CAD,FIXED_PRICE,9,1600,grail:K1000;as-is;underpriced(med 147),CA,zombiebitescollectibles,100.0,2026-09-08T15:16:21.000Z,,https://www.ebay.ca/itm/168673650872?hash=item2745bba8b8:g:Th4AAeSwt0xqoCZ9,https://i.ebayimg.com/images/g/Th4AAeSwt0xqoCZ9/s-l225.jpg
型号不明,68.0,📷 Soligor Auto Tele Converter 2X | Canon FD Mount w/ Case,Canon,Lenses,Used,27.99,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,mount:canon fd;underpriced(med 175),CA,geeksgs,100.0,2026-09-08T09:59:09.000Z,,https://www.ebay.ca/itm/398372786870?hash=item5cc0de52b6:g:eAUAAeSwH8NqJgMQ,https://i.ebayimg.com/images/g/eAUAAeSwH8NqJgMQ/s-l225.jpg
残件/按现状,67.0,Vintage Minolta X-700 Camera 35mm Film SLR W/ Body Black Untested,Minolta,Film Cameras,For parts or not working,60.0,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,grail:X-700;as-is,CA,dc-treasure-vault,99.9,2026-09-08T17:12:09.000Z,,https://www.ebay.ca/itm/318844399401?hash=item4a3c9b6f29:g:vpoAAeSwqvhqoEFW,https://i.ebayimg.com/images/g/vpoAAeSwqvhqoEFW/s-l225.jpg
残件/按现状,65.0,Canon TC-DC52 2.4x Teleconverter + WC-DC52 0.7x Wide Angle 52mm Lens SET,Canon,Lenses,For parts or not working,40.0,CAD,FIXED_PRICE,7,1599,52mm;underpriced(med 175),CA,chikuokk,98.1,2026-09-08T06:17:05.000Z,,https://www.ebay.ca/itm/257730866676?hash=item3c01f4edf4:g:dYUAAeSwIp1qn6fT,https://i.ebayimg.com/images/g/dYUAAeSwIp1qn6fT/s-l225.jpg
描述含糊,65.0,Minolta HI-MATIC SD film camera - Film tested (see photos) fully functional,Minolta,Film Cameras,Used,125.0,CAD,"FIXED_PRICE,AUCTION",10,1600,grail:HI-MATIC;auction,CA,sockeyesteveston,98.0,2026-09-09T05:06:12.000Z,2026-09-14T05:06:12.000Z,https://www.ebay.ca/itm/336785977375?hash=item4e6a02301f:g:NpYAAeSwYyRqoOi6,https://i.ebayimg.com/images/g/NpYAAeSwYyRqoOi6/s-l225.jpg
残件/按现状,64.0,Konica C35 EF Film Camera 35mm Hexanon 38mm f/2.8 Lens Case Untested,Konica,Film Cameras,Used,56.99,CAD,"FIXED_PRICE,BEST_OFFER",22,1071,mount:canon ef;as-is,CA,vintage-vault-kent,99.6,2026-09-08T21:23:54.000Z,,https://www.ebay.ca/itm/377482081296?hash=item57e3af7410:g:5VYAAeSwK4JqJEO2,https://i.ebayimg.com/images/g/5VYAAeSwK4JqJEO2/s-l225.jpg
残件/按现状,61.0,"Olympus OM-2 SLR Film Camera, 50mm f/1.8 - Meter/Auto not working",Olympus,Film Cameras,Used,0.0,USD,AUCTION,8,1600,grail:OM-2;mount:olympus om;as-is;auction,CA,sockeyesteveston,98.0,2026-09-09T05:19:28.000Z,2026-09-14T05:19:28.000Z,https://www.ebay.ca/itm/336785992389?hash=item4e6a026ac5:g:OyMAAeSw1WNqoOq1,https://i.ebayimg.com/images/g/OyMAAeSw1WNqoOq1/s-l225.jpg
残件/按现状,58.0,Canon EOS Elan II E 35mm SLR Body Untested *AF Mode Dial Detached* PARTS REPAIR,Canon,Film Cameras,For parts or not working,54.99,CAD,"FIXED_PRICE,BEST_OFFER",20,1600,as-is,CA,306videogames,100.0,2026-09-09T04:27:49.000Z,,https://www.ebay.ca/itm/820104763506?hash=itembef20d9872:g:HuIAAeSwxONqoKA8,https://i.ebayimg.com/images/g/HuIAAeSwxONqoKA8/s-l225.jpg
查无市价,56.0,Minolta-16 Model-P Subminiature Camera 16mm Rokkor 25mm Japan,Minolta,Vintage Cameras,,47.49,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,mount:minolta md,CA,vintage-vault-kent,99.6,2026-09-08T21:23:54.000Z,,https://www.ebay.ca/itm/377482081298?hash=item57e3af7412:g:P0AAAeSwBZ1qMWCs,https://i.ebayimg.com/images/g/P0AAAeSwBZ1qMWCs/s-l225.jpg
查无市价,55.0,Olympus Stylus Epic Zoom 170 Film Camera ED Lens Multi-AF Zoom 38-170mm,Olympus,Film Cameras,Used,0.0,USD,AUCTION,6,1512,grail:Stylus Epic;auction,CA,goodwillindustriesontariogreatlakes,99.8,2026-09-08T22:31:00.000Z,2026-09-13T22:31:00.000Z,https://www.ebay.ca/itm/800631777039?hash=itemba695f670f:g:dNEAAeSwezBqoDxF,https://i.ebayimg.com/images/g/dNEAAeSwezBqoDxF/s-l225.jpg
型号不明,54.0,ASAHI PENTAX SUPER MULTI COATED TAKUMAR 1:4/200 M42 LENS N MINT CONDITION,Asahi,Lenses,Used,89.6,CAD,"FIXED_PRICE,AUCTION",9,1600,mount:m42;good-cond;auction,CA,ked222ked,98.4,2026-09-09T00:24:00.000Z,2026-09-16T00:24:00.000Z,https://www.ebay.ca/itm/198628330847?hash=item2e3f2bcd5f:g:cbUAAOSw0Mlin~Kv,https://i.ebayimg.com/images/g/cbUAAOSw0Mlin~Kv/s-l225.jpg
查无市价,52.0,Nikon AF400 35mm Point & Shoot Film Camera Tested,Nikon,Film Cameras,Used,67.99,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,,CA,306videogames,100.0,2026-09-09T05:15:45.000Z,,https://www.ebay.ca/itm/820104874298?hash=itembef20f493a:g:tqAAAeSwG2FqoHkz,https://i.ebayimg.com/images/g/tqAAAeSwG2FqoHkz/s-l225.jpg
残件/按现状,50.0,Pentax Optio P80 Digital Camera | Untested | Compact Point & Shoot | AS-IS,Pentax,Digital Cameras,For parts or not working,28.19,CAD,"FIXED_PRICE,BEST_OFFER",8,1440,as-is;underpriced(med 102),CA,miggysrediscoveredgoods,98.8,2026-09-09T06:33:15.000Z,,https://www.ebay.ca/itm/398376243503?hash=item5cc113112f:g:HekAAeSwlAFpqKur,https://i.ebayimg.com/images/g/HekAAeSwlAFpqKur/s-l225.jpg
残件/按现状,50.0,Canon PowerShot SD780 IS 10.0MP Digital Camera,Canon,Digital Cameras,For parts or not working,40.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1426,underpriced(med 200),CA,top-trade3,97.1,2026-09-08T04:11:14.000Z,,https://www.ebay.ca/itm/158269782604?hash=item24d99d3a4c:g:2tsAAeSwO6Vp9FAD,https://i.ebayimg.com/images/g/2tsAAeSwO6Vp9FAD/s-l225.jpg
