寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,78.0,Canon EOS Rebel S Film Camera Body Only 35mm EF Mount Strap Untested,Canon,Film Cameras,Used,37.99,CAD,"FIXED_PRICE,BEST_OFFER",20,1005,mount:canon ef;as-is;underpriced(med 100),CA,vintage-vault-kent,99.6,2026-09-24T15:41:41.000Z,,https://www.ebay.ca/itm/377520050213?hash=item57e5f2d025:g:8S4AAeSwEWdp3SeV,https://i.ebayimg.com/images/g/8S4AAeSwEWdp3SeV/s-l225.jpg
型号不明,71.0,Leica mount – Classic Contax Carl Zeiss Sonnar 50/1.5 re T lens,Leica,Lenses,Used,450.0,CAD,"FIXED_PRICE,AUCTION",5,1600,grail:Sonnar;underpriced(med 4368);auction,CA,ykwwwwandrew,0.0,2026-09-24T20:22:52.000Z,2026-10-01T20:22:52.000Z,https://www.ebay.ca/itm/206579831075?hash=item30191e1123:g:CrEAAeSwWw1qtYQ4,https://i.ebayimg.com/images/g/CrEAAeSwWw1qtYQ4/s-l225.jpg
型号不明,62.0,Nikon TC-E2 Teleconverter 2x Magnification Compatible,Nikon,Lenses,Used,26.99,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,underpriced(med 193),CA,prairie-pickers,100.0,2026-09-24T22:26:41.000Z,,https://www.ebay.ca/itm/128097190472?hash=item1dd3300248:g:QooAAeSwwHBqtYZW,https://i.ebayimg.com/images/g/QooAAeSwwHBqtYZW/s-l225.jpg
型号不明,61.0,Leica M mount – Rollie 40f2.8 Sonnar HFT Silver Chrome lens,Leica,Lenses,Open box,0.0,USD,"AUCTION,BEST_OFFER",5,1600,grail:Sonnar;mount:leica m;auction,CA,ykwwwwandrew,0.0,2026-09-24T19:16:12.000Z,2026-10-01T19:16:12.000Z,https://www.ebay.ca/itm/206579728606?hash=item30191c80de:g:rcUAAeSwJitqtXRC,https://i.ebayimg.com/images/g/rcUAAeSwJitqtXRC/s-l225.jpg
型号不明,61.0,Leica-L39 mount – Rollie 80f2.8 Planar HFT black lens,Leica,Lenses,Open box,0.0,USD,"AUCTION,BEST_OFFER",3,1600,grail:Planar;mount:ltm/l39;auction,CA,ykwwwwandrew,0.0,2026-09-24T06:24:47.000Z,2026-10-01T06:24:47.000Z,https://www.ebay.ca/itm/206578531196?hash=item30190a3b7c:g:rIAAAeSw~UZqtLgS,https://i.ebayimg.com/images/g/rIAAAeSw~UZqtLgS/s-l225.jpg
型号不明,60.0,Leica mount – Classic Contax Zeiss Biogon 85/2 Sonnar red T lens,Leica,Vintage Lenses,,900.0,CAD,"FIXED_PRICE,AUCTION",5,1600,grail:Sonnar;auction,CA,ykwwwwandrew,0.0,2026-09-24T20:57:32.000Z,2026-10-01T20:57:32.000Z,https://www.ebay.ca/itm/206579880805?hash=item30191ed365:g:sy8AAeSwZD1qtYzu,https://i.ebayimg.com/images/g/sy8AAeSwZD1qtYzu/s-l225.jpg
查无市价,58.0,TAMRON Zoom Macro 70-150mm 1:3.5 Bbar. Mullti C - Olympus OM Mount,Tamron,Lenses,Used,29.99,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,mount:olympus om;underpriced(med 200),CA,empirevideogamez,99.5,2026-09-24T14:56:16.000Z,,https://www.ebay.ca/itm/198664254094?hash=item2e414ff28e:g:mi0AAOSwGS9n0F94,https://i.ebayimg.com/images/g/mi0AAOSwGS9n0F94/s-l225.jpg
残件/按现状,55.0,Olympus Infinity Stylus Epic DLX (MJU II) - TESTED - WORKS (READ DESCRIPTION!),Olympus,Film Cameras,Used,0.0,USD,"AUCTION,BEST_OFFER",11,1600,grail:Stylus Epic;auction,CA,woophoto,100.0,2026-09-24T04:31:48.000Z,2026-10-01T04:31:48.000Z,https://www.ebay.ca/itm/800707634645?hash=itemba6de4e5d5:g:GdQAAeSw15RqtC~o,https://i.ebayimg.com/images/g/GdQAAeSw15RqtC~o/s-l225.jpg
型号不明,55.0,Leica mount – Classic Contax Zeiss Opton Biogon 35/2.8 red T lens,Leica,Vintage Lenses,,850.0,CAD,"FIXED_PRICE,AUCTION",4,1600,grail:Biogon;auction,CA,ykwwwwandrew,0.0,2026-09-24T19:59:12.000Z,2026-10-01T19:59:12.000Z,https://www.ebay.ca/itm/206579789613?hash=item30191d6f2d:g:M6gAAeSw1hlqtX7R,https://i.ebayimg.com/images/g/M6gAAeSw1hlqtX7R/s-l225.jpg
残件/按现状,52.0,Sigma UC Zoom 28-70mm 3.5-4.5 for Nikon AF for parts Untested.,Sigma,Lenses,For parts or not working,40.0,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,as-is;underpriced(med 392),CA,goheensfinds,100.0,2026-09-24T19:30:13.000Z,,https://www.ebay.ca/itm/318913770775?hash=item4a40bdf517:g:ZkkAAeSwStVqtXkx,https://i.ebayimg.com/images/g/ZkkAAeSwStVqtXkx/s-l225.jpg
残件/按现状,50.0,Minolta F35 Big Finder Point And Shoot Film Camera Working ( Read Description ),Minolta,Film Cameras,D'occasion,27.87,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,,CA,daxter_shop,100.0,2026-09-24T15:38:06.000Z,,https://www.ebay.ca/itm/237088529262?hash=item373393db6e:g:xlgAAeSwCONpqk3-,https://i.ebayimg.com/images/g/xlgAAeSwCONpqk3-/s-l225.jpg
残件/按现状,50.0,Minolta Pocket Autopak 200 Bicentennial Series with pocket flash 25 Untested,Minolta,Vintage Cameras,,30.0,CAD,FIXED_PRICE,7,1600,as-is,CA,ronn478,99.8,2026-09-24T15:27:25.000Z,,https://www.ebay.ca/itm/307196692527?hash=item478659882f:g:8e0AAeSwEsxn2sV3,https://i.ebayimg.com/images/g/8e0AAeSwEsxn2sV3/s-l225.jpg
残件/按现状,50.0,Konica Kanpai,Konica,Film Cameras,For parts or not working,60.0,CAD,FIXED_PRICE,7,1600,,CA,classic_camera_world,100.0,2026-09-25T02:31:15.000Z,,https://www.ebay.ca/itm/278407123812?hash=item40d25b9364:g:5DMAAeSwid5pKzLR,https://i.ebayimg.com/images/g/5DMAAeSwid5pKzLR/s-l225.jpg
残件/按现状,50.0,"Canon EF-m 18-150mm IS STM lens (as-is FOR PARTS/REPAIR, MINT glass)",Canon,Lenses,For parts or not working,150.0,CAD,"FIXED_PRICE,BEST_OFFER",9,1600,mount:canon ef;good-cond;as-is,CA,brach1994,100.0,2026-09-25T01:15:45.000Z,,https://www.ebay.ca/itm/366690507946?hash=item5560751caa:g:HK8AAeSwFmBqtcHA,https://i.ebayimg.com/images/g/HK8AAeSwFmBqtcHA/s-l225.jpg
打包杂件,48.0,Rollei SL35 E 35mm SLR Camera Rolleinar 35-105mm Lens Flash Case Manuals Lot,Rollei,Film Cameras,Used,319.99,CAD,"FIXED_PRICE,BEST_OFFER",22,1600,,CA,g.i.jers_vintage_toys,99.0,2026-09-24T20:01:14.000Z,,https://www.ebay.ca/itm/267794715704?hash=item3e59cf1438:g:SWkAAeSw40FqtX~8,https://i.ebayimg.com/images/g/SWkAAeSw40FqtX~8/s-l225.jpg
残件/按现状,44.0,SONY DCR-DVD 203 7.2V DVD-RW Disc - Does not light- Digital Video Handycam w...,Sony,Camcorders,For parts or not working,35.0,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,underpriced(med 198),CA,recyborg,99.1,2026-09-24T16:28:05.000Z,,https://www.ebay.ca/itm/137774903624?hash=item2014063148:g:sOcAAeSwOktqtU-H,https://i.ebayimg.com/images/g/sOcAAeSwOktqtU-H/s-l225.jpg
查无市价,44.0,Panasonic PV-43 Vhs-c camcorder Black tape format 20x digital zoom *No Battery*,Panasonic,Camcorders,Used,44.99,CAD,FIXED_PRICE,6,1500,underpriced(med 100),CA,654.the.store,100.0,2026-09-25T10:21:01.000Z,,https://www.ebay.ca/itm/407244511516?hash=item5ed1aa191c:g:bFAAAeSw7oNqtTuo,https://i.ebayimg.com/images/g/bFAAAeSw7oNqtTuo/s-l225.jpg
残件/按现状,44.0,Nikon Coolpix S3000 Blue Digital Camera 12MP Won't Focus - FOR PARTS / REPAIR,Nikon,Digital Cameras,For parts or not working,69.99,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,as-is;underpriced(med 200),CA,hubersmarketplace,100.0,2026-09-25T08:39:44.000Z,,https://www.ebay.ca/itm/128097904047?hash=item1dd33ae5af:g:vkMAAeSwSGxqtjNA,https://i.ebayimg.com/images/g/vkMAAeSwSGxqtjNA/s-l225.jpg
