性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-59%,110.53,80,92.0,Asahi Pentax SP 1000 Film Camera with SMC Takumar 55mm f/2 Lens,asahi 1000,Asahi,Film Cameras,Used,45.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Pentax SP;55mm,CA,jean-ticktock12,100.0,2026-09-01T18:04:18.000Z,,https://www.ebay.ca/itm/377462999730?hash=item57e28c4ab2:g:A04AAeSwTclqlxMp,https://i.ebayimg.com/images/g/A04AAeSwTclqlxMp/s-l225.jpg
合理,-4%,288.05,56,71.0,CONTAX Carl Zeiss TELE-TESSAR 300 mm f4 *T* Telephoto Lens C/Y Mount NEAR MINT!,contax tessar 300mm f4,Contax,Lenses,Used,277.97,CAD,FIXED_PRICE,grail:TESSAR;mount:contax/yashica;good-cond,CA,pictures-r-us,100.0,2026-09-02T00:00:04.000Z,,https://www.ebay.ca/itm/128056431808?hash=item1dd0c214c0:g:lNkAAeSwU~lqlwaQ,https://i.ebayimg.com/images/g/lNkAAeSwU~lqlwaQ/s-l225.jpg
抄底,-46%,93.33,8,68.0,Olympus Trip 100R 35mm Vintage Point & Shoot Film Camera w/ Strap [FILM TESTED],olympus 100r,Olympus,Film Cameras,Used,49.95,CAD,FIXED_PRICE,,CA,allofthethingsandstuff,100.0,2026-09-01T23:45:29.000Z,,https://www.ebay.ca/itm/188872984341?hash=item2bf9b50715:g:pJAAAeSwGEZql2OK,https://i.ebayimg.com/images/g/pJAAAeSwGEZql2OK/s-l225.jpg
抄底,-71%,139.83,76,62.0,Minolta Auto W.Rokkor-HG 35Mm 1:2.8 Lens Fixed Focal Length Good Condition,minolta rokkor 35mm f2.8,Minolta,Lenses,Used,39.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:minolta md,CA,buysell360,100.0,2026-09-01T22:13:21.000Z,,https://www.ebay.ca/itm/147543032364?hash=item225a40022c:g:c3EAAeSw9KNql03V,https://i.ebayimg.com/images/g/c3EAAeSw9KNql03V/s-l225.jpg
偏低,-17%,90.31,80,61.0,Asahi Pentax ME Super SLR Film Camera Film Tested Working Meter Works,asahi pentax super,Asahi,Film Cameras,Used,74.99,CAD,"FIXED_PRICE,BEST_OFFER",grail:Pentax ME Super,CA,blurredretro,99.5,2026-09-01T22:00:01.000Z,,https://www.ebay.ca/itm/366626484400?hash=item555ca430b0:g:kMQAAeSwDqFqjL5N,https://i.ebayimg.com/images/g/kMQAAeSwDqFqjL5N/s-l225.jpg
偏低,-19%,619.11,80,61.0,tested [Very Good] Hasselblad Carl Zeiss Distagon C 50mm f/4 Silver Lens,hasselblad distagon 50mm f4,Hasselblad,Lenses,Used,500.0,CAD,FIXED_PRICE,grail:Distagon,CA,ordi1051,100.0,2026-09-01T14:55:00.000Z,,https://www.ebay.ca/itm/137686595888?hash=item200ec2b930:g:BvUAAeSwuVhqluXv,https://i.ebayimg.com/images/g/BvUAAeSwuVhqluXv/s-l225.jpg
偏低,-10%,1113.07,80,61.0,Carl Zeiss Planar 80mm f/2.8 Standard Lens Manual Focus Hasselblad 60mm,zeiss planar 80mm f2.8,Zeiss,Lenses,D'occasion,1000.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Planar,CA,ash.hrb,100.0,2026-09-02T03:07:08.000Z,,https://www.ebay.ca/itm/227501819100?hash=item34f82a44dc:g:bAwAAeSwNhhql5IW,https://i.ebayimg.com/images/g/bAwAAeSwNhhql5IW/s-l225.jpg
抄底,-55%,154.25,10,58.0,Zenit EM SLR Film Moscow Olympics Camera Body Only Vintage - Tested,zenit moscow olympics,Zenit,Film Cameras,Used,69.97,CAD,"FIXED_PRICE,BEST_OFFER",,CA,olivers-outlet,99.5,2026-09-01T22:25:32.000Z,,https://www.ebay.ca/itm/137687874576?hash=item200ed63c10:g:zAwAAeSwPdNqkOdz,https://i.ebayimg.com/images/g/zAwAAeSwPdNqkOdz/s-l225.jpg
偏低,-12%,485.39,9,57.0,[Very Good] Hasselblad Carl Zeiss S Planar 120mm f/5.6 C Lens Chrome,hasselblad planar 120mm f5.6,Hasselblad,Lenses,Used,425.0,CAD,FIXED_PRICE,grail:Planar,CA,ordi1051,100.0,2026-09-01T15:08:36.000Z,,https://www.ebay.ca/itm/137686620695?hash=item200ec31a17:g:ODsAAeSwZERqlukw,https://i.ebayimg.com/images/g/ODsAAeSwZERqlukw/s-l225.jpg
抄底,-85%,194.61,41,56.0,Olympus Attachment Lens Close Up Lens f-30cm 43.5mm For Pen EE-2 EES-2 Trip35,olympus 5mm,Olympus,Lenses,Open box,30.0,CAD,FIXED_PRICE,,CA,jaxxon99,100.0,2026-09-01T11:56:07.000Z,,https://www.ebay.ca/itm/336772696500?hash=item4e693789b4:g:Hf8AAeSwdABqlryr,https://i.ebayimg.com/images/g/Hf8AAeSwdABqlryr/s-l225.jpg
抄底,-50%,75.95,37,56.0,Vintage Polaroid Impulse 600 Instant Film Camera Gray Not Film Tested,polaroid 600,Polaroid,Vintage Cameras,,37.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,sammoca,100.0,2026-09-01T19:50:19.000Z,,https://www.ebay.ca/itm/287558905280?hash=item42f3d8adc0:g:wbYAAeSw1OBqHfcL,https://i.ebayimg.com/images/g/wbYAAeSw1OBqHfcL/s-l225.jpg
超值,-31%,1798.17,40,53.0,Panasonic Leica DG Vario-Elmarit 50-200mm F2.8-4.0 ASPH Power OIS Lens,panasonic elmarit 50-200mm f2.8,Panasonic,Lenses,Used,1250.0,CAD,FIXED_PRICE,grail:Elmarit,CA,ms*electronics,100.0,2026-09-01T15:36:06.000Z,,https://www.ebay.ca/itm/800596861801?hash=itemba674aa369:g:EbcAAeSwxZRqlvCt,https://i.ebayimg.com/images/g/EbcAAeSwxZRqlvCt/s-l225.jpg
偏高,+20%,1249.68,80,53.0,Hasselblad Planar C 80mm F2.8 Silver T Lens for V System Camera,hasselblad planar 80mm f2.8,Hasselblad,Lenses,Used,1500.0,CAD,FIXED_PRICE,grail:Planar;mount:hasselblad v,CA,ordi1051,100.0,2026-09-01T13:20:38.000Z,,https://www.ebay.ca/itm/137686286433?hash=item200ebe0061:g:qPsAAeSwvEZqls6C,https://i.ebayimg.com/images/g/qPsAAeSwvEZqls6C/s-l225.jpg
超值,-28%,62.52,27,52.0,Minolta 2022732 rokkor f 100-200mm 1:56 Camera lens. Good Condition !!,minolta rokkor 100-200mm,Minolta,Lenses,Used,44.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:minolta md,CA,buysell360,100.0,2026-09-01T22:07:29.000Z,,https://www.ebay.ca/itm/147543015498?hash=item225a3fc04a:g:pWoAAeSwqX5ql0yc,https://i.ebayimg.com/images/g/pWoAAeSwqX5ql0yc/s-l225.jpg
超值,-43%,226.67,80,52.0,Nikon NIKKOR Z DX 16-50mm f/3.5-6.3 VR compact standard zoom lens,nikon nikkor 16-50mm f3.5,Nikon,Lenses,Open box,129.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:nikon f,CA,globe-auctions,98.6,2026-09-02T07:19:25.000Z,,https://www.ebay.ca/itm/377464434719?hash=item57e2a2301f:g:ODIAAeSwiCJql82l,https://i.ebayimg.com/images/g/ODIAAeSwiCJql82l/s-l225.jpg
