寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状;型号不明,89.0,CARL ZEISS PRO TESSAR 4/80 LENS UNTESTED,Zeiss,Lenses,Used,60.0,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,grail:TESSAR;as-is;underpriced(med 975),CA,lnhunks,100.0,2026-08-21T17:44:47.000Z,,https://www.ebay.ca/itm/178430635650?hash=item298b4b6e82:g:lTEAAOSwV15oQcrz,https://i.ebayimg.com/images/g/lTEAAOSwV15oQcrz/s-l225.jpg
型号不明,76.0,M42 NEAR MINT HEAVY CARL ZEISS JENA TRIOTAR 4/13.5cm Red T 15 BLADES,Zeiss,Lenses,Used,254.56,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,mount:m42;good-cond;underpriced(med 975),CA,avar-66,100.0,2026-08-21T19:58:27.000Z,,https://www.ebay.ca/itm/820032223197?hash=itembeedbab7dd:g:hYYAAOSwiNNjtKB1,https://i.ebayimg.com/images/g/hYYAAOSwiNNjtKB1/s-l225.jpg
残件/按现状;打包杂件,72.0,Canon Prima Shot 35mm Film Camera Lowepro Case Bundle UNTESTED As Is,Canon,Film Cameras,For parts or not working,25.0,CAD,"FIXED_PRICE,BEST_OFFER",4,1600,as-is;underpriced(med 97),CA,kilohz,100.0,2026-08-21T12:00:01.000Z,,https://www.ebay.ca/itm/318724188160?hash=item4a35712800:g:xSQAAeSw~bxqfd7Q,https://i.ebayimg.com/images/g/xSQAAeSw~bxqfd7Q/s-l225.jpg
残件/按现状,72.0,Canon Sure Shot 60 Zoom Date 38-60mm Film Camera Built-in Flash (NOT TESTED),Canon,Film Cameras,For parts or not working,25.22,CAD,FIXED_PRICE,19,1230,underpriced(med 97),CA,muskie3201,100.0,2026-08-22T03:30:54.000Z,,https://www.ebay.ca/itm/178431408841?hash=item298b573ac9:g:l4EAAeSwB-dqVW4X,https://i.ebayimg.com/images/g/l4EAAeSwB-dqVW4X/s-l225.jpg
残件/按现状,72.0,Canon Sure Shot 85 Zoom Point & Shoot 35mm Film Camera . Untested,Canon,Film Cameras,For parts or not working,42.98,CAD,"FIXED_PRICE,BEST_OFFER",6,1599,as-is;underpriced(med 97),CA,thepinestradingcompany,100.0,2026-08-21T20:53:13.000Z,,https://www.ebay.ca/itm/318765121030?hash=item4a37e1be06:g:R7oAAeSwRbFqHuUw,https://i.ebayimg.com/images/g/R7oAAeSwRbFqHuUw/s-l225.jpg
型号不明,70.0,NEAR MINT CARL ZEISS JENA FLEKTOGON 2.8/35 EXAKTA MOUNT,Zeiss,Lenses,Used,337.12,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,good-cond;underpriced(med 975),CA,avar-66,100.0,2026-08-21T19:58:27.000Z,,https://www.ebay.ca/itm/820032223205?hash=itembeedbab7e5:g:9C0AAOSwsttfxuTm,https://i.ebayimg.com/images/g/9C0AAOSwsttfxuTm/s-l225.jpg
型号不明,68.0,Nikon Nippon Kogaku Nikkor-Wide 1:4 35/48 Conversion Lens for Nikkorex Auto 35,Nikon,Lenses,Used,39.95,CAD,"FIXED_PRICE,BEST_OFFER",3,814,mount:nikon f;underpriced(med 220),CA,vendingfams,99.4,2026-08-21T14:35:15.000Z,,https://www.ebay.ca/itm/820031321340?hash=itembeedacf4fc:g:pvUAAOSwM7Nm0wyW,https://i.ebayimg.com/images/g/pvUAAOSwM7Nm0wyW/s-l225.jpg
残件/按现状,66.0,Olympus Stylus • Epic Zoom 80 Deluxe 35mm Film Camera • For Parts & Repair,Olympus,Film Cameras,For parts or not working,70.0,CAD,"FIXED_PRICE,BEST_OFFER",5,1594,as-is;underpriced(med 169),CA,ltsmonday,100.0,2026-08-21T14:28:17.000Z,,https://www.ebay.ca/itm/820031301668?hash=itembeedaca824:g:7L8AAeSwyRFqf7aS,https://i.ebayimg.com/images/g/7L8AAeSwyRFqf7aS/s-l225.jpg
查无市价,58.0,ROLLEI SL 82 SUPER 8 MOVIE CAMERA GERMANY VARIO 1:1.8/9-36 LENS EXCELLENT,Rollei,Vintage Cameras,,123.84,CAD,"FIXED_PRICE,AUCTION",11,1600,auction,CA,ked222ked,98.3,2026-08-22T00:17:13.000Z,2026-08-29T00:17:13.000Z,https://www.ebay.ca/itm/206509345648?hash=item3014ea8b70:g:5igAAOSwIU1jtipY,https://i.ebayimg.com/images/g/5igAAOSwIU1jtipY/s-l225.jpg
查无市价,55.0,EXA 1a w/ CARL ZEISS TESSAR 2.8/50mm & PENTACON 2.8/135mm + EXTRA,Zeiss,Film Cameras,Used,516.0,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,grail:TESSAR,CA,avar-66,100.0,2026-08-21T19:58:27.000Z,,https://www.ebay.ca/itm/820032223196?hash=itembeedbab7dc:g:oiMAAOSwP3lhWhs8,https://i.ebayimg.com/images/g/oiMAAOSwP3lhWhs8/s-l225.jpg
