性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-54%,303.14,40,78.0,TTArtisan 23mm F1.4 for Nikon Z Mount (Mint),nikon 23mm f1.4,Nikon,Lenses,Boîte ouverte,140.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:nikon z;good-cond,CA,cha-454185,0.0,2026-09-02T23:45:56.000Z,,https://www.ebay.ca/itm/377466345977?hash=item57e2bf59f9:g:sNYAAeSwvSNqmLAD,https://i.ebayimg.com/images/g/sNYAAeSwvSNqmLAD/s-l225.jpg
抄底,-61%,126.84,80,72.0,"Olympus Trip 35, Red Flag Up, Tested and Working, Lens Coating Damage",olympus trip red,Olympus,Film Cameras,Used,50.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,uni1813,100.0,2026-09-03T04:33:57.000Z,,https://www.ebay.ca/itm/287562219645?hash=item42f40b407d:g:SxQAAeSwddFqmPdf,https://i.ebayimg.com/images/g/SxQAAeSwddFqmPdf/s-l225.jpg
抄底,-97%,1400.0,77,71.0,FUJIFILM XF 16-55mm f/2.8 R LM WR Lens - BOX ONLY,fujifilm 16-55mm f2.8,Fujifilm,Lenses,New,41.53,CAD,"FIXED_PRICE,BEST_OFFER",mount:fuji x;55mm,CA,aoliazad,0.0,2026-09-02T16:43:23.000Z,,https://www.ebay.ca/itm/188876338231?hash=item2bf9e83437:g:ZtAAAeSw3EVqmFDU,https://i.ebayimg.com/images/g/ZtAAAeSw3EVqmFDU/s-l225.jpg
超值,-44%,2222.05,15,66.0,LINHOF SUPER TECHNIKA 3 6x9 CAMERA +RODENSTOCK HELIGON 95MM F2.8 LENS +BOX +CAM,linhof 3,Linhof,Film Cameras,Used,1238.86,CAD,FIXED_PRICE,,CA,setadel_studios,100.0,2026-09-02T18:31:51.000Z,,https://www.ebay.ca/itm/267774358080?hash=item3e58987240:g:-B8AAeSweM9qAj6m,https://i.ebayimg.com/images/g/-B8AAeSweM9qAj6m/s-l225.jpg
抄底,-46%,178.56,7,64.0,Pentax K Mount Takumar Bayonet 28mm f/2.8 Wide Angle Lens w/ Case & Caps,pentax takumar 28mm f2.8,Pentax,Lenses,Used,96.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:pentax k,CA,s_h_a_z_a_m,100.0,2026-09-03T07:27:38.000Z,,https://www.ebay.ca/itm/298641044341?hash=item458864b375:g:pRUAAeSwzMRqmSEU,https://i.ebayimg.com/images/g/pRUAAeSwzMRqmSEU/s-l225.jpg
超值,-27%,4094.22,58,54.0,Leica Q Typ 116 (19000) Digital Camera 24.2 MP Boxed flawless priced to sell,leica 116,Leica,Digital Cameras,Used,2995.0,CAD,FIXED_PRICE,good-cond,CA,palika,100.0,2026-09-03T11:05:05.000Z,,https://www.ebay.ca/itm/206533186748?hash=item30165654bc:g:~CcAAeSwYPtpY9vS,https://i.ebayimg.com/images/g/~CcAAeSwYPtpY9vS/s-l225.jpg
超值,-38%,107.95,33,52.0,Canon Vintage FL 35mm f2.5 Wide Angle Manual Focus Film Camera Lens,canon fl 35mm f2.5,Canon,Lenses,Used,67.5,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon fd,CA,homerevivalbc,100.0,2026-09-02T19:13:53.000Z,,https://www.ebay.ca/itm/137691484709?hash=item200f0d5225:g:WccAAeSw6SZqHxSN,https://i.ebayimg.com/images/g/WccAAeSw6SZqHxSN/s-l225.jpg
超值,-43%,226.67,80,52.0,Nikon NIKKOR Z DX 16-50mm f/3.5-6.3 VR compact standard zoom lens,nikon nikkor 16-50mm f3.5,Nikon,Lenses,Open box,129.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:nikon f,CA,globe-auctions,98.6,2026-09-02T07:19:25.000Z,,https://www.ebay.ca/itm/377464434719?hash=item57e2a2301f:g:ODIAAeSwiCJql82l,https://i.ebayimg.com/images/g/ODIAAeSwiCJql82l/s-l225.jpg
抄底,-81%,456.41,58,50.0,Fujifilm Digital Camera FinePix Z33 WP 10.0MP Blue,fujifilm z33,Fujifilm,Digital Cameras,Used,84.97,CAD,FIXED_PRICE,,CA,frumentiu,99.2,2026-09-03T02:21:14.000Z,,https://www.ebay.ca/itm/267774652797?hash=item3e589cf17d:g:7~QAAeSwpLBqmNlf,https://i.ebayimg.com/images/g/7~QAAeSwpLBqmNlf/s-l225.jpg
抄底,-78%,465.85,56,50.0,Fujifilm FinePix Z Series Z33WP 10.0MP Digital Camera - Blue,fujifilm z33wp,Fujifilm,Digital Cameras,Used,99.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,videotimeplus,99.9,2026-09-02T20:37:03.000Z,,https://www.ebay.ca/itm/377465986968?hash=item57e2b9df98:g:AJgAAeSwuNFqmIho,https://i.ebayimg.com/images/g/AJgAAeSwuNFqmIho/s-l225.jpg
