性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-77%,248.41,80,99.0,Mamiya 220 Film Insert Pro for RZ67 Medium Format Camera System,mamiya rz67,Mamiya,Film Cameras,Used,57.76,CAD,"FIXED_PRICE,BEST_OFFER",grail:RZ67,CA,simons_sells,99.1,2026-08-13T03:52:04.000Z,,https://www.ebay.ca/itm/267755645544?hash=item3e577aea68:g:8hUAAeSwh5lp9E3x,https://i.ebayimg.com/images/g/8hUAAeSwh5lp9E3x/s-l225.jpg
无基准,,221.14,80,75.0,Tested *MINT* Mamiya 7 II Medium Format Film Camera Pelican Case 5 Lens Kit,mamiya 7,Mamiya,Film Cameras,Open box,23699.69,CAD,"FIXED_PRICE,AUCTION",grail:Mamiya 7 II;good-cond;auction,CA,loso_jess,0.0,2026-08-13T05:45:22.000Z,2026-08-23T05:45:22.000Z,https://www.ebay.ca/itm/358920507037?hash=item5391544e9d:g:1HkAAeSwzZZqYu40,https://i.ebayimg.com/images/g/1HkAAeSwzZZqYu40/s-l225.jpg
抄底,-67%,75.36,11,72.0,Voigtlander Vito B,voigtlander vito,Voigtlander,Vintage Cameras,,25.0,CAD,FIXED_PRICE,,CA,camed,100.0,2026-08-12T17:35:15.000Z,,https://www.ebay.ca/itm/206485884054?hash=item3013848c96:g:JbAAAeSwsqlqfKvm,https://i.ebayimg.com/images/g/JbAAAeSwsqlqfKvm/s-l225.jpg
抄底,-46%,221.52,47,68.0,Opteka Fisheye Lens 6.5mm f/3.5 For Canon EF Mount Fixed/Prime Lens,canon ef 5mm f3.5,Canon,Lenses,Used,119.99,CAD,FIXED_PRICE,mount:canon ef,CA,paymore_kitchener,99.6,2026-08-13T12:19:49.000Z,,https://www.ebay.ca/itm/137616695862?hash=item200a982236:g:sZIAAeSwCN1qfZf1,https://i.ebayimg.com/images/g/sZIAAeSwCN1qfZf1/s-l225.jpg
偏低,-20%,753.39,25,64.0,Voigtländer 55mm f/1.2 Nokton SLIIs (Nikon),voigtländer nokton 55mm f1.2,Voigtländer,Lenses,Used,600.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Nokton;55mm,CA,de_coverley,100.0,2026-08-12T20:03:56.000Z,,https://www.ebay.ca/itm/358918861746?hash=item53913b33b2:g:8EgAAeSwOwdqfNSZ,https://i.ebayimg.com/images/g/8EgAAeSwOwdqfNSZ/s-l225.jpg
抄底,-53%,69.64,80,62.0,Soligor Wide-Auto 35mm f/2.8 Wide Angle Lens Minolta SR MD,minolta 35mm f2.8,Minolta,Lenses,Used,32.5,CAD,"FIXED_PRICE,BEST_OFFER",mount:minolta md,CA,dit_rich,100.0,2026-08-13T01:24:47.000Z,,https://www.ebay.ca/itm/278274486625?hash=item40ca73b161:g:QiEAAeSwHn1qfRyk,https://i.ebayimg.com/images/g/QiEAAeSwHn1qfRyk/s-l225.jpg
抄底,-50%,80.4,41,62.0,Vinage Polaroid Instant Camera Cool Cam 600 Red Black With Case Vintage,polaroid 600,Polaroid,Vintage Cameras,,40.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,sylwiasliwinska,100.0,2026-08-12T21:10:20.000Z,,https://www.ebay.ca/itm/287521231017?hash=item42f199d0a9:g:XoYAAeSwy0VqfODX,https://i.ebayimg.com/images/g/XoYAAeSwy0VqfODX/s-l225.jpg
合理,-4%,466.73,80,61.0,Voigtlander Nokton Classic 40mm f1.4 MC VM,voigtlander nokton 40mm f1.4,Voigtlander,Lenses,Used,450.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Nokton;mount:leica m,CA,de_coverley,100.0,2026-08-12T19:34:18.000Z,,https://www.ebay.ca/itm/358918796448?hash=item53913a34a0:g:tlsAAeSwS4pqfMhZ,https://i.ebayimg.com/images/g/tlsAAeSwS4pqfMhZ/s-l225.jpg
超值,-36%,224.0,80,52.0,Nikon AF-S DX NIKKOR 18-140mm f/3.5-5.6G ED VR Lens - Tested & Clean,nikon nikkor 18-140mm f3.5,Nikon,Lenses,Used,142.4,CAD,FIXED_PRICE,mount:nikon f,CA,wahi_2428,99.2,2026-08-12T20:34:04.000Z,,https://www.ebay.ca/itm/407139795626?hash=item5ecb6c42aa:g:L7MAAeSwgvRqfNik,https://i.ebayimg.com/images/g/L7MAAeSwgvRqfNik/s-l225.jpg
超值,-38%,968.86,32,52.0,Canon RF 600mm f/11 IS STM Super Telephoto Lens - Great Condition With Box,canon rf 600mm f11,Canon,Lenses,Open box,600.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon rf,CA,addy29,100.0,2026-08-12T14:33:57.000Z,,https://www.ebay.ca/itm/307122577321?hash=item4781ee9fa9:g:FXMAAeSwn1BqKgum,https://i.ebayimg.com/images/g/FXMAAeSwn1BqKgum/s-l225.jpg
超值,-37%,55.45,80,50.0,Ricoh AF System Camera S–30 Date Black Lens 35mm Taiwan Vintage,ricoh 30,Ricoh,Film Cameras,Used,34.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,bestadvintages59,100.0,2026-08-13T00:00:01.000Z,,https://www.ebay.ca/itm/267754490630?hash=item3e57694b06:g:xLkAAeSwhJ9oGs5p,https://i.ebayimg.com/images/g/xLkAAeSwhJ9oGs5p/s-l225.jpg
无基准,,69.82,80,49.0,Olympus Stylus Epic Zoom 80 35mm Point & Shoot Film Camera,olympus stylus epic 80,Olympus,Film Cameras,Used,0.0,USD,AUCTION,grail:Stylus Epic;auction,CA,franki440,100.0,2026-08-12T07:04:23.000Z,2026-08-19T07:04:23.000Z,https://www.ebay.ca/itm/800495310829?hash=itemba613d17ed:g:4cYAAeSwIOxqHwrt,https://i.ebayimg.com/images/g/4cYAAeSwIOxqHwrt/s-l225.jpg
抄底,-53%,69.69,9,48.0,TAMRON F2.8 135 mm Prime Lens M42 Screw Mount BARR Multi Coating For Film or Dig,tamron m42 135mm f2.8,Tamron,Lenses,Used,32.5,CAD,"FIXED_PRICE,BEST_OFFER",mount:ltm/l39,CA,dit_rich,100.0,2026-08-13T01:34:35.000Z,,https://www.ebay.ca/itm/278274516740?hash=item40ca742704:g:QTkAAeSwCz5qfR8P,https://i.ebayimg.com/images/g/QTkAAeSwCz5qfR8P/s-l225.jpg
偏高,+34%,112.05,80,47.0,Pentax K1000 35mm Film Camera,pentax k1000,Pentax,Film Cameras,Used,150.0,CAD,FIXED_PRICE,grail:K1000,CA,canada06blue,99.4,2026-08-13T02:35:04.000Z,,https://www.ebay.ca/itm/168609592831?hash=item2741ea35ff:g:feQAAeSwPd5qfSu4,https://i.ebayimg.com/images/g/feQAAeSwPd5qfSu4/s-l225.jpg
