性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-50%,8336.46,62,89.0,Leica 28mm f2 Summicron-M Asph. 6-bit Lens 11604,leica summicron 28mm f2,Leica,Lenses,Used,4170.6,CAD,"FIXED_PRICE,BEST_OFFER",grail:Summicron,CA,therangefinder,100.0,2026-09-14T14:03:57.000Z,,https://www.ebay.ca/itm/128079356825?hash=item1dd21fe399:g:BrEAAeSwhZ9qc10T,https://i.ebayimg.com/images/g/BrEAAeSwhZ9qc10T/s-l225.jpg
偏低,-24%,147.59,50,71.0,Zeiss Ikon Contessa LK 35mm Rangefinder | Tessar 50mm f/2.8 | w/ Hard Case,zeiss ikon contessa,Zeiss,Film Cameras,Used,112.79,CAD,"FIXED_PRICE,BEST_OFFER",grail:Tessar,CA,miggysrediscoveredgoods,98.8,2026-09-15T10:43:16.000Z,,https://www.ebay.ca/itm/398396786523?hash=item5cc24c875b:g:HcoAAeSw9Qdpkfvo,https://i.ebayimg.com/images/g/HcoAAeSw9Qdpkfvo/s-l225.jpg
抄底,-57%,507.41,37,68.0,Canon EF-S 35mm F2.8 MACRO IS STM AF Lens EF-S,canon ef-s 35mm f2.8,Canon,Lenses,Used,220.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon ef,CA,goldeneagletcg,100.0,2026-09-14T19:58:39.000Z,,https://www.ebay.ca/itm/407216754631?hash=item5ed0028fc7:g:TbgAAeSwgQFqqFEE,https://i.ebayimg.com/images/g/TbgAAeSwgQFqqFEE/s-l225.jpg
抄底,-46%,55.59,80,62.0,Nikon AF NIKKOR 28-80mm f/3.3-5.6 G Zoom Lens Black,nikon nikkor 28-80mm f3.3,Nikon,Lenses,Used,30.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:nikon f,CA,bcvintageprovisions,99.1,2026-09-14T14:00:00.000Z,,https://www.ebay.ca/itm/158289823658?hash=item24dacf07aa:g:9pwAAeSw90JqpP75,https://i.ebayimg.com/images/g/9pwAAeSw90JqpP75/s-l225.jpg
合理,+6%,639.48,80,61.0,Voigtlander Cosina NOKTON classic 35mm F1.4 II MC VM (for Leica M),voigtlander nokton 35mm f1.4,Voigtlander,Lenses,Used,675.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:NOKTON;mount:leica m,CA,samsec_33,100.0,2026-09-14T23:23:34.000Z,,https://www.ebay.ca/itm/820127812028?hash=itembef36d49bc:g:YCMAAeSwtMVqqIG2,https://i.ebayimg.com/images/g/YCMAAeSwtMVqqIG2/s-l225.jpg
无基准,,624.32,57,60.0,Voigtlander Nokton 58mm f/1.4 SL ll N for Nikon F mount,voigtlander nokton 58mm f1.4,Voigtlander,Lenses,Used,630.5,CAD,"FIXED_PRICE,AUCTION",grail:Nokton;mount:nikon f;58mm;auction;low-feedback,CA,kj8-28,96.8,2026-09-15T10:48:24.000Z,2026-09-22T10:48:24.000Z,https://www.ebay.ca/itm/407218188294?hash=item5ed0187006:g:5LAAAeSw0l5qqSCT,https://i.ebayimg.com/images/g/5LAAAeSw0l5qqSCT/s-l225.jpg
无基准,,298.02,80,59.0,Mamiya RB67 90mm f3.8 Sekor C Lens RB-67 - NICE SHAPE - JAPAN,mamiya sekor 90mm f3.8,Mamiya,Lenses,Used,193.31,CAD,"FIXED_PRICE,AUCTION",grail:RB67;auction,CA,georgio-606,100.0,2026-09-15T01:55:15.000Z,2026-09-22T01:55:15.000Z,https://www.ebay.ca/itm/227521972181?hash=item34f95dc7d5:g:7HkAAeSw0p1qqKMa,https://i.ebayimg.com/images/g/7HkAAeSw0p1qqKMa/s-l225.jpg
抄底,-69%,80.35,36,56.0,Polaroid Impulse Instant Film Camera (600) – Tested Working,polaroid 600,Polaroid,Vintage Cameras,,25.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,dc-treasure-vault,99.9,2026-09-14T12:40:19.000Z,,https://www.ebay.ca/itm/318869891615?hash=item4a3e206a1f:g:K~sAAeSwQIRqp-rJ,https://i.ebayimg.com/images/g/K~sAAeSwQIRqp-rJ/s-l225.jpg
偏低,-9%,87.92,80,53.0,Minolta SR-7 35mm SLR Film Camera Auto Rokkor-PF 55mm f/1.8 Lens Tested,minolta sr-7,Minolta,Film Cameras,Used,80.0,CAD,FIXED_PRICE,mount:minolta md;55mm,CA,dny.liquidation,98.3,2026-09-14T14:18:25.000Z,,https://www.ebay.ca/itm/137736270816?hash=item2011b8b3e0:g:A5MAAeSwy3FqqADn,https://i.ebayimg.com/images/g/A5MAAeSwy3FqqADn/s-l225.jpg
抄底,-66%,117.46,50,50.0,Canon PowerShot S5 IS 8MP Digital Camera 12x Zoom READ,canon s5,Canon,Digital Cameras,Used,40.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,trhall_03,99.8,2026-09-14T19:29:39.000Z,,https://www.ebay.ca/itm/398394712065?hash=item5cc22ce001:g:2ggAAeSwAjhqKI~l,https://i.ebayimg.com/images/g/2ggAAeSwAjhqKI~l/s-l225.jpg
