性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
无基准,,221.14,80,75.0,Tested *MINT* Mamiya 7 II Medium Format Film Camera Pelican Case 5 Lens Kit,mamiya 7,Mamiya,Film Cameras,Open box,23699.69,CAD,"FIXED_PRICE,AUCTION",grail:Mamiya 7 II;good-cond;auction,CA,loso_jess,0.0,2026-08-13T05:45:22.000Z,2026-08-23T05:45:22.000Z,https://www.ebay.ca/itm/358920507037?hash=item5391544e9d:g:1HkAAeSwzZZqYu40,https://i.ebayimg.com/images/g/1HkAAeSwzZZqYu40/s-l225.jpg
抄底,-47%,208.95,41,72.0,Nikon EL2 35mm Film Camera w/ Vivitar 70-210mm Lens,nikon el2,Nikon,Film Cameras,Used,109.98,CAD,"FIXED_PRICE,BEST_OFFER",,CA,auctionace742,100.0,2026-08-13T15:50:47.000Z,,https://www.ebay.ca/itm/128024930722?hash=item1dcee169a2:g:rTYAAeSwKGlpdkii,https://i.ebayimg.com/images/g/rTYAAeSwKGlpdkii/s-l225.jpg
抄底,-46%,221.52,47,68.0,Opteka Fisheye Lens 6.5mm f/3.5 For Canon EF Mount Fixed/Prime Lens,canon ef 5mm f3.5,Canon,Lenses,Used,119.99,CAD,FIXED_PRICE,mount:canon ef,CA,paymore_kitchener,99.6,2026-08-13T12:19:49.000Z,,https://www.ebay.ca/itm/137616695862?hash=item200a982236:g:sZIAAeSwCN1qfZf1,https://i.ebayimg.com/images/g/sZIAAeSwCN1qfZf1/s-l225.jpg
偏低,-24%,246.61,7,57.0,Voigtlander Color-Ultron 50mm F1.8 Prime Lens for QBM Rollei 35mm SLR Mount,voigtlander ultron 50mm f1.8,Voigtlander,Lenses,Used,188.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Ultron,CA,intofoc.usmontreal,98.2,2026-08-13T20:08:39.000Z,,https://www.ebay.ca/itm/257678671941?hash=item3bfed88045:g:NaYAAeSwkOdqfiOD,https://i.ebayimg.com/images/g/NaYAAeSwkOdqfiOD/s-l225.jpg
抄底,-56%,80.4,41,56.0,Polaroid One Step Express Green 600 Instant Film Camera Tested Works,polaroid 600,Polaroid,Vintage Cameras,,34.95,CAD,"FIXED_PRICE,BEST_OFFER",,CA,lost-and-found-vintage,99.6,2026-08-13T15:25:40.000Z,,https://www.ebay.ca/itm/318724219639?hash=item4a3571a2f7:g:oaYAAeSwQzFqfeHK,https://i.ebayimg.com/images/g/oaYAAeSwQzFqfeHK/s-l225.jpg
高价,+85%,48.76,80,55.0,[N Mint] Minolta Hi-matic F Rokkor Rangefindr 38mm f2.7 Film camera,minolta hi-matic rokkor,Minolta,Film Cameras,Used,89.99,CAD,"FIXED_PRICE,BEST_OFFER",grail:Hi-matic;mount:minolta md;good-cond,CA,tjs.assorted.and.interesting,99.3,2026-08-14T00:46:49.000Z,,https://www.ebay.ca/itm/198569339876?hash=item2e3ba7abe4:g:bRgAAeSwtcBqamI3,https://i.ebayimg.com/images/g/bRgAAeSwtcBqamI3/s-l225.jpg
抄底,-53%,101.38,80,50.0,Nikon COOLPIX S570 PINK Digital Camera 12.0 MP 5X OZ- NO CHARGER OR BATTERY,nikon s570,Nikon,Digital Cameras,Open box,48.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,vivalen-84,98.5,2026-08-13T22:10:22.000Z,,https://www.ebay.ca/itm/227474794512?hash=item34f68de810:g:N3YAAeSwZy5qfkAc,https://i.ebayimg.com/images/g/N3YAAeSwZy5qfkAc/s-l225.jpg
抄底,-60%,148.19,56,50.0,FUJIFILM FinePix A800 Digital Camera 8.3 MP Silver- XD Card Included- TESTED!,fujifilm a800,Fujifilm,Digital Cameras,Used,59.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,useitnext2,99.0,2026-08-14T02:04:52.000Z,,https://www.ebay.ca/itm/318726765593?hash=item4a35987c19:g:nDQAAeSwSOpqfnUB,https://i.ebayimg.com/images/g/nDQAAeSwSOpqfnUB/s-l225.jpg
抄底,-78%,320.98,80,50.0,Canon PowerShot SD1300 IS Digital ELPH 12.1MP Digital Camera - Silver (Lens Erro,canon sd1300,Canon,Digital Cameras,Used,69.66,CAD,FIXED_PRICE,,CA,kevscollective,97.5,2026-08-14T03:31:22.000Z,,https://www.ebay.ca/itm/178404978646?hash=item2989c3efd6:g:tcgAAeSwSG9qfowD,https://i.ebayimg.com/images/g/tcgAAeSwSG9qfowD/s-l225.jpg
抄底,-48%,145.17,35,50.0,OLYMPUS VG-110 12 MP 4X OPTICAL ZOOM DIGITAL CAMERA - RED - NO CHARGER **READ**,olympus vg-110,Olympus,Digital Cameras,Used,74.75,CAD,FIXED_PRICE,,CA,bestsellersbookstore,99.9,2026-08-13T15:12:13.000Z,,https://www.ebay.ca/itm/800502559032?hash=itemba61abb138:g:lHoAAOSwdfpoLmZe,https://i.ebayimg.com/images/g/lHoAAOSwdfpoLmZe/s-l225.jpg
抄底,-59%,196.15,80,50.0,Canon PowerShot SX500 IS 16.0MP Digital Camera - Black- Not Tested,canon sx500,Canon,Digital Cameras,Used,80.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,vivalen-84,98.5,2026-08-13T21:54:19.000Z,,https://www.ebay.ca/itm/227474781820?hash=item34f68db67c:g:LlIAAeSwtEFqfjx0,https://i.ebayimg.com/images/g/LlIAAeSwtEFqfjx0/s-l225.jpg
抄底,-52%,349.96,80,50.0,Canon powershot ELPH 115 IS blue- Not Tested,canon 115,Canon,Digital Cameras,Used,168.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,vivalen-84,98.5,2026-08-13T18:23:07.000Z,,https://www.ebay.ca/itm/227474596420?hash=item34f68ae244:g:LuQAAeSwVf1qfgay,https://i.ebayimg.com/images/g/LuQAAeSwVf1qfgay/s-l225.jpg
抄底,-66%,589.1,47,50.0,Nikon COOLPIX AW100,nikon aw100,Nikon,Digital Cameras,D'occasion,200.0,CAD,FIXED_PRICE,,CA,thatieugads,100.0,2026-08-13T15:50:44.000Z,,https://www.ebay.ca/itm/137617317392?hash=item200aa19e10:g:sMgAAeSwv8xqfecb,https://i.ebayimg.com/images/g/sMgAAeSwv8xqfecb/s-l225.jpg
超值,-25%,3482.74,42,50.0,Leica M M8 10.3MP Digital Camera - Black (Body Only),leica m8,Leica,Digital Cameras,Used,2600.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:leica m,CA,donhs-61,0.0,2026-08-13T13:59:56.000Z,,https://www.ebay.ca/itm/227474281001?hash=item34f6861229:g:w3YAAeSw4VRqfc1E,https://i.ebayimg.com/images/g/w3YAAeSw4VRqfc1E/s-l225.jpg
无基准,,153.23,64,49.0,Yashica T2 Carl Zeiss Tessar T 35mm f/3.5 Film Camera w/ Case Tested,yashica t2,Yashica,Film Cameras,Used,0.0,USD,"AUCTION,BEST_OFFER",grail:Tessar;auction,CA,tiski_collectibles,100.0,2026-08-14T04:00:01.000Z,2026-08-24T04:00:01.000Z,https://www.ebay.ca/itm/178379776906?hash=item298843638a:g:H9cAAeSw-Dtqa06l,https://i.ebayimg.com/images/g/H9cAAeSw-Dtqa06l/s-l225.jpg
无基准,,83.59,80,49.0,Nikon Nikonos V Body w/35mm Lens,nikon nikonos,Nikon,Film Cameras,Used,0.0,USD,AUCTION,grail:Nikonos;auction,CA,divetrip,97.3,2026-08-13T18:35:12.000Z,2026-08-20T18:35:12.000Z,https://www.ebay.ca/itm/117357832514?hash=item1b53126942:g:y-QAAeSwvTxqV8Vj,https://i.ebayimg.com/images/g/y-QAAeSwvTxqV8Vj/s-l225.jpg
偏低,-16%,632.47,47,47.0,Panasonic LEICA DG SUMMILUX 9mm f/1.7 lens for Micro Four Thirds,panasonic summilux 9mm f1.7,Panasonic,Lenses,Used,530.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:SUMMILUX;mount:micro 4/3,CA,thlngrmble,100.0,2026-08-14T11:45:28.000Z,,https://www.ebay.ca/itm/298587406455?hash=item4585324077:g:6TQAAeSwA6tqfgJ8,https://i.ebayimg.com/images/g/6TQAAeSwA6tqfgJ8/s-l225.jpg
偏低,-18%,48.79,55,44.0,50mm Mamiya Sekor SX Mamiya/Sekor SX 50mm F/2.0 1:2 Auto SX Lens M42 Mount 1557,mamiya sekor 50mm f2,Mamiya,Lenses,Used,39.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:m42,CA,tjs.assorted.and.interesting,99.3,2026-08-13T21:02:34.000Z,,https://www.ebay.ca/itm/198569045213?hash=item2e3ba32cdd:g:wdQAAeSw5mlqJN7w,https://i.ebayimg.com/images/g/wdQAAeSw5mlqJN7w/s-l225.jpg
偏低,-17%,90.47,16,44.0,Pentax Espio 738G 38mm-70mm Zoom Lens Compact Film Camera,pentax 738g,Pentax,Film Cameras,Used,75.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,e_and06,99.4,2026-08-13T23:08:59.000Z,,https://www.ebay.ca/itm/278277593653?hash=item40caa31a35:g:aioAAeSwKTRqfk5Q,https://i.ebayimg.com/images/g/aioAAeSwKTRqfk5Q/s-l225.jpg
偏低,-22%,480.38,33,44.0,Fujifilm Instax Wide 300 Instant Film Camera Black Silver With Case,fujifilm instax 300,Fujifilm,Film Cameras,Used,375.98,CAD,"FIXED_PRICE,BEST_OFFER",,CA,secondchancevalley,98.7,2026-08-14T02:55:19.000Z,,https://www.ebay.ca/itm/800504944415?hash=itemba61d0171f:g:X54AAeSwFN5qfoMm,https://i.ebayimg.com/images/g/X54AAeSwFN5qfoMm/s-l225.jpg
无基准,,34.81,80,42.0,Rolleiflex Twin Lens Camera,rolleiflex rolleiflex,Rolleiflex,Film Cameras,Used,0.0,USD,AUCTION,auction,CA,divetrip,97.3,2026-08-13T23:00:08.000Z,2026-08-18T23:00:08.000Z,https://www.ebay.ca/itm/206489110952?hash=item3013b5c9a8:g:lmMAAeSwmE9qfkvL,https://i.ebayimg.com/images/g/lmMAAeSwmE9qfkvL/s-l225.jpg
抄底,-52%,395.25,40,42.0,Nikon COOLPIX P4 8.1MP Digital Point And Shoot Camera,nikon p4,Nikon,Digital Cameras,Used,188.99,CAD,FIXED_PRICE,low-feedback,CA,paymore_newton,94.7,2026-08-14T01:35:52.000Z,,https://www.ebay.ca/itm/206489381612?hash=item3013b9eaec:g:eGcAAeSwU79qfmuM,https://i.ebayimg.com/images/g/eGcAAeSwU79qfmuM/s-l225.jpg
超值,-35%,902.75,20,42.0,Sony E Mount SEL Zeiss FE 16-35mm f4 ZA OSS Stabilized Wide Zoom FX Warranty,sony zeiss 16-35mm f4,Sony,Lenses,Used,589.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:sony e,CA,fullphoto,100.0,2026-08-13T22:55:53.000Z,,https://www.ebay.ca/itm/278277582072?hash=item40caa2ecf8:g:jx8AAeSwfn9qfkps,https://i.ebayimg.com/images/g/jx8AAeSwfn9qfkps/s-l225.jpg
