性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-52%,1092.42,80,105.0,MINT Voigtlander Nokton 40mm f/1.2 Aspherical for Leica M Mount,voigtlander nokton 40mm f1.2,Voigtlander,Lenses,Used,520.0,CAD,FIXED_PRICE,grail:Nokton;mount:leica m;good-cond,CA,jus9197,100.0,2026-09-25T09:32:15.000Z,,https://www.ebay.ca/itm/137777574279?hash=item20142ef187:g:gWkAAeSwj8Nqh4Cl,https://i.ebayimg.com/images/g/gWkAAeSwj8Nqh4Cl/s-l225.jpg
抄底,-48%,174.82,45,72.0,Pentax Espio 120Mi 35mm Film Camera Compact Point & Shoot 38-120mm Tested Works,pentax 120mi,Pentax,Film Cameras,Used,90.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,darcysboardshop,100.0,2026-09-24T21:08:05.000Z,,https://www.ebay.ca/itm/178525767720?hash=item2990f70828:g:XTQAAeSwwS5qmJDG,https://i.ebayimg.com/images/g/XTQAAeSwwS5qmJDG/s-l225.jpg
抄底,-49%,92.59,8,68.0,Yashica Zoomate 70Z Film Camera 35mm 38-70mm Lens with Case Tested,yashica 70z,Yashica,Film Cameras,Used,47.49,CAD,"FIXED_PRICE,BEST_OFFER",,CA,vintage-vault-kent,99.6,2026-09-24T15:41:41.000Z,,https://www.ebay.ca/itm/377520050208?hash=item57e5f2d020:g:ns0AAeSwy3xptD-3,https://i.ebayimg.com/images/g/ns0AAeSwy3xptD-3/s-l225.jpg
抄底,-49%,107.27,80,68.0,Canon EF 55-200mm f/4.5-5.6 II USM - EF-mount - Bargain,canon ef 55-200mm f4.5,Canon,Lenses,Used,54.99,CAD,FIXED_PRICE,mount:canon ef,CA,strictlycameras,100.0,2026-09-25T03:35:46.000Z,,https://www.ebay.ca/itm/800712204985?hash=itemba6e2aa2b9:g:yUcAAeSws~pqtexR,https://i.ebayimg.com/images/g/yUcAAeSws~pqtexR/s-l225.jpg
无基准,,139.97,80,64.0,MAMIYA RB67 6X7 MEDIUM FORMAT SLR CAMERA BODY +SEKOR ZOOM C 100-200MM F5.2 LENS,mamiya rb67,Mamiya,Film Cameras,Used,0.0,USD,AUCTION,grail:RB67;auction,CA,setadel_studios,100.0,2026-09-25T02:30:01.000Z,2026-10-02T02:30:01.000Z,https://www.ebay.ca/itm/267733640427?hash=item3e562b24eb:g:pvUAAeSwnNNqst9j,https://i.ebayimg.com/images/g/pvUAAeSwnNNqst9j/s-l225.jpg
超值,-40%,166.12,16,62.0,"Minolta X-70 MD 35mm Camera Silver - Tested, Working",minolta x-70,Minolta,Film Cameras,Used,99.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:minolta md,CA,empirevideogamez,99.5,2026-09-24T14:56:16.000Z,,https://www.ebay.ca/itm/198664253918?hash=item2e414ff1de:g:ug8AAOSwUC1niZm7,https://i.ebayimg.com/images/g/ug8AAOSwUC1niZm7/s-l225.jpg
超值,-28%,269.37,80,62.0,Pentax SMC Pentax-M 35mm f/2 Wide Angle K Mount Lens Near Mint Japan,pentax smc 35mm f2,Pentax,Lenses,Used,195.0,CAD,FIXED_PRICE,mount:pentax k;good-cond,CA,dny.liquidation,98.2,2026-09-24T18:09:33.000Z,,https://www.ebay.ca/itm/137775267661?hash=item20140bbf4d:g:pbIAAeSw1E5qtWYG,https://i.ebayimg.com/images/g/pbIAAeSw1E5qtWYG/s-l225.jpg
偏低,-20%,113.09,21,61.0,Konica Big Mini BM-510Z 35mm Camera,konica bm-510z,Konica,Film Cameras,Used,90.0,CAD,FIXED_PRICE,grail:Big Mini,CA,generals_goods,100.0,2026-09-25T04:52:31.000Z,,https://www.ebay.ca/itm/206580637421?hash=item30192a5eed:g:YCAAAeSwGTZqtfjZ,https://i.ebayimg.com/images/g/YCAAAeSwGTZqtfjZ/s-l225.jpg
偏低,-12%,318.1,80,61.0,Carl Zeiss Planar 50mm f/1.4 HFT Lens Rollei QBM West Germany 5563566,zeiss planar 50mm f1.4,Zeiss,Lenses,Used,279.99,CAD,"FIXED_PRICE,BEST_OFFER",grail:Planar,CA,g.i.jers_vintage_toys,99.0,2026-09-24T20:31:12.000Z,,https://www.ebay.ca/itm/267794750068?hash=item3e59cf9a74:g:NcwAAeSwFwNqtYf1,https://i.ebayimg.com/images/g/NcwAAeSwFwNqtYf1/s-l225.jpg
抄底,-61%,721.02,75,58.0,Sigma 105mm 2.8 DG Macro EX for Canon EF - Excellent,sigma ef 105mm,Sigma,Lenses,Used,279.0,CAD,FIXED_PRICE,mount:canon ef,CA,goodusedcameras,100.0,2026-09-25T04:53:42.000Z,,https://www.ebay.ca/itm/206580638402?hash=item30192a62c2:g:aQYAAeSwlCJqtf0L,https://i.ebayimg.com/images/g/aQYAAeSwlCJqtf0L/s-l225.jpg
