寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,87.0,Leica Z2X Vario Elmar 35-70 point and shoot camera. Pre owned. UNTESTED,Leica,Film Cameras,Used,175.0,CAD,"FIXED_PRICE,BEST_OFFER",9,960,grail:Elmar;as-is;underpriced(med 900),CA,mrsnd-86,100.0,2026-09-12T21:55:43.000Z,,https://www.ebay.ca/itm/206552901455?hash=item301783274f:g:NOoAAeSw3Hxqpcet,https://i.ebayimg.com/images/g/NOoAAeSw3Hxqpcet/s-l225.jpg
残件/按现状,71.0,Canon EF-S 18-55mm 1:3.5-5.6 II Standard Zoom Lens UNTESTED,Canon,Lenses,For parts or not working,30.0,CAD,"FIXED_PRICE,BEST_OFFER",2,1600,mount:canon ef;55mm;as-is;underpriced(med 165),CA,misterupdate,100.0,2026-09-13T02:45:29.000Z,,https://www.ebay.ca/itm/128076614147?hash=item1dd1f60a03:g:8NUAAeSwj0lqpg0P,https://i.ebayimg.com/images/g/8NUAAeSwj0lqpg0P/s-l225.jpg
无图,68.0,Olympus Zuiko Digital 40-150mm f/3.5-4.5 - Four Thirds-mount - Excellent,Olympus,Lenses,Used,54.99,CAD,FIXED_PRICE,0,0,mount:olympus om;underpriced(med 130),CA,strictlycameras,100.0,2026-09-13T01:44:19.000Z,,https://www.ebay.ca/itm/800652793891?hash=itemba6aa01823:i:800652793891,
残件/按现状,61.0,Olympus Stylus Epic DLX 35mm Film Camera Gold f/2.8 Panorama Mju II FOR PARTS,Olympus,Film Cameras,For parts or not working,129.99,CAD,"FIXED_PRICE,BEST_OFFER",22,1600,grail:Stylus Epic;as-is,CA,306videogames,100.0,2026-09-12T08:07:34.000Z,,https://www.ebay.ca/itm/820117359166?hash=itembef2cdca3e:g:srUAAeSwJMFqpOb4,https://i.ebayimg.com/images/g/srUAAeSwJMFqpOb4/s-l225.jpg
残件/按现状,59.0,Canon EOS 30D For Parts with EF-S 18-55mm 1:3.5-5.6 II w/ 2 Batteries,Canon,Digital Cameras,For parts or not working,35.0,CAD,"FIXED_PRICE,BEST_OFFER",16,1506,mount:canon ef;55mm;as-is;underpriced(med 200),CA,misterupdate,100.0,2026-09-13T02:24:49.000Z,,https://www.ebay.ca/itm/128076591122?hash=item1dd1f5b012:g:rJAAAeSw69RqpglH,https://i.ebayimg.com/images/g/rJAAAeSw69RqpglH/s-l225.jpg
型号不明,52.0,Tamron SP F System 2X Tele-Converter for Canon BBAR MC #643571 with Case Tested,Tamron,Lenses,Used,24.99,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,underpriced(med 200),CA,donnellyflips,100.0,2026-09-13T01:08:00.000Z,,https://www.ebay.ca/itm/168641081452?hash=item2743cab06c:g:rtYAAOSwSQFkvyGg,https://i.ebayimg.com/images/g/rtYAAOSwSQFkvyGg/s-l225.jpg
残件/按现状,50.0,Canon PowerShot A95 Digital Camera 5.0 Mega Pixels For Parts - Powers On,Canon,Digital Cameras,For parts or not working,27.99,CAD,FIXED_PRICE,10,1599,as-is;underpriced(med 200),CA,sloboy,99.8,2026-09-13T03:17:49.000Z,,https://www.ebay.ca/itm/820120532116?hash=itembef2fe3494:g:29YAAeSwNoxpo1EA,https://i.ebayimg.com/images/g/29YAAeSwNoxpo1EA/s-l225.jpg
查无市价,50.0,Pentax Espio 60V Compact Film Camera 35-60mm Lens No Flash READ,Pentax,Film Cameras,Used,30.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,,CA,brooksie_71,99.6,2026-09-12T18:44:58.000Z,,https://www.ebay.ca/itm/287582596269?hash=item42f5422cad:g:5iwAAeSwYntqpZ1V,https://i.ebayimg.com/images/g/5iwAAeSwYntqpZ1V/s-l225.jpg
残件/按现状,50.0,Ricoh FF-9S 35mm Film Camera | Compact Point & Shoot | Untested,Ricoh,Film Cameras,Used,46.05,CAD,"FIXED_PRICE,BEST_OFFER",12,1440,as-is,CA,miggysrediscoveredgoods,98.8,2026-09-12T07:32:11.000Z,,https://www.ebay.ca/itm/398386719211?hash=item5cc1b2e9eb:g:ab4AAeSwEp1pikZk,https://i.ebayimg.com/images/g/ab4AAeSwEp1pikZk/s-l225.jpg
残件/按现状;打包杂件,50.0,(3) Brands Digital Cameras Lot Untested Canon PowerShot A520 / A95 Insignia,Canon,Digital Cameras,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,as-is;underpriced(med 200),CA,redbull_29,100.0,2026-09-12T05:05:26.000Z,,https://www.ebay.ca/itm/278366919672?hash=item40cff61bf8:g:K-MAAeSwAwdqpNwj,https://i.ebayimg.com/images/g/K-MAAeSwAwdqpNwj/s-l225.jpg
残件/按现状,44.0,Sony DCR-HC28 Handycam Mini DV Camcorder UNTESTED NO POWER CABLE,Sony,Camcorders,For parts or not working,50.0,CAD,"FIXED_PRICE,BEST_OFFER",4,1600,as-is;underpriced(med 196),CA,thethriftybee01,99.3,2026-09-12T23:01:32.000Z,,https://www.ebay.ca/itm/407212440431?hash=item5ecfc0bb6f:g:T~kAAeSwahRqpdmV,https://i.ebayimg.com/images/g/T~kAAeSwahRqpdmV/s-l225.jpg
残件/按现状,44.0,Pentax ME With Lend And Flash Untested,Pentax,Film Cameras,Used,75.0,CAD,"FIXED_PRICE,BEST_OFFER",4,1600,as-is,CA,solocardsandcollectibles,100.0,2026-09-12T19:19:09.000Z,,https://www.ebay.ca/itm/237065045000?hash=item37322d8408:g:SjcAAeSwLgNqpaVi,https://i.ebayimg.com/images/g/SjcAAeSwLgNqpaVi/s-l225.jpg
残件/按现状,44.0,Vintage Ricoh Mirai Zoom 3 35mm Film Camera with 35-105mm Macro Lens - Untested,Ricoh,Film Cameras,Used,75.69,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,as-is,CA,simplylifehacks,100.0,2026-09-12T14:12:30.000Z,,https://www.ebay.ca/itm/137728803891?hash=item201146c433:g:gSwAAeSwV6RqpVFD,https://i.ebayimg.com/images/g/gSwAAeSwV6RqpVFD/s-l225.jpg
残件/按现状,44.0,Nikon COOLPIX L24 14MP BlackDigital Camera Battery Door Broken W/Case,Nikon,Digital Cameras,Used,79.87,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,as-is;underpriced(med 180),CA,prairie_picker,99.7,2026-09-12T17:00:33.000Z,,https://www.ebay.ca/itm/820118784630?hash=itembef2e38a76:g:YTQAAeSwUnVoxIjn,https://i.ebayimg.com/images/g/YTQAAeSwUnVoxIjn/s-l225.jpg
查无市价,44.0,Canon FTb QL Mechanical 35mm SLR Film Camera FD 50mm f/1.8 S.C. Lens & Strap,Canon,Film Cameras,Used,239.89,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,mount:canon fd,CA,ecmcollectibles,99.7,2026-09-13T02:56:02.000Z,,https://www.ebay.ca/itm/800653064577?hash=itemba6aa43981:g:YYEAAeSw4GdoXMPg,https://i.ebayimg.com/images/g/YYEAAeSw4GdoXMPg/s-l225.jpg
查无市价,40.0,Vintage analog Kodak Pony 135 camera ***READ***,Kodak,Vintage Cameras,,24.99,CAD,"FIXED_PRICE,BEST_OFFER",2,1600,,CA,cwdr2870,100.0,2026-09-12T23:01:16.000Z,,https://www.ebay.ca/itm/398388804810?hash=item5cc1d2bcca:g:6qsAAeSwYHhqpdPu,https://i.ebayimg.com/images/g/6qsAAeSwYHhqpdPu/s-l225.jpg
查无市价,40.0,Agfa Clack Medium Format 120 Camera ***READ***,Agfa,Vintage Cameras,,39.99,CAD,"FIXED_PRICE,BEST_OFFER",3,1600,,CA,cwdr2870,100.0,2026-09-12T23:36:50.000Z,,https://www.ebay.ca/itm/398388886287?hash=item5cc1d3fb0f:g:O8IAAeSwl9hqpd-u,https://i.ebayimg.com/images/g/O8IAAeSwl9hqpd-u/s-l225.jpg
查无市价,40.0,Agfa AGFAMATIC Ia 35mm analog film camera ***READ***,Agfa,Vintage Cameras,,39.99,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,,CA,cwdr2870,100.0,2026-09-12T23:21:30.000Z,,https://www.ebay.ca/itm/398388849561?hash=item5cc1d36b99:g:JMsAAeSwaw5qpdoY,https://i.ebayimg.com/images/g/JMsAAeSwaw5qpdoY/s-l225.jpg
残件/按现状,40.0,Polaroid Time-Zero OneStep SX-70 Instant Land Camera Rainbow Stripe Untested USA,Polaroid,Vintage Cameras,,42.0,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,as-is,CA,thevintagegears,99.6,2026-09-13T04:32:47.000Z,,https://www.ebay.ca/itm/147569701693?hash=item225bd6f33d:g:4JwAAeSw7U5qpZxX,https://i.ebayimg.com/images/g/4JwAAeSw7U5qpZxX/s-l225.jpg
查无市价,40.0,YUS W/ Yashica Contax Mount Vintage Lens Zoom 75-150mm/F3.9 In Original Box,Yashica,Lenses,Used,49.0,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,,CA,pandk2426,100.0,2026-09-12T21:49:04.000Z,,https://www.ebay.ca/itm/137730023920?hash=item20115961f0:g:lK4AAOSwya1lzOUx,https://i.ebayimg.com/images/g/lK4AAOSwya1lzOUx/s-l225.jpg
查无市价,40.0,Vintage Polaroid Spectra System Instant Film f10/125mm Quintic Lens Camera,Polaroid,Vintage Cameras,,49.86,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,,CA,ecmcollectibles,99.7,2026-09-13T02:51:54.000Z,,https://www.ebay.ca/itm/800653059880?hash=itemba6aa42728:g:WHkAAeSwO~No4uR8,https://i.ebayimg.com/images/g/WHkAAeSwO~No4uR8/s-l225.jpg
查无市价,40.0,Vivitar AF 380 Zoom 35mm Point & Shoot Compact Film Camera,Vivitar,Film Cameras,Used,49.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,,CA,prairie-pickers,100.0,2026-09-12T21:47:56.000Z,,https://www.ebay.ca/itm/128076276044?hash=item1dd1f0e14c:g:-qoAAeSwWXNqpMhg,https://i.ebayimg.com/images/g/-qoAAeSwWXNqpMhg/s-l225.jpg
残件/按现状;打包杂件,38.0,Vintage Sony Handycam CCD-F501 Video 8 Camcorder Bundle 1992 - Repair / Prop,Sony,Camcorders,For parts or not working,65.0,CAD,FIXED_PRICE,8,1600,underpriced(med 196),CA,mbaghirov_85,0.0,2026-09-13T00:35:12.000Z,,https://www.ebay.ca/itm/178491265817?hash=item298ee89319:g:m-gAAeSwSbhqpe2L,https://i.ebayimg.com/images/g/m-gAAeSwSbhqpe2L/s-l225.jpg
查无市价,36.0,Fujifilm FinePix A510 5.1MP Compact Digital Camera Black,Fujifilm,Digital Cameras,Used,49.99,CAD,"FIXED_PRICE,BEST_OFFER",12,1600,,CA,prairie-pickers,100.0,2026-09-12T21:47:57.000Z,,https://www.ebay.ca/itm/128076276154?hash=item1dd1f0e1ba:g:gswAAeSwahRqpL93,https://i.ebayimg.com/images/g/gswAAeSwahRqpL93/s-l225.jpg
残件/按现状,34.0,Nikon F-801 With AF Nikkor 28-70mm Lens (AS IS),Nikon,Lenses,Used,0.0,USD,AUCTION,12,1600,mount:nikon f;as-is;auction,CA,divetrip,97.5,2026-09-12T22:02:59.000Z,2026-09-17T22:02:59.000Z,https://www.ebay.ca/itm/117409613761?hash=item1b562887c1:g:d9UAAeSw18Jqnu3H,https://i.ebayimg.com/images/g/d9UAAeSw18Jqnu3H/s-l225.jpg
打包杂件,34.0,Nikon D50 camera bundle,Nikon,Digital Cameras,Used,112.0,CAD,"FIXED_PRICE,AUCTION",4,1600,auction,CA,thoma-7212,0.0,2026-09-13T03:55:02.000Z,2026-09-20T03:55:02.000Z,https://www.ebay.ca/itm/820120606656?hash=itembef2ff57c0:g:7EcAAeSw2npqk6ja,https://i.ebayimg.com/images/g/7EcAAeSw2npqk6ja/s-l225.jpg
型号不明,34.0,Canon Extender EF 1.4x II Teleconverter for Canon EF Mount Lens,Canon,Lenses,Used,180.0,CAD,FIXED_PRICE,2,1600,mount:canon ef,CA,lerocket99,100.0,2026-09-12T21:02:48.000Z,,https://www.ebay.ca/itm/237065168001?hash=item37322f6481:g:KFEAAeSwj0lqpb2~,https://i.ebayimg.com/images/g/KFEAAeSwj0lqpb2~/s-l225.jpg
