性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-47%,131.03,80,89.0,Minolta X-700 35mm Camera Body Only - Working,minolta x-700,Minolta,Film Cameras,Used,69.96,CAD,FIXED_PRICE,grail:X-700,CA,vendingfams,99.4,2026-09-10T18:10:09.000Z,,https://www.ebay.ca/itm/820111376150?hash=itembef2727f16:g:RpwAAeSwNYxqouwo,https://i.ebayimg.com/images/g/RpwAAeSwNYxqouwo/s-l225.jpg
抄底,-73%,168.69,39,68.0,Minolta MC Rokkor-X PF 1:1.7 F=50mm - Clean and Working,minolta rokkor 50mm f1,Minolta,Lenses,Used,44.95,CAD,FIXED_PRICE,mount:minolta md,CA,vendingfams,99.4,2026-09-10T18:06:48.000Z,,https://www.ebay.ca/itm/820111371460?hash=itembef2726cc4:g:sHEAAeSwJyBqonwU,https://i.ebayimg.com/images/g/sHEAAeSwJyBqonwU/s-l225.jpg
无基准,,57.6,80,65.0,Olympus OM-1 35mm SLR Film Camera w/ F.Zuiko 50mm f/1.8 Lens W/ Acessories,olympus om-1,Olympus,Film Cameras,Used,150.0,CAD,"FIXED_PRICE,AUCTION",grail:OM-1;mount:olympus om;auction,CA,weeklydeals35mm,100.0,2026-09-10T22:33:49.000Z,2026-09-17T22:33:49.000Z,https://www.ebay.ca/itm/398382330161?hash=item5cc16ff131:g:liwAAeSw8Edqoy4S,https://i.ebayimg.com/images/g/liwAAeSw8Edqoy4S/s-l225.jpg
抄底,-80%,221.11,21,62.0,Vintage Polaroid Pronto Land Camera Sonar OneStep SX-70 with 2 FlashBars,polaroid sx-70,Polaroid,Vintage Cameras,,44.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,artisanalleyca,100.0,2026-09-11T02:38:26.000Z,,https://www.ebay.ca/itm/820112840836?hash=itembef288d884:g:yeUAAeSwB~dqo2TV,https://i.ebayimg.com/images/g/yeUAAeSwB~dqo2TV/s-l225.jpg
合理,-4%,730.4,20,61.0,Zeiss Distagon T 35mm f/2 ZE — Canon EF Mount — Great Condition*,zeiss ef 35mm f2,Zeiss,Lenses,Used,700.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Distagon;mount:canon ef,CA,zby094,0.0,2026-09-10T22:27:56.000Z,,https://www.ebay.ca/itm/237061847409?hash=item3731fcb971:g:UN0AAeSwFJlqoyxP,https://i.ebayimg.com/images/g/UN0AAeSwFJlqoyxP/s-l225.jpg
超值,-35%,138.15,80,56.0,Nikon Lite Touch Zoom 120 ED AF 35mm Point & Shoot Film Camera.Case Works Tested,nikon lite touch,Nikon,Film Cameras,Used,90.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,robclarkf-0,0.0,2026-09-11T03:25:11.000Z,,https://www.ebay.ca/itm/366661700740?hash=item555ebd8c84:g:dTAAAeSw9ipqo3Ou,https://i.ebayimg.com/images/g/dTAAAeSw9ipqo3Ou/s-l225.jpg
超值,-35%,138.32,80,52.0,Used Nikon NIKKOR 18-105mm f/3.5-5.6 G AF-S ED VR Zoom Lens Zoom § Scratches,nikon nikkor 18-105mm f3.5,Nikon,Lenses,Used,89.99,CAD,FIXED_PRICE,mount:nikon f,CA,tcxd2010,100.0,2026-09-10T12:19:10.000Z,,https://www.ebay.ca/itm/147564230790?hash=item225b837886:g:jCcAAeSwB35qop~o,https://i.ebayimg.com/images/g/jCcAAeSwB35qop~o/s-l225.jpg
超值,-30%,134.74,10,52.0,VTG Canon Sure Shot 105U 35mm Point & Shoot Film Camera Silver NOT FILM TESTED!,canon 105u,Canon,Film Cameras,Used,94.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,useitnext2,100.0,2026-09-11T02:09:43.000Z,,https://www.ebay.ca/itm/318855128616?hash=item4a3d3f2628:g:nsUAAeSwqMhqo1-K,https://i.ebayimg.com/images/g/nsUAAeSwqMhqo1-K/s-l225.jpg
超值,-41%,170.53,80,52.0,Minolta MD W.Rokkor-X 28mm f/2.8 Wide Angle Manual Focus Lens - Clean & Works,minolta rokkor 28mm f2.8,Minolta,Lenses,Used,99.95,CAD,FIXED_PRICE,mount:minolta md,CA,vendingfams,99.4,2026-09-10T18:08:08.000Z,,https://www.ebay.ca/itm/820111373328?hash=itembef2727410:g:zW8AAeSwxRRqon1e,https://i.ebayimg.com/images/g/zW8AAeSwxRRqon1e/s-l225.jpg
超值,-42%,223.75,80,52.0,Mint! Tokina AT-X PRO 17mm f3.5 Aspherical MF/AF Full Frame Lens Nikon F mount,tokina 17mm f3.5,Tokina,Lenses,Used,129.0,CAD,FIXED_PRICE,mount:nikon f;good-cond,CA,extrastockshop,100.0,2026-09-11T04:41:30.000Z,,https://www.ebay.ca/itm/267782110056?hash=item3e590ebb68:g:n7gAAeSwyL1py12A,https://i.ebayimg.com/images/g/n7gAAeSwyL1py12A/s-l225.jpg
超值,-35%,760.8,80,52.0,Nikon NIKKOR Z 24-70mm f/4 S Lens for Nikon Z Mount Good Condition,nikon nikkor 24-70mm f4,Nikon,Lenses,Used,491.56,CAD,FIXED_PRICE,mount:nikon f,CA,recelltechca,98.8,2026-09-11T03:03:35.000Z,,https://www.ebay.ca/itm/377487680898?hash=item57e404e582:g:zL8AAeSwN4Vqo25q,https://i.ebayimg.com/images/g/zL8AAeSwN4Vqo25q/s-l225.jpg
抄底,-59%,193.35,80,50.0,Nikon Coolpix S2600 Digital Camera Red 14 MP,nikon s2600,Nikon,Digital Cameras,Used,80.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,amarant_05,100.0,2026-09-10T04:13:11.000Z,,https://www.ebay.ca/itm/168677492800?hash=item2745f64840:g:TO8AAeSwIP9qoi19,https://i.ebayimg.com/images/g/TO8AAeSwIP9qoi19/s-l225.jpg
抄底,-56%,205.4,79,50.0,NIKON Coolpix S33 Digital Camera 13.2 MP 3x Optical Zoom Blue WORKS- NO CHARGER!,nikon s33,Nikon,Digital Cameras,Used,89.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,useitnext2,100.0,2026-09-11T04:11:51.000Z,,https://www.ebay.ca/itm/318855408572?hash=item4a3d436bbc:g:mwIAAeSwLhhqo3zl,https://i.ebayimg.com/images/g/mwIAAeSwLhhqo3zl/s-l225.jpg
抄底,-57%,235.22,21,50.0,Canon PowerShot SD780 IS Digital Camera Red Leather Case/Sleeve w/ Belt Loop,canon sd780,Canon,Digital Cameras,Open box,99.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,picks_86,99.2,2026-09-11T06:00:04.000Z,,https://www.ebay.ca/itm/188915488226?hash=item2bfc3d95e2:g:YE8AAeSwO5dpCu4i,https://i.ebayimg.com/images/g/YE8AAeSwO5dpCu4i/s-l225.jpg
抄底,-58%,235.92,62,50.0,Fujifilm FinePix XP120 Waterproof Y2K Digicam 16.4MP (Ocean Blue) For Beach Trip,fujifilm xp120,Fujifilm,Digital Cameras,Used,99.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,mettacelectronics,99.4,2026-09-10T23:19:41.000Z,,https://www.ebay.ca/itm/168679566824?hash=item274615ede8:g:GiQAAeSwGHBqozs8,https://i.ebayimg.com/images/g/GiQAAeSwGHBqozs8/s-l225.jpg
抄底,-49%,195.46,17,50.0,Canon PowerShot IXUS55 Digital Camera W/ New Battery Tested Works,canon ixus55,Canon,Digital Cameras,Used,99.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,northernvintage101,99.8,2026-09-10T22:23:58.000Z,,https://www.ebay.ca/itm/227516029989?hash=item34f9031c25:g:3TkAAeSwdK5qkge3,https://i.ebayimg.com/images/g/3TkAAeSwdK5qkge3/s-l225.jpg
