性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-52%,226.42,48,50.0,Fujifilm HS10 30x Zoom 4.2-126mm F/2.8-5.6 -tested Working,fujifilm hs10,Fujifilm,Digital Cameras,Used,108.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,ya_912806,99.1,2026-09-11T03:55:35.000Z,,https://www.ebay.ca/itm/820113034045?hash=itembef28bcb3d:g:gisAAeSwaTJqo3tb,https://i.ebayimg.com/images/g/gisAAeSwaTJqo3tb/s-l225.jpg
抄底,-50%,301.78,80,50.0,Fujifilm FinePix XP140 Waterproof Y2K Digicam 16.4MP (Silver) For Beach,fujifilm xp140,Fujifilm,Digital Cameras,Used,149.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,mettacelectronics,99.4,2026-09-10T22:49:30.000Z,,https://www.ebay.ca/itm/168679483707?hash=item274614a93b:g:290AAeSwealqozRA,https://i.ebayimg.com/images/g/290AAeSwealqozRA/s-l225.jpg
抄底,-60%,499.0,17,50.0,Canon PowerShot A630 Digital Camera 8MP 4x Optical Zoom Tested,canon a630,Canon,Digital Cameras,Used,200.58,CAD,"FIXED_PRICE,BEST_OFFER",,CA,volodymystet0,100.0,2026-09-11T03:21:15.000Z,,https://www.ebay.ca/itm/318855297997?hash=item4a3d41bbcd:g:OSQAAeSwlHpqo3L2,https://i.ebayimg.com/images/g/OSQAAeSwlHpqo3L2/s-l225.jpg
抄底,-46%,389.66,41,50.0,Canon PowerShot SX50 HS 12.1MP Digital Camera ✅ TESTED/WORKING,canon sx50,Canon,Digital Cameras,Used,209.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,brians_supply,100.0,2026-09-11T09:47:11.000Z,,https://www.ebay.ca/itm/298663618728?hash=item4589bd28a8:g:BOoAAeSwlHpqo1fX,https://i.ebayimg.com/images/g/BOoAAeSwlHpqo1fX/s-l225.jpg
无基准,,109.1,80,49.0,Pentax K1000 35mm SLR Film Camera w/ 50mm Lens Plus Canon EOS Rebel XSn,pentax k1000,Pentax,Film Cameras,Used,0.0,USD,AUCTION,grail:K1000;auction,CA,stern525,100.0,2026-09-10T18:45:45.000Z,2026-09-17T18:45:45.000Z,https://www.ebay.ca/itm/117406305684?hash=item1b55f60d94:g:ItUAAeSwgBxqovjP,https://i.ebayimg.com/images/g/ItUAAeSwgBxqovjP/s-l225.jpg
无基准,,28.77,80,48.0,"Rare Olympus Auto-Eye 45mm, D. Zuiko 45mm 1:2.8 F=4.5cm + CASE 35mm Film Camera",olympus 1,Olympus,Film Cameras,Used,65.0,CAD,"FIXED_PRICE,AUCTION",mount:olympus om;auction,CA,weeklydeals35mm,100.0,2026-09-10T22:09:44.000Z,2026-09-17T22:09:44.000Z,https://www.ebay.ca/itm/398382282199?hash=item5cc16f35d7:g:43YAAeSwKqNqKxGD,https://i.ebayimg.com/images/g/43YAAeSwKqNqKxGD/s-l225.jpg
偏低,-18%,791.73,43,47.0,Panasonic Leica DG Vario-Elmarit 12-60mm f/2.8 - 4.0 lens for Micro Four Thirds,panasonic elmarit 12-60mm f2.8,Panasonic,Lenses,Used,650.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:Elmarit;mount:micro 4/3,CA,thlngrmble,100.0,2026-09-10T23:57:31.000Z,,https://www.ebay.ca/itm/298662835624?hash=item4589b135a8:g:koUAAeSw7i1qo0Kl,https://i.ebayimg.com/images/g/koUAAeSw7i1qo0Kl/s-l225.jpg
无基准,,24.82,80,45.0,"Tamron Macro 80-210mm F/3.8 CF Tele Macro Lens + Leather Case Olympus OM-1, OM-2",tamron 80-210mm f3.8,Tamron,Lenses,Used,65.0,CAD,"FIXED_PRICE,AUCTION",grail:OM-1;mount:olympus om;auction,CA,weeklydeals35mm,100.0,2026-09-11T00:20:20.000Z,2026-09-18T00:20:20.000Z,https://www.ebay.ca/itm/398382543341?hash=item5cc17331ed:g:9sgAAeSwubhqKxkK,https://i.ebayimg.com/images/g/9sgAAeSwubhqKxkK/s-l225.jpg
高价,+577%,57.6,80,45.0,OLYMPUS OM-1 Silver 35mm Film SLR Camera and lenses 50mm + 75-150mm Leather Case,olympus om-1,Olympus,Film Cameras,Used,390.0,CAD,FIXED_PRICE,grail:OM-1;mount:olympus om,CA,lockhartfinds-95,100.0,2026-09-10T04:15:40.000Z,,https://www.ebay.ca/itm/800639104484?hash=itemba69cf35e4:g:MS0AAeSwuTZqoiuW,https://i.ebayimg.com/images/g/MS0AAeSwuTZqoiuW/s-l225.jpg
合理,+10%,99.5,80,44.0,Canon T70 35mm SLR Film Camera w/ FD 50mm f/1.8 Lens Tested,canon t70,Canon,Film Cameras,Used,109.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon fd,CA,306videogames,100.0,2026-09-10T05:10:00.000Z,,https://www.ebay.ca/itm/820109197130?hash=itembef2513f4a:g:-mwAAeSwzf9qoPkC,https://i.ebayimg.com/images/g/-mwAAeSwzf9qoPkC/s-l225.jpg
合理,+2%,115.91,80,44.0,Canon EF-S 17-85mm f/4-5.6 IS USM Lens W Canon Hood & Kenko Filter Mint,canon ef-s 17-85mm f4,Canon,Lenses,Used,118.0,CAD,FIXED_PRICE,mount:canon ef;good-cond,CA,ya_912806,99.1,2026-09-11T03:21:00.000Z,,https://www.ebay.ca/itm/820112962350?hash=itembef28ab32e:g:Z8QAAeSwe3pqo3Ln,https://i.ebayimg.com/images/g/Z8QAAeSwe3pqo3Ln/s-l225.jpg
合理,+6%,235.65,80,44.0,Minty Boxed Nikon AF-S DX Micro-Nikkor 40mm f2.8G Macro Lens for APS-C,nikon nikkor 40mm f2.8,Nikon,Lenses,Used,249.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:nikon f;good-cond,CA,fullphoto,100.0,2026-09-10T18:32:36.000Z,,https://www.ebay.ca/itm/267781689964?hash=item3e5908526c:g:UY8AAeSwlzNqovda,https://i.ebayimg.com/images/g/UY8AAeSwlzNqovda/s-l225.jpg
合理,-6%,582.43,80,44.0,Fujifilm Fujinon XF 10-24mm f/4 R OIS R Wide-Angle Zoom Lens — Near Mint IOB,fujifilm 10-24mm f4,Fujifilm,Lenses,Used,549.0,CAD,FIXED_PRICE,mount:fuji x;good-cond,CA,goodusedcameras,100.0,2026-09-10T17:49:01.000Z,,https://www.ebay.ca/itm/198632691322?hash=item2e3f6e567a:g:XIQAAeSw0zlqjfsA,https://i.ebayimg.com/images/g/XIQAAeSw0zlqjfsA/s-l225.jpg
合理,-1%,659.39,80,44.0,Canon 16-35mm f/4 L IS USM lens for EF Mount [Near Mint],canon ef 16-35mm f4,Canon,Lenses,Used,650.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon ef;good-cond,CA,thlngrmble,100.0,2026-09-10T16:10:47.000Z,,https://www.ebay.ca/itm/298662104875?hash=item4589a60f2b:g:VTUAAeSwPgZqotTI,https://i.ebayimg.com/images/g/VTUAAeSwPgZqotTI/s-l225.jpg
超值,-27%,435.73,59,43.0,Canon EOS Rebel T5i DSLR Camera w/ EF-S 18-55mm IS STM zoom lens and 2 chargers,canon t5i,Canon,Digital Cameras,Used,320.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon ef;55mm,CA,jamesdrewdeansells,100.0,2026-09-10T16:48:07.000Z,,https://www.ebay.ca/itm/168678797781?hash=item27460a31d5:g:e6AAAeSwvdxqaaL4,https://i.ebayimg.com/images/g/e6AAAeSwvdxqaaL4/s-l225.jpg
无基准,,113.81,46,42.0,Zeiss Ikon Nettar 515/16 Folding Camera Novar-Anastigmat 75mm f/6.3 Germany,zeiss ikon nettar,Zeiss,Film Cameras,Used,0.0,USD,"AUCTION,BEST_OFFER",auction,CA,thriftsharkca,100.0,2026-09-11T04:18:58.000Z,2026-09-21T04:18:58.000Z,https://www.ebay.ca/itm/407208516100?hash=item5ecf84da04:g:qKQAAeSwQKZqPh84,https://i.ebayimg.com/images/g/qKQAAeSwQKZqPh84/s-l225.jpg
抄底,-61%,255.17,34,40.0,kodak - pixpro c1 digital camera,kodak c1,Kodak,Digital Cameras,Open box,99.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,abrsupplyco,100.0,2026-09-10T15:49:59.000Z,,https://www.ebay.ca/itm/287578416392?hash=item42f5026508:g:xu0AAeSwsbJqotDN,https://i.ebayimg.com/images/g/xu0AAeSwsbJqotDN/s-l225.jpg
高价,+65%,48.49,80,39.0,Canon Canonet 28 35mm Film Camera w/40mm 1:2.8 lens w/flash and custom case,canon canonet 28,Canon,Film Cameras,Used,79.99,CAD,"FIXED_PRICE,BEST_OFFER",grail:Canonet,CA,redbull_29,100.0,2026-09-11T03:02:54.000Z,,https://www.ebay.ca/itm/278363878834?hash=item40cfc7b5b2:g:A8sAAeSw7~tqo24C,https://i.ebayimg.com/images/g/A8sAAeSw7~tqo24C/s-l225.jpg
高价,+83%,109.1,80,39.0,Pentax K1000 35mm SLR W/ 50mm & Vivitar 70-210mm Lens Kit - Light Meter Inop,pentax k1000,Pentax,Film Cameras,Used,199.99,CAD,"FIXED_PRICE,BEST_OFFER",grail:K1000,CA,306videogames,100.0,2026-09-10T04:44:52.000Z,,https://www.ebay.ca/itm/820109151726?hash=itembef2508dee:g:c1wAAeSwNjZqoPsV,https://i.ebayimg.com/images/g/c1wAAeSwNjZqoPsV/s-l225.jpg
合理,+0%,45.0,80,38.0,Fujifilm Instax Mini 8 16443917 Instant Film Camera - Raspberry,fujifilm instax 8,Fujifilm,Film Cameras,Used,45.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,kay-154552,0.0,2026-09-11T01:25:19.000Z,,https://www.ebay.ca/itm/407208265778?hash=item5ecf810832:g:314AAeSwspRqo1ct,https://i.ebayimg.com/images/g/314AAeSwspRqo1ct/s-l225.jpg
合理,-3%,51.36,80,38.0,Minolta XE 5 35mm SLR Film Camera Body Only - Works,minolta 5,Minolta,Film Cameras,Used,49.95,CAD,FIXED_PRICE,,CA,vendingfams,99.4,2026-09-10T18:05:56.000Z,,https://www.ebay.ca/itm/820111368359?hash=itembef27260a7:g:ka0AAeSwBEFqonuo,https://i.ebayimg.com/images/g/ka0AAeSwBEFqonuo/s-l225.jpg
合理,+3%,96.88,80,38.0,Olympus AF-10 Twin 35mm Point & Shoot Film Camera 35/70mm Lens Tested Working,olympus af-10,Olympus,Film Cameras,Used,99.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,thefruga-84,99.7,2026-09-11T01:08:20.000Z,,https://www.ebay.ca/itm/398382672850?hash=item5cc1752bd2:g:0T8AAeSw9P9qoc3X,https://i.ebayimg.com/images/g/0T8AAeSw9P9qoc3X/s-l225.jpg
合理,-3%,124.25,17,38.0,Fujifilm Instax Wide 100 Instant Film Camera - Tested & Working + 4 Batteries✅,fujifilm instax 100,Fujifilm,Film Cameras,Used,119.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,lagunaseca1,99.2,2026-09-10T06:38:46.000Z,,https://www.ebay.ca/itm/237060684389?hash=item3731eafa65:g:w9AAAeSw9P9qolBQ,https://i.ebayimg.com/images/g/w9AAAeSw9P9qolBQ/s-l225.jpg
合理,+11%,124.25,17,38.0,FUJIFILM Instax WIDE 100 Instant Film Retractable 95mm Lens Black Camera WORKING,fujifilm instax 100,Fujifilm,Film Cameras,Used,138.33,CAD,"FIXED_PRICE,BEST_OFFER",,CA,phiint_74,99.7,2026-09-10T18:24:34.000Z,,https://www.ebay.ca/itm/168679035100?hash=item27460dd0dc:g:7QIAAeSwSRNqNqxj,https://i.ebayimg.com/images/g/7QIAAeSwSRNqNqxj/s-l225.jpg
偏高,+20%,207.81,80,36.0,Minty Boxed Nikon Micro-Nikkor 60mm f2.8G Macro Short Tele Lens FX and DX JAPAN,nikon nikkor 60mm f2.8,Nikon,Lenses,Used,249.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:nikon f;good-cond,CA,fullphoto,100.0,2026-09-10T18:47:14.000Z,,https://www.ebay.ca/itm/267781695963?hash=item3e590869db:g:geMAAeSwkzpqovqq,https://i.ebayimg.com/images/g/geMAAeSwkzpqovqq/s-l225.jpg
偏高,+26%,434.76,80,36.0,"Leica M-Mount Thypoch Eureka 28mm f/2.8 Pancake Lens with X-Mount Adapter, Black",leica 28mm f2.8,Leica,Lenses,Used,550.0,CAD,FIXED_PRICE,mount:leica m,CA,jsing21,100.0,2026-09-11T00:04:05.000Z,,https://www.ebay.ca/itm/188914816463?hash=item2bfc3355cf:g:RRoAAeSwxAFqozwg,https://i.ebayimg.com/images/g/RRoAAeSwxAFqozwg/s-l225.jpg
偏高,+15%,495.27,80,36.0,Minty Boxed Nikon AF-S Nikkor 28-300mm f3.5-5.6G ED VR Super Zoom Lens,nikon nikkor 28-300mm f3.5,Nikon,Lenses,Used,569.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:nikon f;good-cond,CA,fullphoto,100.0,2026-09-10T18:27:19.000Z,,https://www.ebay.ca/itm/278362945624?hash=item40cfb97858:g:LwsAAeSwKq1qovWx,https://i.ebayimg.com/images/g/LwsAAeSwKq1qovWx/s-l225.jpg
合理,-6%,45.42,8,34.0,VTG Fujifilm Fuji FZ-5 Focus Free Point & Shoot 35mm Film Camera - Brand New,fujifilm fz-5,Fujifilm,Film Cameras,New,42.49,CAD,"FIXED_PRICE,BEST_OFFER",,CA,buncsdeals,100.0,2026-09-10T20:12:53.000Z,,https://www.ebay.ca/itm/327352154696?hash=item4c37b57a48:g:N-cAAeSwqDpqow3T,https://i.ebayimg.com/images/g/N-cAAeSwqDpqow3T/s-l225.jpg
超值,-41%,117.46,50,34.0,CANON POWERSHOT S5 IS 8.0 MP 12X OPTICAL ZOOM DIGITAL CAMERA - FLIP LCD DISPLAY,canon s5,Canon,Digital Cameras,Used,69.75,CAD,FIXED_PRICE,,CA,bestsellersbookstore,99.9,2026-09-10T15:17:10.000Z,,https://www.ebay.ca/itm/800641737961?hash=itemba69f764e9:g:c3QAAeSwjqZqJHKq,https://i.ebayimg.com/images/g/c3QAAeSwjqZqJHKq/s-l225.jpg
合理,+1%,69.51,10,34.0,Mamiya-Sekor E 135mm f/3.5 Lens Telephoto ZE ZM Mount Case Caps Japan,mamiya sekor 135mm f3.5,Mamiya,Lenses,Used,69.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,vintage-vault-kent,99.6,2026-09-10T11:21:52.000Z,,https://www.ebay.ca/itm/377486248553?hash=item57e3ef0a69:g:QnUAAeSw1qNqh0qH,https://i.ebayimg.com/images/g/QnUAAeSw1qNqh0qH/s-l225.jpg
超值,-39%,163.75,25,34.0,Fujifilm FinePix A600 6.3MP CCD Digital Camera Tested 256MB xD Card Box,fujifilm a600,Fujifilm,Digital Cameras,Used,99.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,timo_finders_market,100.0,2026-09-10T04:56:15.000Z,,https://www.ebay.ca/itm/398379696444?hash=item5cc147c13c:g:-eIAAeSwqhpqoi4q,https://i.ebayimg.com/images/g/-eIAAeSwqhpqoi4q/s-l225.jpg
超值,-36%,173.02,37,34.0,Canon PowerShot SX120 IS 10.0MP 10x Optical Zoom Point and Shoot Digital Camera,canon sx120,Canon,Digital Cameras,Used,109.95,CAD,FIXED_PRICE,,CA,foto*works,100.0,2026-09-10T15:03:34.000Z,,https://www.ebay.ca/itm/237061349662?hash=item3731f5211e:g:PukAAeSwNJhqosVO,https://i.ebayimg.com/images/g/PukAAeSwNJhqosVO/s-l225.jpg
超值,-26%,150.35,41,34.0,Canon PowerShot A530 5.0MP 4x Zoom Digital Camera w/ Case - Tested and Working,canon a530,Canon,Digital Cameras,Used,111.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,my0-8585,98.4,2026-09-11T02:32:19.000Z,,https://www.ebay.ca/itm/398382828942?hash=item5cc1778d8e:g:FqoAAeSw1rlqCMnF,https://i.ebayimg.com/images/g/FqoAAeSw1rlqCMnF/s-l225.jpg
超值,-39%,228.34,72,34.0,"Fujifilm Finepix Z20fd Blue Digital Camera 2.5"" LCD Display 10MP 3x Optical Zoom",fujifilm z20fd,Fujifilm,Digital Cameras,Used,140.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,amarant_05,100.0,2026-09-11T02:40:35.000Z,,https://www.ebay.ca/itm/168679955323?hash=item27461bdb7b:g:hIgAAeSw5uNqo2jb,https://i.ebayimg.com/images/g/hIgAAeSw5uNqo2jb/s-l225.jpg
超值,-31%,216.04,59,34.0,Canon EOS Rebel T2i 18.0MP Digital SLR DSLR Camera,canon t2i,Canon,Digital Cameras,Used,149.99,CAD,FIXED_PRICE,,CA,paymore_brampton,100.0,2026-09-10T19:34:22.000Z,,https://www.ebay.ca/itm/206548905450?hash=item3017462dea:g:VIwAAeSwSBxqowZ~,https://i.ebayimg.com/images/g/VIwAAeSwSBxqowZ~/s-l225.jpg
超值,-40%,274.97,80,34.0,Nikon COOLPIX B500 16.0MP Digital Point And Shoot Camera,nikon b500,Nikon,Digital Cameras,Used,164.99,CAD,FIXED_PRICE,,CA,paymore_brampton,100.0,2026-09-10T22:15:09.000Z,,https://www.ebay.ca/itm/206549115418?hash=item301749621a:g:kjcAAeSwGedqoywt,https://i.ebayimg.com/images/g/kjcAAeSwGedqoywt/s-l225.jpg
超值,-26%,244.58,38,34.0,[MINT] Panasonic LUMIX DMC-G2 Black + 14-42mm Lens - W/ Box And Inserts,panasonic dmc-g2,Panasonic,Digital Cameras,Used,179.99,CAD,"FIXED_PRICE,BEST_OFFER",good-cond,CA,vivalen-84,98.6,2026-09-10T21:25:30.000Z,,https://www.ebay.ca/itm/227515973180?hash=item34f9023e3c:g:iygAAeSwCr9qH1Hw,https://i.ebayimg.com/images/g/iygAAeSwCr9qH1Hw/s-l225.jpg
超值,-32%,325.64,80,34.0,Canon PowerShot A4000 IS HD Blue 16MP Digital Camera OEM Battery Charger SD Case,canon a4000,Canon,Digital Cameras,Used,219.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,thefruga-84,99.7,2026-09-11T07:57:50.000Z,,https://www.ebay.ca/itm/398383421272?hash=item5cc1809758:g:9HYAAeSwMaJqo7Q7,https://i.ebayimg.com/images/g/9HYAAeSwMaJqo7Q7/s-l225.jpg
超值,-44%,389.66,41,34.0,Canon PowerShot SX50 HS 12.1MP Super Zoom Bridge Camera,canon sx50,Canon,Digital Cameras,Used,219.99,CAD,FIXED_PRICE,,CA,paymorevancouver,99.4,2026-09-10T21:47:54.000Z,,https://www.ebay.ca/itm/227515992369?hash=item34f9028931:g:Pp0AAeSwtMRqoyXI,https://i.ebayimg.com/images/g/Pp0AAeSwtMRqoyXI/s-l225.jpg
超值,-40%,410.4,24,34.0,Nikon COOLPIX P4 VR Silver Compact Digital Camera,nikon p4,Nikon,Digital Cameras,Used,245.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,e_and06,99.5,2026-09-11T00:23:16.000Z,,https://www.ebay.ca/itm/278363612993?hash=item40cfc3a741:g:nMoAAeSwdxBqo0lw,https://i.ebayimg.com/images/g/nMoAAeSwdxBqo0lw/s-l225.jpg
合理,-5%,462.61,80,34.0,Olympus M.Zuiko 60mm f/2.8 Macro Lens for Micro Four Thirds,olympus zuiko 60mm f2.8,Olympus,Lenses,Used,440.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:olympus om,CA,thlngrmble,100.0,2026-09-10T23:45:48.000Z,,https://www.ebay.ca/itm/298662825271?hash=item4589b10d37:g:SnMAAeSwNiVqo0Bo,https://i.ebayimg.com/images/g/SnMAAeSwNiVqo0Bo/s-l225.jpg
超值,-40%,1893.51,74,34.0,Nikon Z 6II 24.5 MP Mirrorless Interchangeable Lens Body Only,nikon 6ii,Nikon,Digital Cameras,Used,1133.6,CAD,FIXED_PRICE,,CA,recelltechca,98.8,2026-09-11T02:53:33.000Z,,https://www.ebay.ca/itm/377487665409?hash=item57e404a901:g:K04AAeSwNoZqo2z6,https://i.ebayimg.com/images/g/K04AAeSwNoZqo2z6/s-l225.jpg
