寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,85.0,Vintage Canon FD 50mm 1:1.8 S.C. Film Lens Made In Japan for Canon AE-1 - As Is,Canon,Lenses,Used,58.99,CAD,"FIXED_PRICE,BEST_OFFER",15,835,grail:AE-1;mount:canon fd;as-is;underpriced(med 199),CA,vintage.fray,100.0,2026-08-07T23:02:18.000Z,,https://www.ebay.ca/itm/168596764398?hash=item27412676ee:g:secAAeSwjgRqdmOu,https://i.ebayimg.com/images/g/secAAeSwjgRqdmOu/s-l225.jpg
残件/按现状,68.0,"Canon Lens FD 50mm 1.8 Lens Works Well, Has dirty Inner glass Sold for Parts",Canon,Lenses,For parts or not working,32.0,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,mount:canon fd;as-is;underpriced(med 199),CA,goheensfinds,100.0,2026-08-07T20:46:50.000Z,,https://www.ebay.ca/itm/318694519937?hash=item4a33ac7481:g:mNIAAeSwUulqdkPW,https://i.ebayimg.com/images/g/mNIAAeSwUulqdkPW/s-l225.jpg
残件/按现状,68.0,"Canon Lens FD 50mm 1.8 Lens S.C For parts Aperture issue, Dirty Inner Glass",Canon,Lenses,For parts or not working,32.0,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,mount:canon fd;as-is;underpriced(med 199),CA,goheensfinds,100.0,2026-08-07T20:31:40.000Z,,https://www.ebay.ca/itm/318694469321?hash=item4a33abaec9:g:zF4AAeSwhKZqdj-8,https://i.ebayimg.com/images/g/zF4AAeSwhKZqdj-8/s-l225.jpg
残件/按现状,66.0,Olympus Infinity Stylus Zoom 140 Deluxe 35mm Point & Shoot Film Camera READ,Olympus,Film Cameras,For parts or not working,67.99,CAD,FIXED_PRICE,14,1600,underpriced(med 160),CA,prairie-pickers,100.0,2026-08-07T16:56:37.000Z,,https://www.ebay.ca/itm/128015667705?hash=item1dce5411f9:g:Au0AAeSw0c5oONXd,https://i.ebayimg.com/images/g/Au0AAeSw0c5oONXd/s-l225.jpg
查无市价,65.0,"Rare ZEISS VOLTA 146/3 TESSAR 10.5CM f/4.5,Rare 667/2 Black Friday",Zeiss,Vintage Cameras,,210.2,CAD,"FIXED_PRICE,BEST_OFFER",18,1600,grail:TESSAR,CA,montreal.classic.camera,97.0,2026-08-07T04:22:11.000Z,,https://www.ebay.ca/itm/198553210112?hash=item2e3ab18d00:g:vpQAAeSwlShoFFfV,https://i.ebayimg.com/images/g/vpQAAeSwlShoFFfV/s-l225.jpg
查无市价,60.0,Vintage VOIGTLANDER BESSY AK film camera West Germany,Voigtlander,Vintage Cameras,,32.0,CAD,FIXED_PRICE,8,1600,,CA,snuggletumbletoys,100.0,2026-08-07T14:08:34.000Z,,https://www.ebay.ca/itm/198554172436?hash=item2e3ac03c14:g:9r8AAeSwrApo1FON,https://i.ebayimg.com/images/g/9r8AAeSwrApo1FON/s-l225.jpg
残件/按现状,54.0,Pentax PC35AF 35mm Point & Shoot Film Camera,Pentax,Film Cameras,For parts or not working,50.0,CAD,"FIXED_PRICE,AUCTION",8,1600,auction,CA,vanrifle,100.0,2026-08-07T23:01:20.000Z,2026-08-14T23:01:20.000Z,https://www.ebay.ca/itm/257668015149?hash=item3bfe35e42d:g:-KIAAeSwTIlpzwo3,https://i.ebayimg.com/images/g/-KIAAeSwTIlpzwo3/s-l225.jpg
查无市价,54.0,Vintage Mamiya 35-S Rangefinder Camera Sekor F.C. 48mm f/1.9 Tested Japan,Mamiya,Film Cameras,Used,139.95,CAD,"FIXED_PRICE,BEST_OFFER",7,1600,,CA,perpato,100.0,2026-08-07T20:23:59.000Z,,https://www.ebay.ca/itm/278256814926?hash=item40c9660b4e:g:YwEAAeSwU79qdj7U,https://i.ebayimg.com/images/g/YwEAAeSwU79qdj7U/s-l225.jpg
残件/按现状,50.0,Canon Snappy EZ 35mm Camera 1980s Vintage Film untested,Canon,Film Cameras,Used,26.77,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,as-is,CA,sellingbooksmusicandmore,99.5,2026-08-07T11:04:30.000Z,,https://www.ebay.ca/itm/800474966091?hash=itemba6006a84b:g:XtIAAeSwqhpplNZx,https://i.ebayimg.com/images/g/XtIAAeSwqhpplNZx/s-l225.jpg
残件/按现状,50.0,Canon EOS 630 35mm SLR 35mm film AF Camera,Canon,Film Cameras,For parts or not working,27.99,CAD,"FIXED_PRICE,BEST_OFFER",5,1002,,CA,dag369,100.0,2026-08-07T10:52:10.000Z,,https://www.ebay.ca/itm/206472256690?hash=item3012b49cb2:g:pn4AAeSwkLho~lh0,https://i.ebayimg.com/images/g/pn4AAeSwkLho~lh0/s-l225.jpg
残件/按现状,50.0,Canon Sure Shot AF35M II Autoboy 2 35mm Point & Shoot Camera For Parts-,Canon,Film Cameras,Used,28.5,CAD,FIXED_PRICE,7,1599,as-is,CA,ya_912806,99.0,2026-08-08T00:38:59.000Z,,https://www.ebay.ca/itm/358898683321?hash=item5390074db9:g:Nk4AAeSwjRtqdnpL,https://i.ebayimg.com/images/g/Nk4AAeSwjRtqdnpL/s-l225.jpg
