寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,85.0,"Mamiya/Sekor 1000 DTL — Mechanically Functional, Meter Not Working + 55mm f/1.8",Mamiya,Film Cameras,Used,60.0,CAD,"FIXED_PRICE,BEST_OFFER",9,1600,55mm;as-is;underpriced(med 175),CA,kitkitkit,100.0,2026-09-13T17:53:04.000Z,,https://www.ebay.ca/itm/287584328387?hash=item42f55c9ac3:g:yNIAAeSwP-hqpuHD,https://i.ebayimg.com/images/g/yNIAAeSwP-hqpuHD/s-l225.jpg
残件/按现状,75.0,Kyocera Yashica Taf Carl Zeiss Tessar T* 35mm Lens Parts/Repair,Yashica,Film Cameras,For parts or not working,48.49,CAD,"FIXED_PRICE,BEST_OFFER",21,1440,grail:Tessar,CA,bacons_barn,99.4,2026-09-13T20:02:55.000Z,,https://www.ebay.ca/itm/298671552879?hash=item458a36396f:g:poEAAOSwHGBoLHt9,https://i.ebayimg.com/images/g/poEAAOSwHGBoLHt9/s-l225.jpg
型号不明,62.0,Canon WC-DC58N - Wide Converter - Like New,Canon,Lenses,Used,29.99,CAD,FIXED_PRICE,5,1600,underpriced(med 177),CA,strictlycameras,100.0,2026-09-13T13:31:00.000Z,,https://www.ebay.ca/itm/800655467189?hash=itemba6ac8e2b5:g:sDEAAeSwKkJqpqXT,https://i.ebayimg.com/images/g/sDEAAeSwKkJqpqXT/s-l225.jpg
查无市价,56.0,Vintage Minolta-16 Subminiature 16mm Film Camera Chiyoda Kogaku Japan Rokkor,Minolta,Vintage Cameras,,32.29,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,mount:minolta md,CA,happydealgarden,100.0,2026-09-13T22:33:33.000Z,,https://www.ebay.ca/itm/287584681529?hash=item42f561fe39:g:mN4AAOSwmLFmvR0Q,https://i.ebayimg.com/images/g/mN4AAOSwmLFmvR0Q/s-l225.jpg
查无市价,54.0,1930s Voigtländer Folding Antique Camera,Voigtländer,Vintage Cameras,,61.43,CAD,"FIXED_PRICE,BEST_OFFER",18,1600,,CA,thegoodieshop,98.3,2026-09-13T14:01:08.000Z,,https://www.ebay.ca/itm/287583982581?hash=item42f55753f5:g:IBUAAeSwJYxqpqvF,https://i.ebayimg.com/images/g/IBUAAeSwJYxqpqvF/s-l225.jpg
残件/按现状,54.0,Voigtlander Vito B 35mm Film Camera Color-Skopar 50mm f/2.8 Case Untested,Voigtlander,Vintage Cameras,,119.99,CAD,"FIXED_PRICE,BEST_OFFER",8,1280,as-is,CA,missedbyothers,100.0,2026-09-14T05:55:19.000Z,,https://www.ebay.ca/itm/227520681036?hash=item34f94a144c:g:2M8AAeSwuvJqp4vI,https://i.ebayimg.com/images/g/2M8AAeSwuvJqp4vI/s-l225.jpg
残件/按现状,54.0,Voigtlander VF 135 35mm Film Rangefinder Camera with 40mm 2.3 Lens. Parts Or Rep,Voigtlander,Film Cameras,For parts or not working,129.99,CAD,"FIXED_PRICE,BEST_OFFER",8,1024,,CA,wahi_2428,99.2,2026-09-13T22:57:33.000Z,,https://www.ebay.ca/itm/407214549474?hash=item5ecfe0e9e2:g:EsAAAeSwDUxqKw0d,https://i.ebayimg.com/images/g/EsAAAeSwDUxqKw0d/s-l225.jpg
残件/按现状,50.0,Nikon Coolpix S30 Blue 10.1MP Waterproof Digital Point & Shoot Camera Y2K,Nikon,Digital Cameras,For parts or not working,49.99,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,underpriced(med 180),CA,trove-yyz,100.0,2026-09-13T21:00:04.000Z,,https://www.ebay.ca/itm/147571046669?hash=item225beb790d:g:4~QAAeSw3EVqnGa5,https://i.ebayimg.com/images/g/4~QAAeSw3EVqnGa5/s-l225.jpg
残件/按现状,50.0,Canon PowerShot SD1100 IS DIGITAL ELPH Camera Powers on screen not working.,Canon,Digital Cameras,For parts or not working,59.07,CAD,FIXED_PRICE,6,1600,as-is;underpriced(med 200),CA,stiles.sells,100.0,2026-09-13T19:09:31.000Z,,https://www.ebay.ca/itm/298671443262?hash=item458a348d3e:g:uCEAAeSwtMVqpvSQ,https://i.ebayimg.com/images/g/uCEAAeSwtMVqpvSQ/s-l225.jpg
查无市价,50.0,Canon RF-S 18-45mm F4.5-6.3 IS STM Standard Zoom Lens/ Silver Version/mint,Canon,Lenses,Used,130.0,CAD,FIXED_PRICE,9,1600,mount:canon rf;good-cond,CA,eone121,100.0,2026-09-13T17:25:49.000Z,,https://www.ebay.ca/itm/257740623892?hash=item3c0289d014:g:UmAAAeSwPKNqpthn,https://i.ebayimg.com/images/g/UmAAAeSwPKNqpthn/s-l225.jpg
型号不明,48.0,ASAHI SMC PENTAX 1:2.5/135 TELEPHOTO K MOUNT MF LENS MINT CONDITION,Asahi,Lenses,Used,194.19,CAD,"FIXED_PRICE,AUCTION",8,1600,mount:pentax k;good-cond;auction,CA,ked222ked,98.4,2026-09-13T23:47:18.000Z,2026-09-20T23:47:18.000Z,https://www.ebay.ca/itm/206555171520?hash=item3017a5cac0:g:qOMAAeSwfUpqpzSW,https://i.ebayimg.com/images/g/qOMAAeSwfUpqpzSW/s-l225.jpg
残件/按现状,44.0,Canon digital Camera. And Olympus Stylus Camera. Not Tested. Parts or could work,Canon,Digital Cameras,For parts or not working,70.0,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,underpriced(med 200),CA,stiles.sells,100.0,2026-09-13T20:01:00.000Z,,https://www.ebay.ca/itm/298671550854?hash=item458a363186:g:MZsAAeSw5Q9qpwBy,https://i.ebayimg.com/images/g/MZsAAeSw5Q9qpwBy/s-l225.jpg
残件/按现状,44.0,[PARTS ONLY] Hello Kitty Fujifilm Instax Mini Camera Pink White Strap Sanrio,Fujifilm,Film Cameras,Used,119.99,CAD,FIXED_PRICE,10,1600,as-is,CA,fancyfinds00,100.0,2026-09-14T09:51:47.000Z,,https://www.ebay.ca/itm/128078869262?hash=item1dd218730e:g:rRwAAeSwfZRqVg21,https://i.ebayimg.com/images/g/rRwAAeSwfZRqVg21/s-l225.jpg
残件/按现状,40.0,Polaroid Time-Zero OneStep SX-70 Instant Land Camera Rainbow Stripe Untested USA,Polaroid,Vintage Cameras,,42.0,CAD,"FIXED_PRICE,BEST_OFFER",13,1600,as-is,CA,thevintagegears,99.6,2026-09-13T04:32:47.000Z,,https://www.ebay.ca/itm/147569701693?hash=item225bd6f33d:g:4JwAAeSw7U5qpZxX,https://i.ebayimg.com/images/g/4JwAAeSw7U5qpZxX/s-l225.jpg
查无市价,38.0,Minolta Freedom AF10R+Memory Maker II 35mm Cameras w/Straps+1 case 100% TESTED,Minolta,Film Cameras,Used,0.0,USD,AUCTION,3,1600,auction,CA,buyitnowcardsandstuff,100.0,2026-09-14T01:00:01.000Z,2026-09-21T01:00:01.000Z,https://www.ebay.ca/itm/206554754959?hash=item30179f6f8f:g:XtcAAeSwHWVqpvJj,https://i.ebayimg.com/images/g/XtcAAeSwHWVqpvJj/s-l225.jpg
残件/按现状,38.0,Vintage Yashica-A TLR Camera Yashimar Lens 6x6 120 Film Japan Untested,Yashica,Vintage Cameras,,168.85,CAD,FIXED_PRICE,10,1600,as-is,CA,mxb_cleanfastparcels,100.0,2026-09-14T03:32:15.000Z,,https://www.ebay.ca/itm/227520525194?hash=item34f947b38a:g:OpwAAeSwQIRqp04u,https://i.ebayimg.com/images/g/OpwAAeSwQIRqp04u/s-l225.jpg
型号不明,34.0,Canon Extender EF 1.4x II - Teleconverter - Like New,Canon,Lenses,Used,209.99,CAD,FIXED_PRICE,6,1600,mount:canon ef,CA,strictlycameras,100.0,2026-09-13T13:30:11.000Z,,https://www.ebay.ca/itm/800655460897?hash=itemba6ac8ca21:g:1d0AAeSwqmVqpqWo,https://i.ebayimg.com/images/g/1d0AAeSwqmVqpqWo/s-l225.jpg
查无市价,34.0,F0.95 MITAKON 35mm SPEEDMASTER FUJI x mount “way better than Mk 2” clean,Fuji,Lenses,Used,395.0,CAD,FIXED_PRICE,3,1571,mount:fuji x,CA,tenfeettall,100.0,2026-09-13T19:20:44.000Z,,https://www.ebay.ca/itm/287584431714?hash=item42f55e2e62:g:QsIAAOSwgLVoDlZE,https://i.ebayimg.com/images/g/QsIAAOSwgLVoDlZE/s-l225.jpg
查无市价,34.0,NIKKOR Z DX 50-250mm f/4.5-6.3 VR,Nikkor,Lenses,D'occasion,400.0,CAD,"FIXED_PRICE,BEST_OFFER",2,1600,mount:nikon f,CA,gab70b,0.0,2026-09-13T20:29:19.000Z,,https://www.ebay.ca/itm/800657019230?hash=itemba6ae0915e:g:Va8AAeSwahRqpwZH,https://i.ebayimg.com/images/g/Va8AAeSwahRqpwZH/s-l225.jpg
打包杂件,30.0,2004 Nikon Coolpix 4800 ED Digital Camera Battery Charger Bundle Y2K CCD Tested,Nikon,Digital Cameras,Used,99.99,CAD,FIXED_PRICE,10,1600,,CA,buyandsell4profit,99.8,2026-09-13T20:15:56.000Z,,https://www.ebay.ca/itm/147570982452?hash=item225bea7e34:g:hFgAAeSwCvBqpv9D,https://i.ebayimg.com/images/g/hFgAAeSwCvBqpv9D/s-l225.jpg
查无市价,30.0,Tokina AT-12-28 F4 PRO DX 12-48mm f/4 SD For Canon EF Mount Auto & Manual Lens,Tokina,Lenses,Used,119.99,CAD,FIXED_PRICE,6,1500,mount:canon ef,CA,paymore_kanata,99.8,2026-09-14T03:06:46.000Z,,https://www.ebay.ca/itm/318867858716?hash=item4a3e01651c:g:8yIAAeSwId5qp2UG,https://i.ebayimg.com/images/g/8yIAAeSwId5qp2UG/s-l225.jpg
查无市价,28.0,Pentax-FA 24-90mm IF&AL Zoom Lens * Very Nice *,Pentax,Lenses,Used,189.5,CAD,FIXED_PRICE,1,1600,,CA,rite_stuf,100.0,2026-09-13T13:25:58.000Z,,https://www.ebay.ca/itm/128077327588?hash=item1dd200ece4:g:iv4AAeSwR25qpqE0,https://i.ebayimg.com/images/g/iv4AAeSwR25qpqE0/s-l225.jpg
