性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
无基准,,1099.98,37,62.0,Mint Rollei 35AF camera *used good condition*,rollei 35af,Rollei,Film Cameras,Used,400.0,CAD,"FIXED_PRICE,AUCTION",good-cond;auction,CA,zzild82,100.0,2026-08-11T20:05:09.000Z,2026-08-18T20:05:09.000Z,https://www.ebay.ca/itm/227472008622?hash=item34f66365ae:g:dNcAAeSwpfRqaQif,https://i.ebayimg.com/images/g/dNcAAeSwpfRqaQif/s-l225.jpg
偏低,-14%,48.79,80,61.0,Canon Canonet 28 35mm Rangefinder Camera 40mm f2.8 Lens Case Filter Taiwan,canon canonet 28,Canon,Film Cameras,Used,41.79,CAD,"FIXED_PRICE,BEST_OFFER",grail:Canonet,CA,happydealgarden,100.0,2026-08-11T13:29:25.000Z,,https://www.ebay.ca/itm/278269397407?hash=item40ca26099f:g:gsIAAOSw75lmGZRT,https://i.ebayimg.com/images/g/gsIAAOSw75lmGZRT/s-l225.jpg
偏低,-14%,174.0,80,61.0,Olympus Mju Zoom 115 35mm Film Camera 38-115mm Point & Shoot w/Case - Tested,olympus mju 115,Olympus,Film Cameras,Used,149.6,CAD,"FIXED_PRICE,BEST_OFFER",grail:Mju,CA,basskatcher99,100.0,2026-08-11T13:08:00.000Z,,https://www.ebay.ca/itm/188776508384?hash=item2bf3f4ebe0:g:l9YAAeSwfjZqeop~,https://i.ebayimg.com/images/g/l9YAAeSwfjZqeop~/s-l225.jpg
超值,-36%,77.5,18,56.0,Vintage Pentax Espio 80V Compact Camera 35mm W Case Tested,pentax 80v,Pentax,Film Cameras,Used,50.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,brooksie_71,99.6,2026-08-11T12:44:21.000Z,,https://www.ebay.ca/itm/287518656220?hash=item42f17286dc:g:mK8AAeSwEbBqUk8I,https://i.ebayimg.com/images/g/mK8AAeSwEbBqUk8I/s-l225.jpg
合理,+3%,750.26,80,55.0,Voigtlander S Nokton 50mm F1.5 ASPHERICAL Lens 99% New,voigtlander nokton 50mm f1.5,Voigtlander,Lenses,Open box,775.0,CAD,FIXED_PRICE,grail:Nokton,CA,hit-camera-ltd,99.3,2026-08-12T00:26:21.000Z,,https://www.ebay.ca/itm/307121449786?hash=item4781dd6b3a:g:CLwAAeSwHiJqe7su,https://i.ebayimg.com/images/g/CLwAAeSwHiJqe7su/s-l225.jpg
超值,-38%,129.99,11,52.0,Pentax MZ-M 35mm Film SLR Camera W/ Lens,pentax mz-m,Pentax,Film Cameras,Used,80.0,CAD,FIXED_PRICE,,CA,ban_4389,98.6,2026-08-11T08:02:17.000Z,,https://www.ebay.ca/itm/236999062795?hash=item372e3eb50b:g:O4MAAeSwtz5qActj,https://i.ebayimg.com/images/g/O4MAAeSwtz5qActj/s-l225.jpg
超值,-37%,134.14,42,52.0,Minolta MD Rokkor-X 45mm f2 Lens,minolta rokkor 45mm f2,Minolta,Lenses,Used,85.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:minolta md,CA,morgan2548510,100.0,2026-08-11T20:47:23.000Z,,https://www.ebay.ca/itm/407137219839?hash=item5ecb44f4ff:g:O~sAAeSwxghqe4nr,https://i.ebayimg.com/images/g/O~sAAeSwxghqe4nr/s-l225.jpg
抄底,-48%,373.67,35,50.0,Canon Powershot SD870 is Elph Digital Camera Tested And Works,canon sd870,Canon,Digital Cameras,Used,195.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,dardaw-59,100.0,2026-08-12T01:04:52.000Z,,https://www.ebay.ca/itm/178397987977?hash=item2989594489:g:u-MAAeSwdh5qey-w,https://i.ebayimg.com/images/g/u-MAAeSwdh5qey-w/s-l225.jpg
无基准,,69.82,80,49.0,Olympus Stylus Epic Zoom 80 35mm Point & Shoot Film Camera,olympus stylus epic 80,Olympus,Film Cameras,Used,0.0,USD,AUCTION,grail:Stylus Epic;auction,CA,franki440,100.0,2026-08-12T07:04:23.000Z,2026-08-19T07:04:23.000Z,https://www.ebay.ca/itm/800495310829?hash=itemba613d17ed:g:4cYAAeSwIOxqHwrt,https://i.ebayimg.com/images/g/4cYAAeSwIOxqHwrt/s-l225.jpg
超值,-41%,83.54,17,49.0,Fuji X-Fujinon 55mm f/2.2 Manual Foucus Prime Lens,fuji 55mm f2.2,Fuji,Lenses,Used,49.0,CAD,"FIXED_PRICE,BEST_OFFER",55mm,CA,goodusedgoods,99.2,2026-08-12T01:06:09.000Z,,https://www.ebay.ca/itm/117354095128?hash=item1b52d96218:g:dkAAAeSwUr5qUv1a,https://i.ebayimg.com/images/g/dkAAAeSwUr5qUv1a/s-l225.jpg
