寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,78.0,"Olympus OM-10, Body only, working. READ...selling ""As Is""",Olympus,Film Cameras,Used,55.0,CAD,FIXED_PRICE,8,1600,mount:olympus om;as-is;underpriced(med 163),CA,hunterll,100.0,2026-08-26T19:01:19.000Z,,https://www.ebay.ca/itm/800567435421?hash=itemba6589a09d:g:YeMAAeSwUjRqjzFY,https://i.ebayimg.com/images/g/YeMAAeSwUjRqjzFY/s-l225.jpg
查无市价,77.0,Vintage Zeiss Ikon Tenax Camera 35mm Tessar 2.8 Lens & Leather Case EXCELLENT,Zeiss,Vintage Cameras,,45.0,CAD,FIXED_PRICE,11,1336,grail:Tessar,CA,juniorhky,99.9,2026-08-26T10:18:24.000Z,,https://www.ebay.ca/itm/206516559997?hash=item301558a07d:g:ugAAAeSwpSVqjrxi,https://i.ebayimg.com/images/g/ugAAAeSwpSVqjrxi/s-l225.jpg
残件/按现状,72.0,Canon Sure Shot Telemax 35mm Film Point & Shoot | Untested | Cracked Flash |,Canon,Film Cameras,For parts or not working,42.29,CAD,"FIXED_PRICE,BEST_OFFER",23,1440,as-is;underpriced(med 100),CA,miggysrediscoveredgoods,98.7,2026-08-27T07:32:18.000Z,,https://www.ebay.ca/itm/398329316380?hash=item5cbe47041c:g:IN0AAeSw~gVpnmJs,https://i.ebayimg.com/images/g/IN0AAeSw~gVpnmJs/s-l225.jpg
型号不明,68.0,Prisma Mc Auto Tele Converter 2x For Canon Fd With Carry Bag,Canon,Lenses,Used,31.6,CAD,"FIXED_PRICE,BEST_OFFER",4,1600,mount:canon fd;underpriced(med 177),CA,houseofrelics,100.0,2026-08-27T04:23:05.000Z,,https://www.ebay.ca/itm/398328832438?hash=item5cbe3fa1b6:g:CbkAAeSw2HNqj7sx,https://i.ebayimg.com/images/g/CbkAAeSw2HNqj7sx/s-l225.jpg
残件/按现状,66.0,Olympus Trip 35 35mm Film Camera Sold for Parts / Repair As-Is,Olympus,Film Cameras,For parts or not working,67.49,CAD,"FIXED_PRICE,BEST_OFFER",14,1600,as-is;underpriced(med 163),CA,306videogames,100.0,2026-08-27T03:59:16.000Z,,https://www.ebay.ca/itm/820052580475?hash=itembeeef1587b:g:GXQAAeSw7F9qj3sz,https://i.ebayimg.com/images/g/GXQAAeSw7F9qj3sz/s-l225.jpg
残件/按现状,58.0,CANON Epoca 135 Automatic 35mm Point & Shoot 38 Film Camera w/ Bag Untested READ,Canon,Film Cameras,For parts or not working,59.95,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,as-is,CA,tbonemcgee,100.0,2026-08-26T17:56:26.000Z,,https://www.ebay.ca/itm/128046069234?hash=item1dd023f5f2:g:uq0AAeSwBEtqbnsn,https://i.ebayimg.com/images/g/uq0AAeSwBEtqbnsn/s-l225.jpg
残件/按现状,58.0,rolleiflex wide angle 55mm F4 Distagon read description (rare)￼,Rolleiflex,Film Cameras,For parts or not working,2490.0,CAD,"FIXED_PRICE,BEST_OFFER",23,1600,grail:Distagon;55mm,CA,dfjwi-69,100.0,2026-08-27T02:02:17.000Z,,https://www.ebay.ca/itm/318784698028?hash=item4a390c76ac:g:p1QAAeSwbr9qi50Y,https://i.ebayimg.com/images/g/p1QAAeSwbr9qi50Y/s-l225.jpg
打包杂件,55.0,Vintage Asahi Pentax SP 1000 35mm SLR Camera Lot w/ 100mm Macro & 200mm F/4...,Asahi,Film Cameras,Used,166.24,CAD,"FIXED_PRICE,BEST_OFFER",11,1600,grail:Pentax SP,CA,inspector-jon,99.6,2026-08-27T01:34:24.000Z,,https://www.ebay.ca/itm/820052142915?hash=itembeeeeaab43:g:f2MAAeSw2DJqj5Ec,https://i.ebayimg.com/images/g/f2MAAeSw2DJqj5Ec/s-l225.jpg
型号不明,52.0,Panasonic DMW-LW55 0.7 For L-Mount Fixed/Prime Lens,Panasonic,Lenses,Used,50.99,CAD,FIXED_PRICE,7,1500,underpriced(med 359),CA,paymore_kitchener,99.5,2026-08-26T16:04:32.000Z,,https://www.ebay.ca/itm/137663964524?hash=item200d69656c:g:0aQAAeSwYQVqjam4,https://i.ebayimg.com/images/g/0aQAAeSwYQVqjam4/s-l225.jpg
残件/按现状,52.0,Broken Canon T70 SLR Film Camera READ,Canon,Film Cameras,For parts or not working,64.99,CAD,FIXED_PRICE,10,1500,as-is,CA,paymore_brampton,0.0,2026-08-27T09:59:02.000Z,,https://www.ebay.ca/itm/206515457112?hash=item301547cc58:g:DZ8AAeSwXeFqjhFS,https://i.ebayimg.com/images/g/DZ8AAeSwXeFqjhFS/s-l225.jpg
查无市价,50.0,Kodak XL55 – clean vintage Super 8 camera – boxed – mechanically functional,Kodak,Vintage Cameras,,30.99,CAD,"FIXED_PRICE,BEST_OFFER",5,1372,good-cond,CA,viewfinder_vault,100.0,2026-08-26T18:19:52.000Z,,https://www.ebay.ca/itm/188844851976?hash=item2bf807c308:g:UkYAAeSw8rhqjy4R,https://i.ebayimg.com/images/g/UkYAAeSw8rhqjy4R/s-l225.jpg
残件/按现状,50.0,Fujifilm Finepix S5000 Zoom 3.1MP Digital Camera Includes Strap Parts or Repair,Fujifilm,Digital Cameras,For parts or not working,32.15,CAD,"FIXED_PRICE,BEST_OFFER",8,1600,underpriced(med 100),CA,zenkatcanada,99.3,2026-08-27T04:04:52.000Z,,https://www.ebay.ca/itm/298619888378?hash=item458721e2fa:g:1G4AAeSw9-FoB0I6,https://i.ebayimg.com/images/g/1G4AAeSw9-FoB0I6/s-l225.jpg
残件/按现状,50.0,Pentax Espio 738 35mm Point & Shoot Film Camera | Untested | For Parts/Repair,Pentax,Film Cameras,For parts or not working,33.59,CAD,"FIXED_PRICE,BEST_OFFER",17,1440,as-is,CA,miggysrediscoveredgoods,98.7,2026-08-26T07:33:19.000Z,,https://www.ebay.ca/itm/398325707858?hash=item5cbe0ff452:g:F1kAAeSwP2JpnmDz,https://i.ebayimg.com/images/g/F1kAAeSwP2JpnmDz/s-l225.jpg
残件/按现状,50.0,Minolta Riva Zoom 115 Date 35mm Point & Shoot Film Camera UNTESTED/FOR PARTS,Minolta,Film Cameras,For parts or not working,34.99,CAD,"FIXED_PRICE,BEST_OFFER",6,1600,as-is,CA,borealtrovecollectibles,100.0,2026-08-26T10:27:49.000Z,,https://www.ebay.ca/itm/227492251941?hash=item34f7984925:g:dvIAAeSwWi9qGC--,https://i.ebayimg.com/images/g/dvIAAeSwWi9qGC--/s-l225.jpg
查无市价,50.0,"4X Odd Film Cameras : Minolta 16 E.E, Brownie, Kodak Disc, Kodak Advantix 3100",Minolta,Vintage Cameras,,40.0,CAD,FIXED_PRICE,8,1203,,CA,hardlyashop,100.0,2026-08-27T04:23:35.000Z,,https://www.ebay.ca/itm/287548250876?hash=item42f3361afc:g:ptEAAeSwzMRqj7kh,https://i.ebayimg.com/images/g/ptEAAeSwzMRqj7kh/s-l225.jpg
查无市价,50.0,PRAKTICA SUPER TL CAMERA Body,Praktica,Vintage Cameras,,45.0,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,,CA,scal8180,100.0,2026-08-26T15:44:28.000Z,,https://www.ebay.ca/itm/398326911785?hash=item5cbe225329:g:tLcAAeSwWaNqjwki,https://i.ebayimg.com/images/g/tLcAAeSwWaNqjwki/s-l225.jpg
残件/按现状,50.0,Canon PowerShot SD780 IS 10.0MP Digital Camera,Canon,Digital Cameras,For parts or not working,45.0,CAD,"FIXED_PRICE,BEST_OFFER",6,1426,underpriced(med 193),CA,top-trade3,97.3,2026-08-26T04:33:44.000Z,,https://www.ebay.ca/itm/158224611109?hash=item24d6ebf725:g:2tsAAeSwO6Vp9FAD,https://i.ebayimg.com/images/g/2tsAAeSwO6Vp9FAD/s-l225.jpg
残件/按现状,50.0,Fujifilm Zoom 35mm Film Camera DL-290 Vintage Untested,Fujifilm,Film Cameras,Used,49.99,CAD,FIXED_PRICE,7,1600,as-is,CA,ban_4389,98.7,2026-08-26T11:40:30.000Z,,https://www.ebay.ca/itm/237031135283?hash=item3730281833:g:hvYAAeSwSeRqFcUG,https://i.ebayimg.com/images/g/hvYAAeSwSeRqFcUG/s-l225.jpg
残件/按现状,50.0,Nikon Coolpix S3000 12MP Digital Camera Lime Green Sold AS IS For Parts / Repair,Nikon,Digital Cameras,For parts or not working,53.99,CAD,"FIXED_PRICE,BEST_OFFER",10,1600,as-is;underpriced(med 175),CA,306videogames,100.0,2026-08-27T04:16:51.000Z,,https://www.ebay.ca/itm/820052622353?hash=itembeeef1fc11:g:9skAAeSwwTlqj3va,https://i.ebayimg.com/images/g/9skAAeSwwTlqj3va/s-l225.jpg
残件/按现状,50.0,Nikon D90 DSLR Camera Body For Parts Repair Err Fault Strap Included,Nikon,Digital Cameras,For parts or not working,59.99,CAD,"FIXED_PRICE,BEST_OFFER",6,1254,as-is;underpriced(med 175),CA,goodbuddy_232,100.0,2026-08-26T14:31:55.000Z,,https://www.ebay.ca/itm/398326745317?hash=item5cbe1fc8e5:g:P70AAeSwMcdqjvXu,https://i.ebayimg.com/images/g/P70AAeSwMcdqjvXu/s-l225.jpg
残件/按现状;打包杂件,50.0,Lot Of 2 lenses Mamiya -Sekor E 50mm f1:2 and Pentax Smc For Parts Or Repair,Mamiya,Lenses,For parts or not working,59.99,CAD,FIXED_PRICE,5,1600,as-is,CA,ban_4389,98.7,2026-08-26T12:59:21.000Z,,https://www.ebay.ca/itm/237031236442?hash=item373029a35a:g:5G8AAeSwOhNqFda-,https://i.ebayimg.com/images/g/5G8AAeSwOhNqFda-/s-l225.jpg
残件/按现状,50.0,Nikon Coolpix S4300 White 16.0MP Digital Camera for parts. Lens error,Nikon,Digital Cameras,For parts or not working,60.0,CAD,"FIXED_PRICE,BEST_OFFER",5,1600,as-is;underpriced(med 175),CA,giantfrog99,0.0,2026-08-26T16:26:54.000Z,,https://www.ebay.ca/itm/147528878965?hash=item2259680b75:g:mtQAAeSw7RNqjxOL,https://i.ebayimg.com/images/g/mtQAAeSw7RNqjxOL/s-l225.jpg
查无市价,48.0,Canon EF Ultrasonic 17-85mm f/1.4-5.6 Fixed/Prime Lens,Canon,Lenses,Used,114.99,CAD,FIXED_PRICE,5,1500,mount:canon ef,CA,paymore_brampton,0.0,2026-08-27T10:01:33.000Z,,https://www.ebay.ca/itm/206515459296?hash=item301547d4e0:g:qQMAAeSwjU9qjhFk,https://i.ebayimg.com/images/g/qQMAAeSwjU9qjhFk/s-l225.jpg
查无市价,44.0,Pentax Espio 60V AF 35mm Film Camera 35-60mm Zoom Tested,Pentax,Film Cameras,Used,76.49,CAD,"FIXED_PRICE,BEST_OFFER",17,1600,,CA,306videogames,100.0,2026-08-27T04:24:30.000Z,,https://www.ebay.ca/itm/820052633509?hash=itembeeef227a5:g:BoYAAeSwpSVqj3v8,https://i.ebayimg.com/images/g/BoYAAeSwpSVqj3v8/s-l225.jpg
查无市价,44.0,Canon PowerShot SD970 IS Digital ELPH Camera Charger 12.1 Megapixel 5X Zoom,Canon,Digital Cameras,Used,80.0,CAD,"FIXED_PRICE,BEST_OFFER",2,1600,underpriced(med 193),CA,anu8738,0.0,2026-08-26T05:13:05.000Z,,https://www.ebay.ca/itm/820048605660?hash=itembeeeb4b1dc:g:GjgAAeSwbLhqjnRK,https://i.ebayimg.com/images/g/GjgAAeSwbLhqjnRK/s-l225.jpg
