性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-49%,170.44,80,72.0,"Pentax K2 35mm SLR Film Camera Body, Black (Japan Made - Body Only",pentax k2,Pentax,Film Cameras,Used,86.8,CAD,FIXED_PRICE,,CA,ya_912806,99.1,2026-08-24T15:15:47.000Z,,https://www.ebay.ca/itm/820042040860?hash=itembeee50861c:g:FTEAAeSw1nRqjF~v,https://i.ebayimg.com/images/g/FTEAAeSw1nRqjF~v/s-l225.jpg
抄底,-49%,137.07,80,68.0,Nikon Series E 50mm f/1.8 AIS Pancake Manual Focus Lens AI-S F Mount W Pl Filter,nikon ai-s 50mm f1.8,Nikon,Lenses,Used,69.5,CAD,FIXED_PRICE,mount:nikon f,CA,ya_912806,99.1,2026-08-24T21:14:19.000Z,,https://www.ebay.ca/itm/820043190305?hash=itembeee621021:g:icwAAeSw72hqjLQC,https://i.ebayimg.com/images/g/icwAAeSw72hqjLQC/s-l225.jpg
超值,-33%,483.19,81,66.0,[Serviced] Carl Zeiss Jena Prakticar MC 35mm f/2.4 Flektogon Praktica B PB Lens,zeiss flektogon 35mm f2.4,Zeiss,Lenses,Used,322.0,CAD,"FIXED_PRICE,BEST_OFFER",good-cond,CA,zoah63,100.0,2026-08-24T20:43:55.000Z,,https://www.ebay.ca/itm/407167520032?hash=item5ecd134d20:g:cigAAeSwoUdqUyEm,https://i.ebayimg.com/images/g/cigAAeSwoUdqUyEm/s-l225.jpg
抄底,-48%,69.76,10,62.0,Pentax Espio 105S 35mm Film Camera 38mm-105mm AF Pentax Zoom Lens - TESTED,pentax 105s,Pentax,Film Cameras,Used,36.0,CAD,FIXED_PRICE,,CA,canadianflipper902,99.7,2026-08-24T20:33:23.000Z,,https://www.ebay.ca/itm/307144283893?hash=item478339d6f5:g:BkgAAeSwzkRqjKpL,https://i.ebayimg.com/images/g/BkgAAeSwzkRqjKpL/s-l225.jpg
超值,-36%,101.99,80,56.0,"Pentax IQZoom 115M MultiAF 35mm Film Camera Point & Shoot - Tested, Working",pentax 115m,Pentax,Film Cameras,Used,64.95,CAD,FIXED_PRICE,,CA,gameselex2010,100.0,2026-08-25T01:03:12.000Z,,https://www.ebay.ca/itm/278308535838?hash=item40cc7b3e1e:g:d3oAAeSwyIRqi1t-,https://i.ebayimg.com/images/g/d3oAAeSwyIRqi1t-/s-l225.jpg
超值,-29%,169.48,32,56.0,Pentax Espio 115G 35mm Film Camera 38-115mm Zoom Multi AF Tested w/ Case,pentax 115g,Pentax,Film Cameras,Used,119.6,CAD,"FIXED_PRICE,BEST_OFFER",,CA,basskatcher99,100.0,2026-08-25T12:56:01.000Z,,https://www.ebay.ca/itm/188836458606?hash=item2bf787b06e:g:w3IAAeSw0yNqjJP6,https://i.ebayimg.com/images/g/w3IAAeSw0yNqjJP6/s-l225.jpg
超值,-31%,173.06,20,56.0,Fujifilm Instax Wide 100 Instant Film Camera - Tested & Working,fujifilm instax 100,Fujifilm,Film Cameras,Used,119.97,CAD,"FIXED_PRICE,BEST_OFFER",,CA,olivers-outlet,99.5,2026-08-25T00:41:50.000Z,,https://www.ebay.ca/itm/137657736372?hash=item200d0a5cb4:g:A1sAAeSwIK1qjNme,https://i.ebayimg.com/images/g/A1sAAeSwIK1qjNme/s-l225.jpg
抄底,-89%,1251.17,80,54.0,Canon VIXIA HF R10 HD Camcorder W/ LowePro Bag & Charger Tested,canon r10,Canon,Camcorders,Used,134.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,306videogames,100.0,2026-08-24T06:12:18.000Z,,https://www.ebay.ca/itm/820040366672?hash=itembeee36fa50:g:BhEAAeSwi0pqi8bX,https://i.ebayimg.com/images/g/BhEAAeSwi0pqi8bX/s-l225.jpg
偏高,+38%,57.93,80,53.0,Minolta HI-MATIC 7s 35mm Camera f/1.8 45mm Rokkor PF,minolta 7s,Minolta,Film Cameras,Used,80.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:HI-MATIC;mount:minolta md,CA,thoger5853,100.0,2026-08-25T00:48:52.000Z,,https://www.ebay.ca/itm/366626669355?hash=item555ca7032b:g:gxoAAeSwbLhqjOVI,https://i.ebayimg.com/images/g/gxoAAeSwbLhqjOVI/s-l225.jpg
抄底,-48%,48.56,80,52.0,Vivitar AUTO WIDE-ANGLE 28mm f/2.5 Camera Lens. Nikon F Mount,vivitar 28mm f2.5,Vivitar,Lenses,Used,25.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:nikon f,CA,dc-treasure-vault,99.9,2026-08-24T21:32:31.000Z,,https://www.ebay.ca/itm/318774368130?hash=item4a386ed782:g:HscAAeSwEu1qjLfK,https://i.ebayimg.com/images/g/HscAAeSwEu1qjLfK/s-l225.jpg
