性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
无基准,,29.13,80,64.0,Canon Canonet QL17 35mm Rangefinder Film Camera - Full manual,canon canonet,Canon,Film Cameras,Used,120.0,CAD,"FIXED_PRICE,AUCTION",grail:Canonet;auction,CA,sockeyesteveston,97.9,2026-08-23T23:10:41.000Z,2026-08-28T23:10:41.000Z,https://www.ebay.ca/itm/336757857573?hash=item4e68551d25:g:zFAAAeSwXyxqi3yW,https://i.ebayimg.com/images/g/zFAAAeSwXyxqi3yW/s-l225.jpg
超值,-34%,938.96,36,62.0,Mint condition Canon RF 24mm f/1.8 Macro IS STM Lens,canon rf 24mm f1.8,Canon,Lenses,Used,620.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:canon rf;good-cond,CA,avneshot,100.0,2026-08-23T20:24:23.000Z,,https://www.ebay.ca/itm/237025813474?hash=item372fd6e3e2:g:xZYAAeSwjhxqi1ba,https://i.ebayimg.com/images/g/xZYAAeSwjhxqi1ba/s-l225.jpg
抄底,-57%,185.76,51,58.0,"Tamron Aspherical Lens 18-200mm f/3.5-6.3 Canon EF Motorized Lens,Zoom Lens",tamron ef 18-200mm f3.5,Tamron,Lenses,Used,79.99,CAD,FIXED_PRICE,mount:canon ef,CA,paymore_kitchener,99.5,2026-08-23T15:26:03.000Z,,https://www.ebay.ca/itm/137652306030?hash=item200cb7806e:g:WIAAAeSwicVqixDo,https://i.ebayimg.com/images/g/WIAAAeSwicVqixDo/s-l225.jpg
无基准,,15.14,80,58.0,VINTAGE OLYMPUS TRIP 35 COMPACT CAMERA D ZUIKO 40MM F/2.8 LENS N MINT CONDITION,olympus trip,Olympus,Film Cameras,Used,178.88,CAD,"FIXED_PRICE,AUCTION",mount:olympus om;good-cond;auction,CA,ked222ked,98.3,2026-08-24T00:41:43.000Z,2026-08-31T00:41:43.000Z,https://www.ebay.ca/itm/206511500291?hash=item30150b6c03:g:4uwAAOSwnbFiy2YP,https://i.ebayimg.com/images/g/4uwAAOSwnbFiy2YP/s-l225.jpg
超值,-44%,159.1,29,56.0,PENTAX ESPIO 140V 38-140MM AF AUTO FOCUS ZOOM LENS WITH CASE AND NEW BATTERY,pentax 140v,Pentax,Film Cameras,Used,89.75,CAD,FIXED_PRICE,,CA,bestsellersbookstore,99.9,2026-08-23T21:29:51.000Z,,https://www.ebay.ca/itm/800552548506?hash=itemba64a6789a:g:CmUAAeSwh5Vp2Yii,https://i.ebayimg.com/images/g/CmUAAeSwh5Vp2Yii/s-l225.jpg
合理,+1%,331.6,34,55.0,Yashica T3 Film Camera Carl Zeiss Tessar T* 35mm F2.8 AF Original Box,yashica t3,Yashica,Film Cameras,Used,335.01,CAD,"FIXED_PRICE,BEST_OFFER",grail:Tessar,CA,shoppytoppy,100.0,2026-08-24T02:24:38.000Z,,https://www.ebay.ca/itm/336758070946?hash=item4e68585ea2:g:SxMAAeSw7F9qi6kX,https://i.ebayimg.com/images/g/SxMAAeSw7F9qi6kX/s-l225.jpg
合理,+4%,767.59,80,55.0,carl zeiss biogon 21mm ZM T* f2.8,zeiss biogon 21mm f2.8,Zeiss,Lenses,Used,800.0,CAD,"FIXED_PRICE,BEST_OFFER",grail:biogon,CA,mawo06,100.0,2026-08-23T13:13:25.000Z,,https://www.ebay.ca/itm/128040363935?hash=item1dcfcce79f:g:MsYAAeSwsqlqgZK2,https://i.ebayimg.com/images/g/MsYAAeSwsqlqgZK2/s-l225.jpg
抄底,-89%,1251.17,80,54.0,Canon VIXIA HF R10 HD Camcorder W/ LowePro Bag & Charger Tested,canon r10,Canon,Camcorders,Used,134.99,CAD,"FIXED_PRICE,BEST_OFFER",,CA,306videogames,100.0,2026-08-24T06:12:18.000Z,,https://www.ebay.ca/itm/820040366672?hash=itembeee36fa50:g:BhEAAeSwi0pqi8bX,https://i.ebayimg.com/images/g/BhEAAeSwi0pqi8bX/s-l225.jpg
超值,-44%,134.14,42,52.0,Minolta MD Rokkor 45mm f/2.0 For Pentax KAF3/KAF2 Manual Lens,minolta rokkor 45mm f2,Minolta,Lenses,Used,74.99,CAD,FIXED_PRICE,mount:minolta md,CA,paymore_kitchener,99.5,2026-08-23T15:45:37.000Z,,https://www.ebay.ca/itm/137652354089?hash=item200cb83c29:g:Ya0AAeSwsDVqixWI,https://i.ebayimg.com/images/g/Ya0AAeSwsDVqixWI/s-l225.jpg
超值,-38%,265.12,6,52.0,Minolta Riva Zoom 75W 35mm Film Point & Shoot Camera/ Tested Working,minolta 75w,Minolta,Film Cameras,Used,165.0,CAD,FIXED_PRICE,,CA,ya_912806,99.1,2026-08-23T17:29:32.000Z,,https://www.ebay.ca/itm/820038284827?hash=itembeee17361b:g:9aoAAeSwZPBqiy2y,https://i.ebayimg.com/images/g/9aoAAeSwZPBqiy2y/s-l225.jpg
