性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-72%,499.99,80,116.0,[ MINT w/Cap ] Mamiya Sekor NB 127mm f/3.8 MF Lens for RB67 Pro S SD From JAPAN,mamiya sekor f/3.8,Mamiya,Film Cameras,Used,139.99,USD,"FIXED_PRICE,BEST_OFFER",grail:RB67;good-cond,JP,wazze_camera.jpn,100.0,2026-08-23T22:44:36.000Z,,https://www.ebay.com/itm/820038981464?hash=itembeee21d758:g:VYQAAeSwNYtqQrKD,https://i.ebayimg.com/images/g/VYQAAeSwNYtqQrKD/s-l225.jpg
抄底,-69%,1024.99,20,112.0,[Top MINT] Contax Carl Zeiss Distagon T* 45mm F/2.8 MMJ MF Lens C/Y Mount JAPAN,contax distagon 45mm f2.8,Contax,Lenses,Used,319.99,USD,FIXED_PRICE,grail:Distagon;mount:contax/yashica;good-cond,JP,shoyama_japan,100.0,2026-08-23T23:22:40.000Z,,https://www.ebay.com/itm/307142784117?hash=item478322f475:g:41AAAeSwe9Zqi4F5,https://i.ebayimg.com/images/g/41AAAeSwe9Zqi4F5/s-l225.jpg
抄底,-89%,1189.0,71,106.0,Leica Minilux Zoom Original Case,leica minilux,Leica,Film Cameras,Used,133.45,USD,FIXED_PRICE,grail:Minilux,JP,riversideworks_japan,98.5,2026-08-24T08:12:23.000Z,,https://www.ebay.com/itm/188833851869?hash=item2bf75fe9dd:g:~M4AAeSwhFRqi~14,https://i.ebayimg.com/images/g/~M4AAeSwhFRqi~14/s-l225.jpg
抄底,-59%,462.66,48,106.0,Leica R3 Electronic Body Black #2641,leica r3,Leica,Film Cameras,Used,189.08,USD,FIXED_PRICE,grail:Leica R3,JP,riversideworks_japan,98.5,2026-08-24T08:06:28.000Z,,https://www.ebay.com/itm/800554881078?hash=itemba64ca1036:g:zWQAAeSwyIRqi~zR,https://i.ebayimg.com/images/g/zWQAAeSwyIRqi~zR/s-l225.jpg
抄底,-88%,1852.59,80,106.0,Fake Leica Elmar 50mm F3.5 Rangefinder Camera Rare,leica elmar f3.5,Leica,Vintage Cameras,,212.8,USD,FIXED_PRICE,grail:Elmar,JP,riversideworks_japan,98.5,2026-08-24T08:10:06.000Z,,https://www.ebay.com/itm/188833821220?hash=item2bf75f7224:g:LMwAAeSwGEZqi~zD,https://i.ebayimg.com/images/g/LMwAAeSwGEZqi~zD/s-l225.jpg
抄底,-53%,462.66,48,106.0,Leica R3 ELECTRONIC Film SLR Camera Body,leica r3,Leica,Film Cameras,Used,216.89,USD,FIXED_PRICE,grail:Leica R3,JP,riversideworks_japan,98.5,2026-08-24T08:04:21.000Z,,https://www.ebay.com/itm/188833796202?hash=item2bf75f106a:g:0KEAAeSww-Fqi~v4,https://i.ebayimg.com/images/g/0KEAAeSww-Fqi~v4/s-l225.jpg
抄底,-46%,462.66,48,106.0,Leica R3 ELECTRONIC Camera Used Practical Condition,leica r3,Leica,Film Cameras,Used,247.98,USD,FIXED_PRICE,grail:Leica R3,JP,riversideworks_japan,98.5,2026-08-24T08:09:36.000Z,,https://www.ebay.com/itm/198591276218?hash=item2e3cf664ba:g:LkMAAeSw-qlqi~zV,https://i.ebayimg.com/images/g/LkMAAeSw-qlqi~zV/s-l225.jpg
抄底,-46%,462.66,48,106.0,Leica R3 ELECTRONIC Used Practical Condition,leica r3,Leica,Film Cameras,Used,247.98,USD,FIXED_PRICE,grail:Leica R3,JP,riversideworks_japan,98.5,2026-08-24T08:06:31.000Z,,https://www.ebay.com/itm/198591270082?hash=item2e3cf64cc2:g:wGQAAeSwMcdqi~zi,https://i.ebayimg.com/images/g/wGQAAeSwMcdqi~zi/s-l225.jpg
抄底,-80%,3489.44,70,104.0,contax g2 & 45mm f/2 planar + Contax Flash + contax filter plus 3x 35mm film,contax g2,Contax,Film Cameras,Used,699.0,USD,"FIXED_PRICE,BEST_OFFER",grail:contax g2,EE,boglyub-0,0.0,2026-08-23T19:19:13.000Z,,https://www.ebay.com/itm/407165074253?hash=item5eccedfb4d:g:aqsAAeSwSHBqi0cx,https://i.ebayimg.com/images/g/aqsAAeSwSHBqi0cx/s-l225.jpg
抄底,-77%,109.0,49,102.0,Zeiss Ikon Contessa LBE 35mm RF Film Camera with Carl Zeiss Tessar 50mm 2.8 Lens,zeiss ikon contessa,Zeiss,Vintage Cameras,,25.0,USD,"FIXED_PRICE,BEST_OFFER",grail:Tessar;mount:canon rf,US,vintage_books_cameras_art_etc,100.0,2026-08-23T23:00:02.000Z,,https://www.ebay.com/itm/227488692925?hash=item34f761fabd:g:j9UAAeSw0zlqi28A,https://i.ebayimg.com/images/g/j9UAAeSw0zlqi28A/s-l225.jpg
抄底,-56%,899.99,47,102.0,[Top MINT] SMC Pentax A 645 75mm f/2.8 Lens for 645 645N 645NII From JAPAN,pentax smc 75mm f2.8,Pentax,Lenses,Used,399.99,USD,FIXED_PRICE,grail:645;mount:pentax k;good-cond,JP,ninja-camera,100.0,2026-08-23T19:25:28.000Z,,https://www.ebay.com/itm/820038527236?hash=itembeee1ae904:g:7lEAAeSww99qi0pX,https://i.ebayimg.com/images/g/7lEAAeSww99qi0pX/s-l225.jpg
抄底,-72%,4795.0,13,102.0,Leica IIIc 35mm Gray Olive Repaint Rangefinder Camera,leica iiic gray,Leica,Film Cameras,Used,1320.46,USD,FIXED_PRICE,grail:Leica IIIc,JP,riversideworks_japan,98.5,2026-08-24T08:09:28.000Z,,https://www.ebay.com/itm/800554898651?hash=itemba64ca54db:g:diEAAeSwHrZqi~z9,https://i.ebayimg.com/images/g/diEAAeSwHrZqi~z9/s-l225.jpg
超值,-27%,608.02,22,100.0,[EXC+++++] Zenza Bronica ETR S Zenzanon MC 75mm f/2.8 Prism Finder From JAPAN,bronica etr zenzanon,Bronica,Film Cameras,Used,444.99,USD,FIXED_PRICE,grail:Bronica ETR;good-cond,JP,ht-smile,100.0,2026-08-23T14:53:11.000Z,,https://www.ebay.com/itm/128040447058?hash=item1dcfce2c52:g:m9kAAOSwWjBoTDvu,https://i.ebayimg.com/images/g/m9kAAOSwWjBoTDvu/s-l225.jpg
超值,-32%,665.5,80,100.0,[NEAR MINT] Leica IIIf Red Dial Self Timer 35mm Rangefinder Camera From Japan,leica iiif red,Leica,Film Cameras,Used,449.99,USD,FIXED_PRICE,grail:Leica IIIf;good-cond,JP,ht-smile,100.0,2026-08-23T14:53:11.000Z,,https://www.ebay.com/itm/128040447059?hash=item1dcfce2c53:g:SH4AAeSwjtBpCgke,https://i.ebayimg.com/images/g/SH4AAeSwjtBpCgke/s-l225.jpg
抄底,-79%,307.06,80,99.0,▶️[Exc+5ellent 5 / Tested] Mamiya U SEKOR 35mm f/2.8 Film Camera From JAPAN,mamiya sekor f/2.8,Mamiya,Film Cameras,Used,64.99,USD,FIXED_PRICE,good-cond,JP,makyos40,100.0,2026-08-24T09:34:58.000Z,,https://www.ebay.com/itm/318771988342?hash=item4a384a8776:g:nwMAAeSw9XJqjBme,https://i.ebayimg.com/images/g/nwMAAeSw9XJqjBme/s-l225.jpg
抄底,-49%,651.33,22,99.0,Leica Leitz R7 Black [Near MINT] 35mm SLR Film Camera Body Meter Works JAPAN,leica r7,Leica,Film Cameras,Used,329.99,USD,FIXED_PRICE,good-cond,JP,kaho_camera,100.0,2026-08-24T02:11:22.000Z,,https://www.ebay.com/itm/188832677270?hash=item2bf74dfd96:g:SpcAAeSw2G9qhUtb,https://i.ebayimg.com/images/g/SpcAAeSw2G9qhUtb/s-l225.jpg
抄底,-55%,218.7,80,98.0,Leica 90mm f4 Elmar in M39/LTM,leica elmar 90mm f4,Leica,Lenses,Used,98.5,USD,"FIXED_PRICE,BEST_OFFER",grail:Elmar;mount:ltm/l39,US,carcam,100.0,2026-08-23T21:34:52.000Z,,https://www.ebay.com/itm/198590367626?hash=item2e3ce8878a:g:A2UAAeSwhVlqi2cl,https://i.ebayimg.com/images/g/A2UAAeSwhVlqi2cl/s-l225.jpg
抄底,-56%,283.95,71,98.0,Olympus OM-4 Black SLR Film Camera w/ OM-System Zuiko Auto-S Lens and many lense,olympus om-4,Olympus,Vintage Cameras,,125.0,USD,"FIXED_PRICE,BEST_OFFER",grail:OM-4;mount:olympus om,US,richardsalter46,100.0,2026-08-23T15:45:37.000Z,,https://www.ebay.com/itm/237025405517?hash=item372fd0aa4d:g:QRsAAeSwuxVqixNa,https://i.ebayimg.com/images/g/QRsAAeSwuxVqixNa/s-l225.jpg
抄底,-60%,271.9,80,96.0,Funper Nikon FM2 Handmade Genuine Leather Full Camera Case Cover,nikon fm2,Nikon,Film Cameras,Used,108.38,USD,FIXED_PRICE,grail:FM2,JP,keibun,100.0,2026-08-24T03:50:12.000Z,,https://www.ebay.com/itm/287542515816?hash=item42f2de9868:g:mnkAAeSwUkpqi8Cj,https://i.ebayimg.com/images/g/mnkAAeSwUkpqi8Cj/s-l225.jpg
抄底,-93%,1500.0,80,96.0,Leica 12508 Lens Hood for SUMMILUX R 50mm F1.4,leica summilux 50mm f1.4,Leica,Lenses,Used,111.28,USD,FIXED_PRICE,grail:SUMMILUX,JP,zeton_ec,100.0,2026-08-23T07:44:55.000Z,,https://www.ebay.com/itm/158215552061?hash=item24d661bc3d:g:zHIAAeSwiOxqiqWu,https://i.ebayimg.com/images/g/zHIAAeSwiOxqiqWu/s-l225.jpg
抄底,-88%,1016.65,16,96.0,Leitz WETZLAR Original Box for Summicron 40mm f 2,leitz summicron 40mm f2,Leitz,Lenses,Used,119.23,USD,FIXED_PRICE,grail:Summicron,JP,zeton_ec,100.0,2026-08-23T07:44:54.000Z,,https://www.ebay.com/itm/158215552002?hash=item24d661bc02:g:h2wAAeSwijdqiqU2,https://i.ebayimg.com/images/g/h2wAAeSwijdqiqU2/s-l225.jpg
抄底,-66%,406.25,26,96.0,Leica Macro Elmar R 100mm f4 Macro Adapter,leica elmar 100mm f4,Leica,Lenses,Used,139.1,USD,FIXED_PRICE,grail:Elmar,JP,zeton_ec,100.0,2026-08-23T07:44:54.000Z,,https://www.ebay.com/itm/158215551952?hash=item24d661bbd0:g:E2AAAeSwwtVqiqYo,https://i.ebayimg.com/images/g/E2AAAeSwwtVqiqYo/s-l225.jpg
抄底,-90%,1349.99,80,96.0,Leica Summilux 1 1.4 50mm Empty Box,leica summilux 50mm,Leica,Lenses,Used,139.1,USD,FIXED_PRICE,grail:Summilux,JP,zeton_ec,100.0,2026-08-23T07:44:53.000Z,,https://www.ebay.com/itm/158215551792?hash=item24d661bb30:g:gRMAAeSw2G9qiqWu,https://i.ebayimg.com/images/g/gRMAAeSw2G9qiqWu/s-l225.jpg
抄底,-94%,2499.5,74,96.0,Leitz 12508 Hood Summilux R 50mm F1.4 Early Type with B W Filter,leitz summilux 50mm f1.4,Leitz,Lenses,Used,157.99,USD,FIXED_PRICE,grail:Summilux,JP,zeton_ec,100.0,2026-08-23T07:44:53.000Z,,https://www.ebay.com/itm/158215551847?hash=item24d661bb67:g:S0oAAeSwbLhqiqXn,https://i.ebayimg.com/images/g/S0oAAeSwbLhqiqXn/s-l225.jpg
