性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-57%,139.94,80,116.0,[Optical Near Mint] Mamiya Press 6x9 Medium Format Film Camera Body from JAPAN,mamiya press,Mamiya,Film Cameras,Used,59.99,USD,FIXED_PRICE,grail:Mamiya Press;good-cond,JP,maui_camera_japan,100.0,2026-08-14T02:46:49.000Z,,https://www.ebay.com/itm/287523857245?hash=item42f1c1e35d:g:I18AAeSwvmNqfoBi,https://i.ebayimg.com/images/g/I18AAeSwvmNqfoBi/s-l225.jpg
抄底,-49%,881.68,30,116.0,Rare Flat Dial [MINT] Leica IIIF III F Rangefinder Camera S/N540xxx From JAPAN,leica iiif iii,Leica,Film Cameras,Used,449.99,USD,FIXED_PRICE,grail:Leica IIIF;good-cond,JP,japan-trade810,98.9,2026-08-13T11:30:32.000Z,,https://www.ebay.com/itm/117357177227?hash=item1b5308698b:g:kA0AAeSwVf1qfavM,https://i.ebayimg.com/images/g/kA0AAeSwVf1qfavM/s-l225.jpg
抄底,-46%,881.68,30,116.0,Red Dial [Near MINT] Leica IIIF III F Self Timar Rangefinder Film Camera JAPAN,leica iiif iii,Leica,Film Cameras,Used,479.99,USD,FIXED_PRICE,grail:Leica IIIF;good-cond,JP,japan-trade810,98.9,2026-08-13T08:16:30.000Z,,https://www.ebay.com/itm/117356902929?hash=item1b53043a11:g:jEUAAeSwyudqfX5S,https://i.ebayimg.com/images/g/jEUAAeSwyudqfX5S/s-l225.jpg
抄底,-47%,545.0,77,112.0,[Exc+5] Contax Carl Zeiss Distagon T* 18mm F4 F/4 AEG Lens C/Y Mount From JAPAN,contax distagon 18mm f4,Contax,Lenses,Used,289.0,USD,"FIXED_PRICE,BEST_OFFER",grail:Distagon;mount:contax/yashica;good-cond,JP,ab.japan.market,100.0,2026-08-13T15:07:55.000Z,,https://www.ebay.com/itm/318724149485?hash=item4a357090ed:g:HagAAeSweu9qfexF,https://i.ebayimg.com/images/g/HagAAeSweu9qfexF/s-l225.jpg
抄底,-83%,4795.0,13,112.0,WAR time[Near MINT] Leica IIIC Gray Rangefinder 35mm Film Camera Body From JAPAN,leica iiic gray,Leica,Film Cameras,Used,799.99,USD,FIXED_PRICE,grail:Leica IIIC;good-cond,JP,japan-trade810,98.9,2026-08-13T09:27:50.000Z,,https://www.ebay.com/itm/117357000052?hash=item1b5305b574:g:V5QAAeSwYEVqfY9B,https://i.ebayimg.com/images/g/V5QAAeSwYEVqfY9B/s-l225.jpg
抄底,-53%,5399.99,11,112.0,[Top MINT] CONTAX 645 Film Camera AE Finder MFB-1A 120/220 From JAPAN,contax mfb-1a,Contax,Film Cameras,Used,2549.99,USD,FIXED_PRICE,grail:645;good-cond,JP,japan-trade810,98.9,2026-08-13T05:20:53.000Z,,https://www.ebay.com/itm/117356649810?hash=item1b53005d52:g:068AAeSwNtZqfVR1,https://i.ebayimg.com/images/g/068AAeSwNtZqfVR1/s-l225.jpg
抄底,-86%,299.0,59,111.0,For Mamiya Press 6x7 6x9 Film Back Holder Pre-Cut Replacement Light seal #AN0070,mamiya press back,Mamiya,Film Cameras,New,40.5,USD,FIXED_PRICE,grail:6x7,JP,george.-5078,100.0,2026-08-14T00:03:45.000Z,,https://www.ebay.com/itm/287523599508?hash=item42f1bdf494:g:VwwAAOSw-4Bjrk76,https://i.ebayimg.com/images/g/VwwAAOSw-4Bjrk76/s-l225.jpg
抄底,-55%,500.0,80,107.0,Bronica ETRSi 645 Medium Format Film Camera Body ETR-Si *Read #740,bronica etrsi,Bronica,Film Cameras,Good - Refurbished,224.7,USD,"FIXED_PRICE,BEST_OFFER",grail:645,US,robertscamera,99.8,2026-08-13T13:43:58.000Z,,https://www.ebay.com/itm/206488116648?hash=item3013a69da8:g:lpsAAeSw5UJqfcoN,https://i.ebayimg.com/images/g/lpsAAeSw5UJqfcoN/s-l225.jpg
抄底,-63%,110.02,80,106.0,For Mamiya RB67 / 67Pro / 67Pro S Pre-Cut Replacement Light seal #AN220071,mamiya rb67,Mamiya,Film Cameras,New,40.5,USD,FIXED_PRICE,grail:RB67,JP,george.-5078,100.0,2026-08-14T00:05:02.000Z,,https://www.ebay.com/itm/287523601175?hash=item42f1bdfb17:g:aJIAAOSwnjZjq7Qo,https://i.ebayimg.com/images/g/aJIAAOSwnjZjq7Qo/s-l225.jpg
抄底,-62%,260.0,80,106.0,[Exc+5 READ] KONICA PEARL II Rangefinder Camera 6x4.5cm Hexar 75mm f/3.5 JAPAN,konica hexar,Konica,Film Cameras,Used,99.99,USD,FIXED_PRICE,grail:Hexar;good-cond,JP,maui_camera_japan,100.0,2026-08-14T01:42:27.000Z,,https://www.ebay.com/itm/287523793724?hash=item42f1c0eb3c:g:fegAAOSwildoEvXE,https://i.ebayimg.com/images/g/fegAAOSwildoEvXE/s-l225.jpg
超值,-27%,273.25,80,106.0,[Exc+5] Contax Carl Zeiss Sonnar T 90mm f/2.8 MMJ MF Lens C/Y Mount From JAPAN,contax carl zeiss,Contax,Film Cameras,Used,199.0,USD,FIXED_PRICE,grail:Sonnar;mount:contax/yashica;good-cond,JP,ryousui,97.1,2026-08-14T02:20:14.000Z,,https://www.ebay.com/itm/398283278303?hash=item5cbb8887df:g:G00AAeSwgsZqfnvZ,https://i.ebayimg.com/images/g/G00AAeSwgsZqfnvZ/s-l225.jpg
