寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,101.0,Canon Canonet QL17 45mm f/1.7 Rangefinder Film Camera For Parts,Canon,Film Cameras,Used,40.0,USD,FIXED_PRICE,22,1600,grail:Canonet;as-is;underpriced(med 198),JP,japanese.wholesaler.oden,99.5,2026-08-07T02:24:56.000Z,,https://www.ebay.com/itm/377400343436?hash=item57ded03b8c:g:FGMAAeSwVnNqdT9h,https://i.ebayimg.com/images/g/FGMAAeSwVnNqdT9h/s-l225.jpg
残件/按现状,100.0,[Exc+5 Meter not working] Canon AE-1 P Program 35mm SLR Film Camera Silver JAPAN,Canon,Film Cameras,Used,61.5,USD,FIXED_PRICE,9,1600,grail:AE-1;good-cond;as-is;underpriced(med 198),JP,hiriiz-66,100.0,2026-08-07T10:54:29.000Z,,https://www.ebay.com/itm/168595389169?hash=item2741117af1:g:SPwAAeSwBidqdbof,https://i.ebayimg.com/images/g/SPwAAeSwBidqdbof/s-l225.jpg
图片过小,99.0,"Leica M3-M2-M4-M1, Md, MDa new chrome time setting knob",Leica,Film Cameras,Aperto - mai usato,68.0,USD,"FIXED_PRICE,BEST_OFFER",9,500,grail:Leica M3;mount:minolta md;underpriced(med 900),IT,foto-9698,100.0,2026-08-07T11:13:31.000Z,,https://www.ebay.com/itm/377401148127?hash=item57dedc82df:g:~E4AAeSw2wNqDK5v,https://i.ebayimg.com/images/g/~E4AAeSw2wNqDK5v/s-l225.jpg
残件/按现状,98.0,Pentax Asahi K1000 35mm Film Camera w/ 50mm SMC Pentax-A 1:2 Lens - Fast Ship!,Pentax,Film Cameras,For parts or not working,49.97,USD,FIXED_PRICE,11,1599,grail:K1000;mount:pentax k;underpriced(med 166),US,lushwearstudios,99.9,2026-08-07T05:44:34.000Z,,https://www.ebay.com/itm/147488332946?hash=item2256fd5c92:g:vkEAAOSwq~loQoDI,https://i.ebayimg.com/images/g/vkEAAOSwq~loQoDI/s-l225.jpg
残件/按现状,97.0,Canon Canonet QL17 GIII Camera Read,Canon,Film Cameras,For parts or not working,60.0,USD,FIXED_PRICE,5,1600,grail:Canonet;underpriced(med 198),US,saxmania,100.0,2026-08-07T05:54:45.000Z,,https://www.ebay.com/itm/137595177222?hash=item20094fc906:g:qaIAAeSwp49qdXJw,https://i.ebayimg.com/images/g/qaIAAeSwp49qdXJw/s-l225.jpg
残件/按现状,96.0,*For Parts* Pentax Spotmatic SP & SV Film Camera From Japan #C9-11B,Pentax,Film Cameras,Used,45.22,USD,FIXED_PRICE,19,1600,grail:Spotmatic;as-is;underpriced(med 166),JP,dub0804-55,100.0,2026-08-07T11:45:50.000Z,,https://www.ebay.com/itm/366592075810?hash=item555a972822:g:3YgAAeSw3QdpU7kw,https://i.ebayimg.com/images/g/3YgAAeSw3QdpU7kw/s-l225.jpg
型号不明,94.0,Contax RX Film SLR Camera Body Fully Working from Japan,Contax,Film Cameras,Used,214.99,USD,FIXED_PRICE,11,1200,grail:Contax RX;underpriced(med 750),JP,niigata-japan,99.3,2026-08-07T04:13:01.000Z,,https://www.ebay.com/itm/128014901364?hash=item1dce486074:g:F6UAAeSwG~VqdVwD,https://i.ebayimg.com/images/g/F6UAAeSwG~VqdVwD/s-l225.jpg
查无市价,94.0,"Contax RTS Film Camera Body Fully Functional, Immediate Shipping",Contax,Film Cameras,Used,225.99,USD,FIXED_PRICE,11,1080,grail:Contax RTS;underpriced(med 750),JP,niigata-japan,99.3,2026-08-07T04:13:00.000Z,,https://www.ebay.com/itm/117345205597?hash=item1b5251bd5d:g:zNAAAeSw8TRqdVw0,https://i.ebayimg.com/images/g/zNAAAeSw8TRqdVw0/s-l225.jpg
查无市价,93.0,Metal Brass Silver Chrome Film Advance Lever Replacement for Leica M7 à la Carte,Leica,Film Cameras,New,109.0,USD,"FIXED_PRICE,BEST_OFFER",5,878,grail:Leica M7;underpriced(med 900),CN,zhuanyi.official_store,100.0,2026-08-07T04:47:59.000Z,,https://www.ebay.com/itm/318690545858?hash=item4a336fd0c2:g:454AAeSw2FtpQ7be,https://i.ebayimg.com/images/g/454AAeSw2FtpQ7be/s-l225.jpg
残件/按现状,92.0,Honeywell Pentax SPOTMATIC 35mm SLR Film Camera Body UNTESTED PARTS OR REPAIR,Pentax,Film Cameras,For parts or not working,29.95,USD,"FIXED_PRICE,BEST_OFFER",19,1600,grail:SPOTMATIC;as-is;underpriced(med 166),US,theoldtoolbox,100.0,2026-08-07T01:17:26.000Z,,https://www.ebay.com/itm/178381171517?hash=item298858ab3d:g:FvIAAeSw8Z9qTU3R,https://i.ebayimg.com/images/g/FvIAAeSw8Z9qTU3R/s-l225.jpg
残件/按现状;打包杂件,92.0,Lot of 3 Canon AE-1 film 35mm cameras - AS IS - FOR PARTS,Canon,Film Cameras,For parts or not working,30.0,USD,"FIXED_PRICE,BEST_OFFER",17,1600,grail:AE-1;as-is;underpriced(med 198),US,hknarang,100.0,2026-08-07T00:57:27.000Z,,https://www.ebay.com/itm/117345039552?hash=item1b524f34c0:g:fUIAAeSwBidqdSvW,https://i.ebayimg.com/images/g/fUIAAeSwBidqdSvW/s-l225.jpg
残件/按现状,89.0,Pentax ME super 35mm Film Camera Shutter not firing KT,Pentax,Film Cameras,For parts or not working,27.42,USD,FIXED_PRICE,4,1600,grail:Pentax ME super;underpriced(med 166),AU,scaldis!,99.0,2026-08-07T07:44:16.000Z,,https://www.ebay.com/itm/236991122331?hash=item372dc58b9b:g:F5MAAeSwdSZqdYxu,https://i.ebayimg.com/images/g/F5MAAeSwdSZqdYxu/s-l225.jpg
残件/按现状,89.0,Zoom Not Working 🎦👀⭐Exc+3⭐ Olympus OZ120 Zoom From JAPAN,Olympus,Film Cameras,Used,32.99,USD,FIXED_PRICE,13,1238,good-cond;as-is;underpriced(med 148),JP,positive_star_camera,99.9,2026-08-07T11:45:17.000Z,,https://www.ebay.com/itm/407126835901?hash=item5ecaa682bd:g:Aa4AAeSwQM1p1PVl,https://i.ebayimg.com/images/g/Aa4AAeSwQM1p1PVl/s-l225.jpg
查无市价,89.0,*Exc+5* Nikon EM Film Camera Ai Zoom Nikkor 43-86mm F/3.5 Standard Lens,Nikon,Film Cameras,Used,106.01,USD,FIXED_PRICE,18,0,mount:nikon f;good-cond;underpriced(med 250),JP,hitonaga-0,100.0,2026-08-07T11:50:31.000Z,,https://www.ebay.com/itm/407126845411?hash=item5ecaa6a7e3:g:bRkAAeSwjF1qanfB,https://i.ebayimg.com/images/g/bRkAAeSwjF1qanfB/s-l225.jpg
查无市价,86.0,[EXC+++] Canon Canonet 19 Rangefinder 45mm F1.9 Quick Loading : From JAPAN,Canon,Vintage Cameras,,112.0,USD,FIXED_PRICE,10,1200,grail:Canonet;good-cond,JP,yamazaki-camera,100.0,2026-08-07T04:20:21.000Z,,https://www.ebay.com/itm/178381571018?hash=item29885ec3ca:g:pP4AAeSwj0VqdVxI,https://i.ebayimg.com/images/g/pP4AAeSwj0VqdVxI/s-l225.jpg
型号不明,85.0,[MINT] Nikon Teleconverter TC-201 2X Conversion Lens for F Mount From JAPAN,Nikon,Lenses,Used,48.88,USD,FIXED_PRICE,23,1600,mount:nikon f;good-cond;underpriced(med 220),JP,cheemaru-camera-japan,100.0,2026-08-07T00:34:36.000Z,,https://www.ebay.com/itm/800472978717?hash=itemba5fe8551d:g:MJAAAeSwGbJqdSjV,https://i.ebayimg.com/images/g/MJAAAeSwGbJqdSjV/s-l225.jpg
型号不明,85.0,[MINT] Nikon TC-14A 1.4X Teleconverter for Nikon F Mount From JAPAN,Nikon,Lenses,Used,48.88,USD,FIXED_PRICE,23,1600,mount:nikon f;good-cond;underpriced(med 220),JP,cheemaru-camera-japan,100.0,2026-08-07T00:33:06.000Z,,https://www.ebay.com/itm/800472974431?hash=itemba5fe8445f:g:YVoAAeSwyRFqdSjI,https://i.ebayimg.com/images/g/YVoAAeSwyRFqdSjI/s-l225.jpg
残件/按现状;型号不明,85.0,PENTACON ZI M42 Mount Early Contax W/ Case Made in Germany Shutter Fires Read,Contax,Film Cameras,For parts or not working,74.99,USD,FIXED_PRICE,15,1310,mount:m42;underpriced(med 750),US,quintonk,99.8,2026-08-07T04:07:14.000Z,,https://www.ebay.com/itm/178381530429?hash=item29885e253d:g:m-QAAeSwAVhqdVlu,https://i.ebayimg.com/images/g/m-QAAeSwAVhqdVlu/s-l225.jpg
查无市价,84.0,"Zeiss Ikon Contaflex Super BC with Tessar 50mm f/2.8m Filter, Rubber Lens Hood",Zeiss,Vintage Cameras,,59.0,USD,"FIXED_PRICE,AUCTION",6,1600,grail:Tessar;auction,US,fedka,100.0,2026-08-07T02:09:00.000Z,2026-08-14T02:09:00.000Z,https://www.ebay.com/itm/227465449504?hash=item34f5ff5020:g:07YAAeSwbG9qYZtu,https://i.ebayimg.com/images/g/07YAAeSwbG9qYZtu/s-l225.jpg
查无市价,84.0,HASSELBLAD E16 645 Type IV Shuriro Film Back 259410,Hasselblad,Film Cameras,Used,698.13,USD,FIXED_PRICE,8,1200,grail:645;underpriced(med 1999),JP,digree_japan,99.7,2026-08-07T06:07:28.000Z,,https://www.ebay.com/itm/307112096451?hash=item47814eb2c3:g:BGcAAeSwwhdqdXaZ,https://i.ebayimg.com/images/g/BGcAAeSwwhdqdXaZ/s-l225.jpg
残件/按现状,83.0,Canon DEMI & Olympus 35ED Vintage Film Cameras – Junk / Not Working,Canon,Film Cameras,For parts or not working,37.71,USD,"FIXED_PRICE,AUCTION",23,1477,as-is;underpriced(med 198);auction,JP,rt2308,100.0,2026-08-07T07:48:25.000Z,2026-08-14T07:48:25.000Z,https://www.ebay.com/itm/278255184915?hash=item40c94d2c13:g:mnQAAeSwvdxqbE84,https://i.ebayimg.com/images/g/mnQAAeSwvdxqbE84/s-l225.jpg
残件/按现状,83.0,AF Not working 🎦👀⭐Exc+3⭐ Canon EOS 5 QD QUARTZ DATE Body SLR From JAPAN,Canon,Film Cameras,Used,65.99,USD,FIXED_PRICE,12,1043,good-cond;as-is;underpriced(med 198),JP,positive_star_camera,99.9,2026-08-07T11:50:03.000Z,,https://www.ebay.com/itm/407126844533?hash=item5ecaa6a475:g:4TMAAeSwcdNp1Pd6,https://i.ebayimg.com/images/g/4TMAAeSwcdNp1Pd6/s-l225.jpg
残件/按现状,81.0,Olympus AFL Quick Flash 35mm Film Camera Zuiko 38mm f/2.8 Untested Parts Repair,Olympus,Film Cameras,For parts or not working,34.99,USD,"FIXED_PRICE,BEST_OFFER",9,1600,mount:olympus om;as-is;underpriced(med 148),US,hoy_sauce,99.7,2026-08-07T00:26:16.000Z,,https://www.ebay.com/itm/137594468934?hash=item200944fa46:g:gQkAAeSw9PpqS9ie,https://i.ebayimg.com/images/g/gQkAAeSw9PpqS9ie/s-l225.jpg
残件/按现状,81.0,Canon EOS Rebel 2000 35mm Film Camera w/ EF 28-80mm UNTESTED,Canon,Film Cameras,For parts or not working,39.99,USD,FIXED_PRICE,7,1600,mount:canon ef;as-is;underpriced(med 198),US,djs_hidden_treasures,99.9,2026-08-07T00:48:20.000Z,,https://www.ebay.com/itm/398258246413?hash=item5cba0a930d:g:Xw8AAeSwbjtqdStG,https://i.ebayimg.com/images/g/Xw8AAeSwbjtqdStG/s-l225.jpg
残件/按现状,79.0,*For Parts* Yashica J-5 & Canon FTb-n QL Film Camera From Japan #R9-24D,Yashica,Film Cameras,Used,25.33,USD,FIXED_PRICE,23,1600,as-is;underpriced(med 114),JP,dub0804-55,100.0,2026-08-07T11:45:50.000Z,,https://www.ebay.com/itm/366592075830?hash=item555a972836:g:XeMAAOSw82xnCHTW,https://i.ebayimg.com/images/g/XeMAAOSw82xnCHTW/s-l225.jpg
残件/按现状,79.0,Canon Demi Red 35mm Half Frame Film Camera SH 28mm F2.8 Japan For Parts,Canon,Vintage Cameras,,35.0,USD,FIXED_PRICE,23,1600,as-is;underpriced(med 227),JP,japanese.wholesaler.oden,99.5,2026-08-07T00:54:46.000Z,,https://www.ebay.com/itm/377400244827?hash=item57deceba5b:g:NOcAAeSwv8xqdSmd,https://i.ebayimg.com/images/g/NOcAAeSwv8xqdSmd/s-l225.jpg
残件/按现状,79.0,Canon AF35ML Autoboy Super 35mm P&S Camera 40mm F1.9 FLASH NOT WORKING AS-IS,Canon,Film Cameras,Used,59.99,USD,FIXED_PRICE,8,1600,as-is;underpriced(med 198),JP,takosuke_camera_japan,100.0,2026-08-07T12:16:42.000Z,,https://www.ebay.com/itm/188756661489?hash=item2bf2c614f1:g:yFcAAOSw7eRm67o2,https://i.ebayimg.com/images/g/yFcAAOSw7eRm67o2/s-l225.jpg
型号不明,79.0,Canon Extender EXT EF 1.4X Teleconverter EF Mount w/ Cap Tested Opt MINT JAPAN,Canon,Lenses,Used,99.98,USD,FIXED_PRICE,11,1600,mount:canon ef;good-cond;underpriced(med 245),JP,yj_camera,100.0,2026-08-07T00:59:58.000Z,,https://www.ebay.com/itm/137594549620?hash=item2009463574:g:81IAAeSwblZoopEf,https://i.ebayimg.com/images/g/81IAAeSwblZoopEf/s-l225.jpg
查无市价,78.0,[Almost MINT] Pentax Wood Hot Shoe Hand Grip For Pentax 6x7 67 67II From JAPAN,Pentax,Film Cameras,Used,149.99,USD,FIXED_PRICE,23,1600,grail:6x7;good-cond,JP,koki_camera_japan,99.3,2026-08-07T06:53:36.000Z,,https://www.ebay.com/itm/366591662888?hash=item555a90db28:g:VQgAAeSwfDJqdYGn,https://i.ebayimg.com/images/g/VQgAAeSwfDJqdYGn/s-l225.jpg
查无市价,78.0,*Near Mint ++* Hasselblad 503CW Black CF 80mm F/2.8 Acute Screen A12 IV FB & PME,Hasselblad,Film Cameras,Used,4599.99,USD,FIXED_PRICE,22,1600,grail:503CW;mount:hasselblad v;good-cond,JP,hitonaga-0,100.0,2026-08-07T11:50:31.000Z,,https://www.ebay.com/itm/407126845423?hash=item5ecaa6a7ef:g:-78AAOSwN2lnRnW6,https://i.ebayimg.com/images/g/-78AAOSwN2lnRnW6/s-l225.jpg
查无市价,78.0,Yellow [Near MINT] Hasselblad 503CW Camera CF 80mm Lens PME3 A24 IV from JAPAN,Hasselblad,Film Cameras,Used,4988.0,USD,FIXED_PRICE,18,1600,grail:503CW;mount:hasselblad v;good-cond,JP,taabo93,100.0,2026-08-07T11:10:23.000Z,,https://www.ebay.com/itm/137595961124?hash=item20095bbf24:g:HyYAAeSwinpqdb1o,https://i.ebayimg.com/images/g/HyYAAeSwinpqdb1o/s-l225.jpg
残件/按现状,76.0,JUNK Olympus mju Zoom 115 Deluxe 35mm Film Camera Flash Issue As Is Japan,Olympus,Film Cameras,For parts or not working,88.0,USD,"FIXED_PRICE,BEST_OFFER",7,1080,grail:mju;as-is,JP,sakura1k83,100.0,2026-08-07T04:21:49.000Z,,https://www.ebay.com/itm/407126110624?hash=item5eca9b71a0:g:OnsAAeSw-wlqdV1T,https://i.ebayimg.com/images/g/OnsAAeSw-wlqdV1T/s-l225.jpg
残件/按现状,75.0,Yashica Electro 35 GS 35mm Rangefinder Film Camera Yashinon 45mm f/1.7 UNTESTED,Yashica,Film Cameras,For parts or not working,27.0,USD,FIXED_PRICE,8,1600,as-is;underpriced(med 114),US,waterfrontrescuemission,99.7,2026-08-07T10:13:38.000Z,,https://www.ebay.com/itm/318691856519?hash=item4a3383d087:g:ppYAAeSwYaxqYSbR,https://i.ebayimg.com/images/g/ppYAAeSwYaxqYSbR/s-l225.jpg
