寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,110.0,[Exc+5] Contax RTS Black 35mm SLR Film Camera Body Self-Timer Not Working JAPAN,Contax,Film Cameras,Used,79.99,USD,FIXED_PRICE,23,1600,grail:Contax RTS;good-cond;as-is;underpriced(med 625),JP,isshin39,100.0,2026-08-19T12:00:10.000Z,,https://www.ebay.com/itm/198581874869?hash=item2e3c66f0b5:g:hvAAAeSwKVxqhZuI,https://i.ebayimg.com/images/g/hvAAAeSwKVxqhZuI/s-l225.jpg
查无市价,104.0,(Near Mint) Contax RTS I Body Working Item #3013839-A8-R6 From Japan,Contax,Film Cameras,Used,160.37,USD,FIXED_PRICE,9,1200,grail:Contax RTS;good-cond;underpriced(med 625),JP,quorefl-53,100.0,2026-08-19T09:01:02.000Z,,https://www.ebay.com/itm/800533314546?hash=itemba6380fbf2:g:tiAAAeSwicVqhXGt,https://i.ebayimg.com/images/g/tiAAAeSwicVqhXGt/s-l225.jpg
残件/按现状,102.0,Mamiya 23 Standard Press 6x7 Roll Film Camera Body #G164,Mamiya,Film Cameras,For parts or not working,27.08,USD,"FIXED_PRICE,BEST_OFFER",7,1600,grail:6x7;underpriced(med 459),US,robertscamera,99.8,2026-08-19T13:07:01.000Z,,https://www.ebay.com/itm/407156057276?hash=item5ecc6464bc:g:Uv8AAeSwrBFqhaps,https://i.ebayimg.com/images/g/Uv8AAeSwrBFqhaps/s-l225.jpg
残件/按现状,101.0,[JUNK] Canon CANONET QL17 35mm Film Camera For Parts Untested As Is Japan,Canon,Film Cameras,For parts or not working,40.0,USD,"FIXED_PRICE,BEST_OFFER",15,1599,grail:CANONET;as-is;underpriced(med 160),JP,gaku_japan,100.0,2026-08-20T06:13:09.000Z,,https://www.ebay.com/itm/168627328776?hash=item2742f8d708:g:Y0QAAeSwPdNqhpri,https://i.ebayimg.com/images/g/Y0QAAeSwPdNqhpri/s-l225.jpg
残件/按现状,101.0,Canon Canonet QL17 35mm Rangefinder Camera SE 45mm f/1.7 Lens Japan For Parts,Canon,Film Cameras,Used,40.0,USD,FIXED_PRICE,23,1600,grail:Canonet;as-is;underpriced(med 160),JP,japanese.wholesaler.oden,99.5,2026-08-20T01:16:44.000Z,,https://www.ebay.com/itm/377433916930?hash=item57e0d08602:g:niYAAeSwK8xqYdqd,https://i.ebayimg.com/images/g/niYAAeSwK8xqYdqd/s-l225.jpg
残件/按现状,101.0,Canon Canonet QL17 35mm Rangefinder Camera SE 45mm F1.7 For Parts,Canon,Film Cameras,Used,40.0,USD,FIXED_PRICE,22,1600,grail:Canonet;as-is;underpriced(med 160),JP,japanese.wholesaler.oden,99.5,2026-08-20T01:15:36.000Z,,https://www.ebay.com/itm/377433914718?hash=item57e0d07d5e:g:XKIAAeSwRo9qcyva,https://i.ebayimg.com/images/g/XKIAAeSwRo9qcyva/s-l225.jpg
残件/按现状,100.0,[Exc+5 Meter not working] Canon AE-1 P Program 35mm SLR Film Camera Silver JAPAN,Canon,Film Cameras,Used,69.99,USD,FIXED_PRICE,9,1600,grail:AE-1;good-cond;as-is;underpriced(med 160),JP,hiriiz-66,100.0,2026-08-20T05:09:24.000Z,,https://www.ebay.com/itm/168627223717?hash=item2742f73ca5:g:8mwAAeSw1PxqhoxG,https://i.ebayimg.com/images/g/8mwAAeSw1PxqhoxG/s-l225.jpg
图片过小,99.0,"Leica M3-M2-M4-M1, Md, MDa new chrome time setting knob",Leica,Film Cameras,Aperto - mai usato,68.89,USD,"FIXED_PRICE,BEST_OFFER",9,500,grail:Leica M3;mount:minolta md;underpriced(med 1219),IT,foto-9698,100.0,2026-08-20T09:46:56.000Z,,https://www.ebay.com/itm/377434952383?hash=item57e0e052bf:g:~E4AAeSw2wNqDK5v,https://i.ebayimg.com/images/g/~E4AAeSw2wNqDK5v/s-l225.jpg
残件/按现状,98.0,Canon AE-1 Program 35mm SLR + FD 50mm f/1.8 S.C. Lens PARTS/REPAIR Winder Issue,Canon,Film Cameras,For parts or not working,48.5,USD,"FIXED_PRICE,BEST_OFFER",6,1054,grail:AE-1;mount:canon fd;underpriced(med 160),US,precisiontradeco,100.0,2026-08-20T03:28:03.000Z,,https://www.ebay.com/itm/257691855236?hash=item3bffa1a984:g:Pj8AAeSw2o5qhnR0,https://i.ebayimg.com/images/g/Pj8AAeSw2o5qhnR0/s-l225.jpg
残件/按现状,96.0,AS-IS Canon AE-1 Silver *For Parts or Repair Z2836,Canon,Film Cameras,For parts or not working,44.99,USD,"FIXED_PRICE,BEST_OFFER",14,1600,grail:AE-1;as-is;underpriced(med 160),JP,tsurujapan532,100.0,2026-08-20T05:30:49.000Z,,https://www.ebay.com/itm/178425499093?hash=item298afd0dd5:g:KmEAAeSwTtFqhnZz,https://i.ebayimg.com/images/g/KmEAAeSwTtFqhnZz/s-l225.jpg
