性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-50%,5049.94,24,116.0,[ N MINT ] CONTAX 645 Film Camera AE Finder MFB-1 120/220 From JAPAN #18909,contax mfb-1,Contax,Film Cameras,Used,2499.99,USD,FIXED_PRICE,grail:645;good-cond,JP,z1came-0,99.8,2026-08-19T09:23:57.000Z,,https://www.ebay.com/itm/407155446238?hash=item5ecc5b11de:g:9VYAAeSw04tqhXXG,https://i.ebayimg.com/images/g/9VYAAeSw04tqhXXG/s-l225.jpg
抄底,-56%,3824.49,6,108.0,HASSELBLAD 501CM w/ Prism Finder PM90 A12 Type II *READ* [Exc++] US Stock,hasselblad pm90,Hasselblad,Film Cameras,Good - Refurbished,1692.6,USD,FIXED_PRICE,grail:501CM;good-cond,US,flagshipcamera,99.8,2026-08-19T01:41:44.000Z,,https://www.ebay.com/itm/307134414697?hash=item4782a33f69:g:1GkAAeSwykppqOkh,https://i.ebayimg.com/images/g/1GkAAeSwykppqOkh/s-l225.jpg
抄底,-55%,289.99,80,106.0,Video*[Exc] Mamiya Sekor 50mm f/4.5 Wide Angle Lens RB67 Pro S SD from JAPAN #01,mamiya sekor 50mm f4.5,Mamiya,Lenses,Used,129.99,USD,"FIXED_PRICE,BEST_OFFER",grail:RB67;good-cond,JP,japan_cameras_store,99.4,2026-08-18T05:47:18.000Z,,https://www.ebay.com/itm/158200968410?hash=item24d58334da:g:ZMoAAeSwqn9qg~HW,https://i.ebayimg.com/images/g/ZMoAAeSwqn9qg~HW/s-l225.jpg
抄底,-70%,799.99,36,106.0,[Top MINT] Zenza Bronica Zenzanon-S 80mm f/2.8 Lens For SQ A Ai Am B From JAPAN,bronica 80mm f2.8,Bronica,Lenses,Used,239.99,USD,FIXED_PRICE,grail:Bronica Zenzanon;good-cond,JP,ham_7373,100.0,2026-08-18T10:03:56.000Z,,https://www.ebay.com/itm/366613177902?hash=item555bd9262e:g:ksAAAeSw0KVqhC86,https://i.ebayimg.com/images/g/ksAAAeSw0KVqhC86/s-l225.jpg
抄底,-69%,799.99,36,106.0,[Mint] Bronica Zenzanon PS 80mm f2.8 Manual Lens for Bronica SQ SQ-A SQ-Ai JAPAN,bronica 80mm f2.8,Bronica,Lenses,Used,249.99,USD,FIXED_PRICE,grail:Bronica Zenzanon;good-cond,JP,tsukada.camera.japan,100.0,2026-08-18T10:40:45.000Z,,https://www.ebay.com/itm/366613243093?hash=item555bda24d5:g:MEMAAeSwa1BqhDbz,https://i.ebayimg.com/images/g/MEMAAeSwa1BqhDbz/s-l225.jpg
抄底,-48%,599.0,35,106.0,[Near MINT] Leica CANADA ELMAR 65mm F/3.5 Visoflex Lens Chrome From JAPAN A118,leica elmar 65mm f3.5,Leica,Lenses,Used,309.99,USD,FIXED_PRICE,grail:ELMAR;good-cond,JP,arorin-camera-tokyo-japan,99.5,2026-08-18T08:16:30.000Z,,https://www.ebay.com/itm/158201301662?hash=item24d5884a9e:g:RXQAAeSwZERqhBUg,https://i.ebayimg.com/images/g/RXQAAeSwZERqhBUg/s-l225.jpg
超值,-33%,644.99,58,106.0,[MINT] Contax S2 35mm SLR Film Camera Body C/Y Mount From JAPAN,contax s2,Contax,Film Cameras,Used,429.9,USD,FIXED_PRICE,grail:Contax S2;mount:contax/yashica;good-cond,JP,falcon-4777-jp,100.0,2026-08-18T14:01:51.000Z,,https://www.ebay.com/itm/188811834871?hash=item2bf60ff5f7:g:rUMAAeSwvSNqhGaG,https://i.ebayimg.com/images/g/rUMAAeSwvSNqhGaG/s-l225.jpg
抄底,-47%,899.99,80,102.0,Contax G1 BODY ONLY 35mm Camera,contax g1,Contax,Film Cameras,Used,479.0,USD,"FIXED_PRICE,BEST_OFFER",grail:Contax G1,US,thephotooutfitters,100.0,2026-08-18T18:01:08.000Z,,https://www.ebay.com/itm/298599066677?hash=item4585e42c35:g:XYgAAeSwvEZqhJ1w,https://i.ebayimg.com/images/g/XYgAAeSwvEZqhJ1w/s-l225.jpg
超值,-33%,525.0,21,100.0,Leica R7 Black [Near MINT] 35mm SLR Film Camera Body R Mount Meter Works JAPAN,leica r7,Leica,Film Cameras,Used,349.99,USD,FIXED_PRICE,grail:Leica R7;good-cond,JP,kaho_camera,100.0,2026-08-19T02:28:54.000Z,,https://www.ebay.com/itm/188814586080?hash=item2bf639f0e0:g:SpcAAeSw2G9qhUtb,https://i.ebayimg.com/images/g/SpcAAeSw2G9qhUtb/s-l225.jpg
超值,-44%,899.99,80,100.0,[ Near Mint +++ ] Contax G1 Rangefinder 35mm Film Camera Body From JAPAN,contax g1,Contax,Film Cameras,Used,499.99,USD,FIXED_PRICE,grail:Contax G1;good-cond,JP,bais_4223,100.0,2026-08-18T06:32:22.000Z,,https://www.ebay.com/itm/800527419790?hash=itemba6327098e:g:xk4AAeSw9Idqg~tk,https://i.ebayimg.com/images/g/xk4AAeSw9Idqg~tk/s-l225.jpg
