性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
抄底,-59%,797.45,30,121.0,[N MINT/ Strap] Zenza Bronica GS-1 6x7 Medium Format Film Camera Body From JAPAN,bronica gs-1,Bronica,Film Cameras,Used,329.99,USD,FIXED_PRICE,grail:6x7;good-cond,JP,ham_7373,100.0,2026-08-11T11:17:29.000Z,,https://www.ebay.com/itm/366598824135?hash=item555afe20c7:g:QNAAAeSw3T9qewVD,https://i.ebayimg.com/images/g/QNAAAeSw3T9qewVD/s-l225.jpg
抄底,-75%,482.42,80,112.0,Mamiya RZ67 PRO / PRO II 220 Roll Film Back with Exterior Damage EF-1664,mamiya rz67,Mamiya,Film Cameras,Used,120.8,USD,"FIXED_PRICE,BEST_OFFER",grail:RZ67;mount:canon ef,JP,kumsjapan,99.3,2026-08-11T12:50:09.000Z,,https://www.ebay.com/itm/278269304647?hash=item40ca249f47:g:3nAAAeSwfoNqexts,https://i.ebayimg.com/images/g/3nAAAeSwfoNqexts/s-l225.jpg
抄底,-79%,342.0,24,111.0,[Near Mint] Genuine Nikon MF-16 Data Back for FA FE2 FM2 FM3A From Japan,nikon mf-16,Nikon,Film Cameras,Used,71.3,USD,"FIXED_PRICE,BEST_OFFER",grail:FM2;good-cond,JP,growz9652,100.0,2026-08-11T23:56:18.000Z,,https://www.ebay.com/itm/188778815889?hash=item2bf4182191:g:xeoAAeSw65pqe7Y0,https://i.ebayimg.com/images/g/xeoAAeSw65pqe7Y0/s-l225.jpg
抄底,-52%,5999.45,20,111.0,[Top MINT in Case] Contax Carl Zeiss Planar T* 80mm F/2 Lens for 645 From JAPAN,contax planar 80mm f2,Contax,Lenses,Used,2899.99,USD,"FIXED_PRICE,BEST_OFFER",grail:645;good-cond,JP,asakusa-camera-japan,100.0,2026-08-11T06:56:32.000Z,,https://www.ebay.com/itm/398272933428?hash=item5cbaeaae34:g:WL4AAeSwm-VqJzNU,https://i.ebayimg.com/images/g/WL4AAeSwm-VqJzNU/s-l225.jpg
抄底,-92%,644.99,58,106.0,For Contax S2 / S2b Pre-Cut Replacement Leather Seal 13 Colors From Japan #AN029,contax s2,Contax,Film Cameras,New,49.5,USD,FIXED_PRICE,grail:Contax S2,JP,george.-5078,100.0,2026-08-11T17:35:46.000Z,,https://www.ebay.com/itm/287519081762?hash=item42f1790522:g:c3UAAOSw9ulkMrYP,https://i.ebayimg.com/images/g/c3UAAOSw9ulkMrYP/s-l225.jpg
抄底,-76%,482.42,80,106.0,[Unused Item] MAMIYA RZ67 Land Pack Film Holder [Land Pack Film Holder el 3 RZ],mamiya rz67,Mamiya,Film Cameras,Used,117.11,USD,"FIXED_PRICE,BEST_OFFER",grail:RZ67,JP,kumsjapan,99.3,2026-08-11T12:50:09.000Z,,https://www.ebay.com/itm/318713061944?hash=item4a34c76238:g:grUAAeSw3lhqexs7,https://i.ebayimg.com/images/g/grUAAeSw3lhqexs7/s-l225.jpg
抄底,-55%,271.5,72,106.0,Genuine Leather Camera Case 14569 2 Quick Release Case for Leica R4 R5 R6 R6.2,leica r4,Leica,Film Cameras,Used,120.98,USD,"FIXED_PRICE,BEST_OFFER",grail:Leica R4,JP,kumsjapan,99.3,2026-08-11T12:50:09.000Z,,https://www.ebay.com/itm/318713061950?hash=item4a34c7623e:g:uXAAAeSw3DNqexux,https://i.ebayimg.com/images/g/uXAAAeSw3DNqexux/s-l225.jpg
抄底,-58%,299.99,80,106.0,Mamiya 645 Prism Finder #0608-2 1831,mamiya prism finder,Mamiya,Film Cameras,Used,125.83,USD,"FIXED_PRICE,BEST_OFFER",grail:645,JP,kumsjapan,99.3,2026-08-11T12:49:11.000Z,,https://www.ebay.com/itm/318713054736?hash=item4a34c74610:g:d3MAAeSwJvdqext0,https://i.ebayimg.com/images/g/d3MAAeSwJvdqext0/s-l225.jpg
抄底,-68%,482.42,80,106.0,【】Mamiya RZ67 Pro 220 Roll Film Back Holder For PRO PRO II Mamiya Film Back,mamiya rz67,Mamiya,Film Cameras,Used,154.77,USD,"FIXED_PRICE,BEST_OFFER",grail:RZ67,JP,kumsjapan,99.3,2026-08-11T12:44:17.000Z,,https://www.ebay.com/itm/358912983840?hash=item5390e18320:g:LKsAAeSwDzRqexpS,https://i.ebayimg.com/images/g/LKsAAeSwDzRqexpS/s-l225.jpg
抄底,-61%,799.99,36,106.0,[TOP MINT] Zenza Bronica ZENZANON-PS 80mm f/2.8 Lens for SQ SQ-A SQ-Ai JAPAN,bronica 80mm f2.8,Bronica,Lenses,Used,309.99,USD,FIXED_PRICE,grail:Bronica ZENZANON;good-cond,JP,isshin39,100.0,2026-08-11T13:31:49.000Z,,https://www.ebay.com/itm/198563551802?hash=item2e3b4f5a3a:g:QrQAAeSwwSNqeyVR,https://i.ebayimg.com/images/g/QrQAAeSwwSNqeyVR/s-l225.jpg
抄底,-80%,2452.31,80,106.0,Mamiya 645 Macro 80mm F4 N Camera Lens with Rear Cap From Japan,mamiya f4,Mamiya,Film Cameras,Used,496.99,USD,FIXED_PRICE,grail:645,JP,niigata-japan,99.3,2026-08-12T01:29:20.000Z,,https://www.ebay.com/itm/128021899672?hash=item1dceb32998:g:jrcAAeSw6z1qe80o,https://i.ebayimg.com/images/g/jrcAAeSw6z1qe80o/s-l225.jpg
抄底,-56%,1399.99,55,106.0,[ Near MINT ] Pentax 645 Medium Format Film Camera 75mm f/2.8 Lens From JAPAN,pentax 75mm f2.8,Pentax,Film Cameras,Used,619.99,USD,FIXED_PRICE,grail:645;good-cond,JP,kid1173,99.7,2026-08-11T16:38:58.000Z,,https://www.ebay.com/itm/188777276100?hash=item2bf400a2c4:g:XKwAAeSw~cFqe0~2,https://i.ebayimg.com/images/g/XKwAAeSw~cFqe0~2/s-l225.jpg
