寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
查无市价,106.0,Contax 139 Quartz Black 35mm SLR Film Camera Body with Lens Attached,Contax,Vintage Cameras,,35.0,USD,"FIXED_PRICE,AUCTION",1,1600,grail:Contax 139;underpriced(med 194);auction,US,caod22,100.0,2026-08-20T18:14:09.000Z,2026-08-27T18:14:09.000Z,https://www.ebay.com/itm/307137717828?hash=item4782d5a644:g:jK0AAeSwie9qh0O1,https://i.ebayimg.com/images/g/jK0AAeSwie9qh0O1/s-l225.jpg
查无市价,104.0,[Near MINT] Leica IIIa Ernst Leitz Wetzlar Rangefinder Film Camera From JAPAN,Leica,Film Cameras,Used,299.99,USD,FIXED_PRICE,12,1600,grail:Leica IIIa;good-cond;underpriced(med 1210),JP,mirai_camera_shop_japan,100.0,2026-08-20T15:05:43.000Z,,https://www.ebay.com/itm/398307978735?hash=item5cbd016def:g:ymAAAeSwOa9qhxtm,https://i.ebayimg.com/images/g/ymAAAeSwOa9qhxtm/s-l225.jpg
查无市价,104.0,[MINT+++] Leica IIIa Ernst Leitz Wetzlar Rangefinder Film Camera From JAPAN,Leica,Film Cameras,Used,329.99,USD,FIXED_PRICE,11,1600,grail:Leica IIIa;good-cond;underpriced(med 1210),JP,mublo_8,100.0,2026-08-21T04:13:57.000Z,,https://www.ebay.com/itm/398310091869?hash=item5cbd21ac5d:g:GtMAAeSwzadqh9Gk,https://i.ebayimg.com/images/g/GtMAAeSwzadqh9Gk/s-l225.jpg
残件/按现状,102.0,Minolta Hi-Matic 7s 35mm Rangefinder Camera Rokkor-PF 45mm f1.8 Lens For Parts,Minolta,Film Cameras,Used,35.0,USD,FIXED_PRICE,20,1600,grail:Hi-Matic;mount:minolta md;as-is;underpriced(med 95),JP,japanese.wholesaler.oden,99.5,2026-08-21T01:23:14.000Z,,https://www.ebay.com/itm/377437170165?hash=item57e10229f5:g:rfwAAeSwbLhqh6cq,https://i.ebayimg.com/images/g/rfwAAeSwbLhqh6cq/s-l225.jpg
残件/按现状,102.0,Zeiss Ikon Contaflex 35mm Film Camera Tessar 45mm F/2.8 Germany w/ Case UNTESTED,Zeiss,Film Cameras,For parts or not working,44.98,USD,"FIXED_PRICE,BEST_OFFER",23,1600,grail:Tessar;as-is;underpriced(med 286),US,billfam5,100.0,2026-08-20T14:44:11.000Z,,https://www.ebay.com/itm/227484168377?hash=item34f71cf0b9:g:7ZkAAeSwXf5qCmp8,https://i.ebayimg.com/images/g/7ZkAAeSwXf5qCmp8/s-l225.jpg
残件/按现状,102.0,Contax 139 Quartz 35mm SLR Film Camera Body W/ Strap - UNTESTED FOR PARTS/REPAIR,Contax,Film Cameras,For parts or not working,49.99,USD,FIXED_PRICE,6,946,grail:Contax 139;as-is;underpriced(med 625),US,electricalboutique,99.2,2026-08-20T17:28:59.000Z,,https://www.ebay.com/itm/327319592826?hash=item4c35c49f7a:g:BmIAAeSwijdqhzi0,https://i.ebayimg.com/images/g/BmIAAeSwijdqhzi0/s-l225.jpg
查无市价,102.0,Rollei XF 35 35mm Camera w/Sonnar 40mm f2.3 Lens Working But Not Film Tested,Rollei,Film Cameras,Used,89.95,USD,FIXED_PRICE,7,1600,grail:Sonnar;mount:fuji x;underpriced(med 408),US,polaroid-sx70,100.0,2026-08-20T17:35:43.000Z,,https://www.ebay.com/itm/257693157403?hash=item3bffb5881b:g:KYYAAeSwKVhqhzpH,https://i.ebayimg.com/images/g/KYYAAeSwKVhqhzpH/s-l225.jpg
残件/按现状,101.0,Canon Canonet QL17 35mm Film Rangefinder camera SE 45mm f1.7 For Parts,Canon,Film Cameras,Used,35.0,USD,FIXED_PRICE,20,1600,grail:Canonet;as-is;underpriced(med 160),JP,japanese.wholesaler.oden,99.5,2026-08-21T02:38:55.000Z,,https://www.ebay.com/itm/377437307935?hash=item57e104441f:g:LwAAAeSwNoNqh7fS,https://i.ebayimg.com/images/g/LwAAAeSwNoNqh7fS/s-l225.jpg
残件/按现状,101.0,[JUNK] Canon CANONET QL17 35mm Film Camera For Parts Untested As Is Japan,Canon,Film Cameras,For parts or not working,40.0,USD,"FIXED_PRICE,BEST_OFFER",15,1599,grail:CANONET;as-is;underpriced(med 160),JP,gaku_japan,100.0,2026-08-20T06:13:09.000Z,,https://www.ebay.com/itm/168627328776?hash=item2742f8d708:g:Y0QAAeSwPdNqhpri,https://i.ebayimg.com/images/g/Y0QAAeSwPdNqhpri/s-l225.jpg
残件/按现状,100.0,[Exc+5 Meter not working] Canon AE-1 P Program 35mm SLR Film Camera Silver JAPAN,Canon,Film Cameras,Used,69.99,USD,FIXED_PRICE,9,1600,grail:AE-1;good-cond;as-is;underpriced(med 160),JP,hiriiz-66,100.0,2026-08-20T05:09:24.000Z,,https://www.ebay.com/itm/168627223717?hash=item2742f73ca5:g:8mwAAeSw1PxqhoxG,https://i.ebayimg.com/images/g/8mwAAeSw1PxqhoxG/s-l225.jpg
