寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,110.0,[Exc+5] Contax RTS Black 35mm SLR Film Camera Body Self-Timer Not Working JAPAN,Contax,Film Cameras,Used,79.99,USD,FIXED_PRICE,23,1600,grail:Contax RTS;good-cond;as-is;underpriced(med 625),JP,isshin39,100.0,2026-08-19T12:00:10.000Z,,https://www.ebay.com/itm/198581874869?hash=item2e3c66f0b5:g:hvAAAeSwKVxqhZuI,https://i.ebayimg.com/images/g/hvAAAeSwKVxqhZuI/s-l225.jpg
残件/按现状,106.0,AS IS REPAIR Contax RTS 35mm SLR Film Camera Only Made in Japan,Contax,Film Cameras,For parts or not working,29.0,USD,FIXED_PRICE,13,1600,grail:Contax RTS;as-is;underpriced(med 625),JP,best-film-camera,99.9,2026-08-18T19:03:05.000Z,,https://www.ebay.com/itm/137636366393?hash=item200bc44839:g:AFcAAeSwL3Vqg-l7,https://i.ebayimg.com/images/g/AFcAAeSwL3Vqg-l7/s-l225.jpg
查无市价,104.0,(Near Mint) Contax RTS I Body Working Item #3013839-A8-R6 From Japan,Contax,Film Cameras,Used,160.37,USD,FIXED_PRICE,9,1200,grail:Contax RTS;good-cond;underpriced(med 625),JP,quorefl-53,100.0,2026-08-19T09:01:02.000Z,,https://www.ebay.com/itm/800533314546?hash=itemba6380fbf2:g:tiAAAeSwicVqhXGt,https://i.ebayimg.com/images/g/tiAAAeSwicVqhXGt/s-l225.jpg
残件/按现状,102.0,Mamiya 23 Standard Press 6x7 Roll Film Camera Body #G164,Mamiya,Film Cameras,For parts or not working,27.08,USD,"FIXED_PRICE,BEST_OFFER",7,1600,grail:6x7;underpriced(med 459),US,robertscamera,99.8,2026-08-19T13:07:01.000Z,,https://www.ebay.com/itm/407156057276?hash=item5ecc6464bc:g:Uv8AAeSwrBFqhaps,https://i.ebayimg.com/images/g/Uv8AAeSwrBFqhaps/s-l225.jpg
残件/按现状,102.0,Leica IIIf Shell/Body,Leica,Film Cameras,For parts or not working,45.0,USD,"FIXED_PRICE,BEST_OFFER",4,1600,grail:Leica IIIf;underpriced(med 1273),US,delta1on1,100.0,2026-08-18T23:25:54.000Z,,https://www.ebay.com/itm/298599650806?hash=item4585ed15f6:g:ixAAAeSwRqBqhOmu,https://i.ebayimg.com/images/g/ixAAAeSwRqBqhOmu/s-l225.jpg
型号不明,100.0,[Exc+4] Leitz Leica Elmar 5cm f/2.8 Collapsible Vintage Lens L39 LTM From Japan,Leitz,Lenses,Used,349.99,USD,FIXED_PRICE,9,1600,grail:Elmar;mount:ltm/l39;good-cond;underpriced(med 814),JP,leilanipo_65,99.6,2026-08-18T12:46:34.000Z,,https://www.ebay.com/itm/178419699421?hash=item298aa48edd:g:0Y0AAeSwrd5qhFRp,https://i.ebayimg.com/images/g/0Y0AAeSwrd5qhFRp/s-l225.jpg
残件/按现状,98.0,Canon AE-1 Program FD- 50mm 1.8 Lens As Is For Parts Untested,Canon,Film Cameras,For parts or not working,49.99,USD,FIXED_PRICE,16,966,grail:AE-1;mount:canon fd;as-is;underpriced(med 160),US,flapicker,99.3,2026-08-18T19:16:56.000Z,,https://www.ebay.com/itm/307133924929?hash=item47829bc641:g:EhEAAeSwJK9qhK5t,https://i.ebayimg.com/images/g/EhEAAeSwJK9qhK5t/s-l225.jpg
残件/按现状,96.0,[As-Is/Partially Tested] Olympus μ mju Zoom 105 35mm Film Camera From JAPAN,Olympus,Film Cameras,Used,39.99,USD,FIXED_PRICE,11,1600,grail:mju;as-is;underpriced(med 159),JP,kurmas-12,100.0,2026-08-18T13:17:16.000Z,,https://www.ebay.com/itm/336748880809?hash=item4e67cc23a9:g:lywAAeSwjF1qcfUj,https://i.ebayimg.com/images/g/lywAAeSwjF1qcfUj/s-l225.jpg
残件/按现状,96.0,Leica Z2X Vario Elmar 35-70mm Lens Point & Shoot Camera Parts Or Repair READ,Leica,Film Cameras,For parts or not working,95.0,USD,"FIXED_PRICE,BEST_OFFER",14,1600,grail:Elmar;underpriced(med 1273),US,vanbakerinc,99.8,2026-08-18T15:32:49.000Z,,https://www.ebay.com/itm/278292882697?hash=item40cb8c6509:g:R1oAAeSw9XJqhIVA,https://i.ebayimg.com/images/g/R1oAAeSw9XJqhIVA/s-l225.jpg
查无市价,93.0,Contax PREVIEW Polaroid (Near Mint) Working Item #9001 NI.JAN.2726 From Japan,Contax,Film Cameras,Used,90.34,USD,FIXED_PRICE,9,0,good-cond;underpriced(med 625),JP,quorefl-53,100.0,2026-08-19T10:46:33.000Z,,https://www.ebay.com/itm/800533718749?hash=itemba638726dd:g:rcMAAeSwIMRqhYq2,https://i.ebayimg.com/images/g/rcMAAeSwIMRqhYq2/s-l225.jpg
