寻宝类型,评分,标题,品牌,类目,成色,价格,币种,购买方式,图片数,图片像素,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
残件/按现状,100.0,Kyocera TD Carl Zeiss Tessar 35mm F3.5 T Compact Film Camera Junk Used,Zeiss,Film Cameras,For parts or not working,82.98,USD,FIXED_PRICE,7,1200,grail:Tessar;as-is;underpriced(med 287),JP,manekineko-japan,98.5,2026-08-22T14:08:22.000Z,,https://www.ebay.com/itm/206509889255?hash=item3014f2d6e7:g:6yYAAeSw5NJqia3R,https://i.ebayimg.com/images/g/6yYAAeSw5NJqia3R/s-l225.jpg
残件/按现状,100.0,CONTAX RTS II QUARTZ Body Film SLR Camera Junk For Parts Japan,Contax,Film Cameras,For parts or not working,129.88,USD,FIXED_PRICE,10,1200,grail:CONTAX RTS;as-is;underpriced(med 625),JP,manekineko-japan,98.5,2026-08-22T14:11:28.000Z,,https://www.ebay.com/itm/206509892045?hash=item3014f2e1cd:g:p6cAAeSwGDJqia5R,https://i.ebayimg.com/images/g/p6cAAeSwGDJqia5R/s-l225.jpg
残件/按现状,100.0,CONTAX RTS II QUARTZ Body Film SLR Camera Junk For Parts Japan,Contax,Film Cameras,For parts or not working,133.85,USD,FIXED_PRICE,10,1200,grail:CONTAX RTS;as-is;underpriced(med 625),JP,manekineko-japan,98.5,2026-08-22T14:13:24.000Z,,https://www.ebay.com/itm/206509893351?hash=item3014f2e6e7:g:-s8AAeSw8NRqia8A,https://i.ebayimg.com/images/g/-s8AAeSw8NRqia8A/s-l225.jpg
残件/按现状,100.0,[For Parts] Mamiya RZ67 Pro Camera Body For Parts Repair As-Is From JAPAN,Mamiya,Film Cameras,For parts or not working,139.99,USD,FIXED_PRICE,12,1600,grail:RZ67;as-is;underpriced(med 460),JP,abc_camera_japan,100.0,2026-08-23T12:32:17.000Z,,https://www.ebay.com/itm/168633696849?hash=item27435a0251:g:Bo0AAeSwvDhqiulF,https://i.ebayimg.com/images/g/Bo0AAeSwvDhqiulF/s-l225.jpg
残件/按现状,98.0,Minolta Hi-Matic 1 Rangefinder 35mm Camera w/ Rokkor PF 45mm f/2.8 Untested AsIs,Minolta,Film Cameras,For parts or not working,29.97,USD,FIXED_PRICE,23,1600,grail:Hi-Matic;mount:minolta md;as-is;underpriced(med 95),US,erlo_market,99.8,2026-08-22T11:05:56.000Z,,https://www.ebay.com/itm/128039128433?hash=item1dcfba0d71:g:4HcAAeSw3lhqeQlI,https://i.ebayimg.com/images/g/4HcAAeSw3lhqeQlI/s-l225.jpg
残件/按现状,98.0,Canon AE-1 Program 35mm Film Camera w/ FD 50mm f1.8 Lens AS IS UNTESTED,Canon,Film Cameras,For parts or not working,60.0,USD,"FIXED_PRICE,BEST_OFFER",10,1600,grail:AE-1;mount:canon fd;as-is;underpriced(med 160),US,pbtoast29,100.0,2026-08-22T06:41:35.000Z,,https://www.ebay.com/itm/366621784389?hash=item555c5c7945:g:EoAAAeSw~7pqiURe,https://i.ebayimg.com/images/g/EoAAAeSw~7pqiURe/s-l225.jpg
残件/按现状,97.0,Canon Canonet QL17 35mm Film Camera 40mm 1:1.7 Lens Parts/Lens blade locked,Canon,Film Cameras,For parts or not working,35.0,USD,FIXED_PRICE,3,1600,grail:Canonet;underpriced(med 160),US,phx1826,0.0,2026-08-23T02:20:04.000Z,,https://www.ebay.com/itm/407163762709?hash=item5eccd9f815:g:zmcAAeSw-dlqilgN,https://i.ebayimg.com/images/g/zmcAAeSw-dlqilgN/s-l225.jpg
查无市价,97.0,Leica Elmarit P2 150mm f2.8 Slide Projector Lens Full Frame MINT + Case & Cap,Leica,Lenses,Usato,81.75,USD,"FIXED_PRICE,AUCTION",4,1600,grail:Elmarit;good-cond;underpriced(med 1138);auction,IT,gimmeyourlenses,100.0,2026-08-22T18:51:55.000Z,2026-08-29T18:51:55.000Z,https://www.ebay.com/itm/327322100563?hash=item4c35eae353:g:Nv4AAeSw~4xqQBtJ,https://i.ebayimg.com/images/g/Nv4AAeSw~4xqQBtJ/s-l225.jpg
残件/按现状,96.0,Rollei A110 110 Film Miniature Camera Tessar 23mm F2.8 Untested W/ Case,Rollei,Film Cameras,Used,124.99,USD,"FIXED_PRICE,BEST_OFFER",2,1600,grail:Tessar;as-is;underpriced(med 420),US,bra5633,0.0,2026-08-23T06:38:46.000Z,,https://www.ebay.com/itm/198589405302?hash=item2e3cd9d876:g:r8oAAeSw3B1qipQr,https://i.ebayimg.com/images/g/r8oAAeSw3B1qipQr/s-l225.jpg
残件/按现状,94.0,[As-Is] Leica iiif 3f Black Dial 35mm Rangefinder Film Camera Body JAPAN,Leica,Film Cameras,Used,249.99,USD,FIXED_PRICE,23,1600,grail:Leica iiif;as-is;underpriced(med 1273),JP,noma6724,100.0,2026-08-22T15:03:20.000Z,,https://www.ebay.com/itm/188829648869?hash=item2bf71fc7e5:g:NpcAAeSw9OVqibrv,https://i.ebayimg.com/images/g/NpcAAeSw9OVqibrv/s-l225.jpg
